Underlying Name ,The Hong Kong and China Gas Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
20/04/2017,13.6990,17.7261,13.2184,11.3808,11.7747
19/04/2017,13.8209,18.1919,12.9702,11.2989,11.6982
18/04/2017,14.1142,17.7461,12.8963,11.1051,11.7994
13/04/2017,13.1955,11.1008,10.7791,9.5969,11.0531
12/04/2017,13.1759,10.8924,10.7042,9.5792,11.0712
11/04/2017,12.9879,10.2112,10.6244,9.5213,11.0023
10/04/2017,12.7251,5.4763,9.5514,9.0818,10.7150
07/04/2017,12.4569,5.4763,9.6285,9.0760,10.7591
06/04/2017,11.6908,5.7283,10.0668,10.7446,10.7579
05/04/2017,11.5074,6.6980,10.0654,10.9775,10.7552
03/04/2017,11.6006,7.5198,10.0276,10.9616,10.7347
31/03/2017,10.4161,6.3499,9.5789,10.8377,10.8206
30/03/2017,11.2928,7.9248,9.8559,10.8538,10.8498
29/03/2017,11.3317,9.6670,10.2486,10.8538,10.9500
28/03/2017,11.5292,9.4916,10.2414,10.9770,11.0945
27/03/2017,11.9486,10.0223,10.3578,10.9859,11.1931
24/03/2017,11.9020,10.1804,10.6938,10.9883,11.7570
23/03/2017,11.4736,10.0735,10.6893,11.0617,13.2985
22/03/2017,11.7052,12.1887,10.6611,11.0663,13.2614
21/03/2017,10.9536,11.2837,10.5759,10.9348,13.2346
20/03/2017,11.4420,12.0964,10.7413,10.9174,13.2352
17/03/2017,10.7784,11.6444,10.6515,10.9367,13.2558
16/03/2017,13.6615,11.8799,10.5293,10.8091,13.2255
15/03/2017,13.4773,11.8799,10.3778,11.0203,13.1788
14/03/2017,13.4406,11.8799,10.3626,11.0457,13.2785
13/03/2017,13.5091,11.9841,10.4671,11.0205,13.6918
10/03/2017,12.8995,11.4078,10.3384,11.0836,13.8300
09/03/2017,14.1346,11.9837,10.3567,11.3011,13.8300
08/03/2017,13.6818,11.3726,9.8028,11.0715,13.7128
07/03/2017,13.0432,11.1931,9.7722,11.2091,13.7031
06/03/2017,12.8430,10.2918,9.3883,11.0938,13.6526
03/03/2017,12.7090,10.3389,9.5243,11.1060,13.6672
02/03/2017,12.2105,9.8857,9.1180,11.3136,13.5983
01/03/2017,11.4702,9.1688,8.4086,11.2289,13.4311
28/02/2017,11.2753,9.0993,8.4264,11.2629,13.4257
27/02/2017,11.1398,9.2848,8.4581,11.2473,13.4543
24/02/2017,11.3285,10.4363,8.6951,11.2539,13.4617
23/02/2017,10.9176,9.8526,8.5318,11.2597,13.5386
22/02/2017,10.9094,9.1195,11.5470,11.1217,13.5411
21/02/2017,11.6292,10.2337,11.9573,11.1219,13.5557
20/02/2017,10.7790,10.8020,11.9371,11.1219,13.5570
17/02/2017,9.6149,10.8550,12.0129,11.4402,13.5507
16/02/2017,10.2966,10.4282,11.9030,11.3356,13.4679
15/02/2017,10.9694,10.8523,11.4786,11.3554,13.4029
14/02/2017,12.0126,10.8522,11.6752,11.5561,13.4040
13/02/2017,11.7119,10.8671,11.6529,11.6424,13.3645
10/02/2017,11.9023,9.3965,11.2171,12.3230,13.7334
09/02/2017,12.4797,9.6080,11.4197,14.4547,13.7391
08/02/2017,12.1148,8.9077,11.3655,14.4456,13.7683
07/02/2017,11.5466,8.3144,11.2621,14.4218,13.7454
06/02/2017,12.2863,7.6930,11.1923,14.3236,13.8311
03/02/2017,12.2786,8.0262,11.3409,14.3993,13.8307
02/02/2017,11.6983,7.2717,11.2567,14.3323,13.7859
01/02/2017,12.2618,4.8605,11.7598,14.3992,13.6955
27/01/2017,12.3436,5.0562,11.8310,14.5287,13.7250
26/01/2017,12.0016,5.0808,11.7235,15.0509,13.7067
25/01/2017,12.5451,5.9707,11.9600,15.3097,14.0833
24/01/2017,12.7776,5.9164,12.3512,15.3136,14.0826
23/01/2017,12.5799,15.8446,12.3422,15.2834,14.2245
20/01/2017,13.4424,16.4628,12.6461,15.2889,14.5336
