Underlying Name ,China Cinda Asset Management Co., Ltd

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
24/04/2017,24.7994,13.4589,24.2723,25.8915,24.1352
21/04/2017,25.1832,16.0238,24.4016,25.9335,24.1251
20/04/2017,25.7078,19.3460,24.5197,25.9745,24.1773
19/04/2017,26.4392,18.8474,24.4242,25.9608,24.3748
18/04/2017,26.0706,20.8904,24.4562,25.9796,24.5709
13/04/2017,24.5744,19.0534,23.7806,25.4537,24.2550
12/04/2017,24.4763,22.2450,23.7463,25.6585,24.4274
11/04/2017,25.4949,23.9613,23.7790,25.6585,24.5380
10/04/2017,25.7325,24.6460,23.8313,25.7139,24.5613
07/04/2017,25.6908,24.8296,24.5090,25.6873,24.4884
06/04/2017,26.2553,24.9705,29.6640,25.6978,24.4905
05/04/2017,24.9287,22.7656,29.5518,25.7790,24.5451
03/04/2017,24.9653,22.4607,28.7076,25.2677,24.3028
31/03/2017,25.0427,24.0345,31.9165,25.4089,24.3013
30/03/2017,29.7135,21.5081,32.4576,25.6031,24.2176
29/03/2017,27.8436,29.7584,32.1075,25.3527,24.0422
28/03/2017,28.4708,26.9398,31.4673,24.7649,23.6025
27/03/2017,28.0526,27.4371,31.3822,25.0037,23.5232
24/03/2017,27.2070,29.7410,30.8866,25.7542,23.3808
23/03/2017,28.0561,29.3272,30.7721,25.5842,23.3512
22/03/2017,29.1741,31.7077,30.8821,25.8511,23.6033
21/03/2017,29.5520,31.6161,31.0318,25.8383,23.7522
20/03/2017,35.2346,28.3087,29.9645,25.3211,23.6537
17/03/2017,32.8803,28.7157,29.9611,25.3515,23.5838
16/03/2017,34.5536,28.3706,29.6646,25.2307,23.6099
15/03/2017,33.8576,23.1430,28.7936,24.6451,22.9815
14/03/2017,36.9596,22.7104,28.6009,24.6630,23.0970
13/03/2017,35.7167,21.4392,28.7743,24.5049,22.9812
10/03/2017,31.0847,14.5931,27.7551,24.0728,22.5478
09/03/2017,30.3323,17.5596,27.6551,24.0939,22.7751
08/03/2017,30.0788,32.7378,26.7760,23.9204,22.5922
07/03/2017,31.7465,32.8704,26.9839,23.9072,22.6053
06/03/2017,32.5574,33.0640,27.1672,23.9632,22.5914
03/03/2017,28.1975,39.5267,27.0860,24.2763,22.7348
02/03/2017,29.8160,41.7722,26.9336,24.5700,22.7022
01/03/2017,29.2203,42.3532,26.9005,24.5797,22.6504
28/02/2017,28.9330,42.8749,27.4041,24.8133,22.7609
27/02/2017,29.1672,43.2164,27.4200,24.9540,22.8171
24/02/2017,27.9402,42.5352,27.4402,24.9139,22.8223
23/02/2017,28.4314,38.9077,26.4012,24.3716,22.8268
22/02/2017,27.7315,30.6253,21.3774,21.6997,20.9571
21/02/2017,27.9992,31.0462,21.8096,21.8808,21.5880
20/02/2017,24.1401,30.6981,21.7615,22.0357,21.6090
17/02/2017,22.0858,21.6383,17.0607,19.6854,19.9763
16/02/2017,25.0400,16.4808,16.7302,19.1537,20.0922
15/02/2017,26.1040,17.5774,16.6205,19.1065,20.0619
14/02/2017,24.8581,15.5688,15.7778,18.6692,19.7606
13/02/2017,27.3932,17.0907,16.8914,18.6486,19.8962
10/02/2017,22.6632,17.1061,19.8577,18.6755,20.2067
09/02/2017,24.3065,15.9993,19.3744,18.4614,20.1174
08/02/2017,22.4263,14.6852,19.5771,18.7756,19.9981
07/02/2017,20.3663,11.2099,18.9518,18.6230,19.8294
06/02/2017,20.3705,11.4728,19.0674,18.9787,20.6779
03/02/2017,20.8767,11.3875,19.2173,18.9787,20.7025
02/02/2017,19.9474,12.4653,19.3313,19.2335,20.7150
01/02/2017,20.7372,11.4295,19.5772,19.1563,20.7267
27/01/2017,19.2414,12.8720,19.6872,19.3516,20.7138
26/01/2017,21.5094,12.0764,19.3961,19.2928,20.9599
25/01/2017,20.6961,11.1394,19.7775,19.3397,20.9297
24/01/2017,22.2200,12.8863,19.9181,19.7481,20.9275
