Underlying Name ,Hengan International Group Ltd

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
27/04/2017,20.0073,13.4396,29.1168,28.2709,26.8932
26/04/2017,20.4798,14.0916,29.0608,28.7370,27.2183
25/04/2017,21.6568,12.0400,28.7427,28.6184,27.0570
24/04/2017,21.7586,12.2187,28.8889,29.4098,27.1307
21/04/2017,23.1451,13.5349,28.8171,29.5367,27.1352
20/04/2017,23.0529,17.8238,28.9642,30.0088,27.1086
19/04/2017,24.1745,17.8391,29.4318,30.2508,27.2207
18/04/2017,25.0282,20.0353,30.6969,30.4032,27.2852
13/04/2017,23.7965,21.1619,30.7266,30.4246,27.5015
12/04/2017,24.2173,20.8577,30.6091,30.4384,29.7073
11/04/2017,24.9521,20.2866,30.4856,30.3899,30.6823
10/04/2017,24.7341,19.7442,31.2211,30.3044,31.3535
07/04/2017,24.3381,19.0627,31.3738,30.2353,31.3262
06/04/2017,22.4581,18.9273,31.3726,30.2582,31.3859
05/04/2017,22.4610,30.0331,31.8283,30.1726,31.3508
03/04/2017,21.4905,38.9529,30.8672,30.1399,31.1860
31/03/2017,21.4698,41.0519,31.5840,30.1889,31.1895
30/03/2017,21.8489,41.5996,35.4533,30.0314,31.0439
29/03/2017,22.1173,43.8410,36.5062,30.0997,30.9650
28/03/2017,23.5008,45.1676,36.6484,30.2996,31.0195
27/03/2017,24.5084,44.6758,36.9440,30.2902,31.0094
24/03/2017,24.3523,45.4030,37.2852,30.3384,31.1197
23/03/2017,24.4205,45.4057,37.3004,30.3350,31.5599
22/03/2017,24.5684,45.3681,37.3174,30.4344,31.5678
21/03/2017,24.6074,39.1772,34.6178,28.6224,30.5919
20/03/2017,29.9456,14.8895,27.7566,24.4500,28.3684
17/03/2017,28.2227,15.4276,27.6137,25.2436,28.2988
16/03/2017,28.2492,24.3962,27.9608,25.3762,28.3199
15/03/2017,29.1491,23.0507,27.7233,25.6512,28.2461
14/03/2017,27.0243,21.7448,27.4941,25.5438,28.1662
13/03/2017,27.4254,22.6915,27.5049,25.5370,28.2189
10/03/2017,26.7306,25.0845,28.3919,26.1626,28.2003
09/03/2017,26.6686,26.0864,28.5142,26.1658,28.1996
08/03/2017,27.1680,25.4666,29.4699,26.0679,28.1137
07/03/2017,28.1842,27.8422,29.5768,26.0902,28.1543
06/03/2017,29.0856,27.6812,30.7806,26.0160,28.1293
03/03/2017,27.8863,28.1980,31.1613,26.0654,28.0112
02/03/2017,27.5004,34.7133,29.6163,25.2553,27.4343
01/03/2017,27.0071,40.2042,29.6306,25.5669,27.5965
28/02/2017,28.1773,40.1769,29.5930,29.2265,27.6195
27/02/2017,28.0585,40.9377,29.0767,30.4965,27.6687
24/02/2017,27.6960,40.4599,28.7788,31.2704,27.4987
23/02/2017,27.2023,39.0259,28.1579,31.0597,27.3931
22/02/2017,27.0554,39.1955,28.0833,31.1828,27.4159
21/02/2017,27.2001,38.4009,27.7329,30.9796,27.2295
20/02/2017,24.7672,37.3422,27.7941,30.9238,27.3052
17/02/2017,24.2566,36.6374,27.7510,30.7584,27.1402
16/02/2017,22.4918,24.5924,23.5297,28.8035,25.7888
15/02/2017,23.6247,17.7395,21.2487,27.9050,25.1575
14/02/2017,25.4875,17.2852,21.5829,27.9361,25.1923
13/02/2017,25.4742,13.3454,20.2798,27.5707,24.9645
10/02/2017,24.8027,16.8725,20.2037,27.6927,24.9398
09/02/2017,26.1603,17.2657,20.2147,28.4854,24.9382
08/02/2017,26.1285,21.3347,20.4865,28.4577,24.9284
07/02/2017,25.9538,21.5295,20.9400,28.6735,24.9270
06/02/2017,25.7100,27.8560,20.9427,28.8718,25.0775
03/02/2017,24.5083,30.4587,23.0575,28.8401,25.0755
02/02/2017,24.4992,29.6279,22.8851,28.7243,24.9780
01/02/2017,25.0551,29.6034,23.8387,28.7276,24.9590
27/01/2017,23.7744,29.3696,23.8294,28.7250,24.9719
