Underlying Name ,New China Life Insurance Co. Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
27/04/2017,22.5651,25.5940,21.2509,22.8760,23.2774
26/04/2017,23.2770,25.0499,21.6633,22.8116,24.6450
25/04/2017,23.5040,25.4092,21.0591,22.5388,24.4705
24/04/2017,23.7217,24.3787,20.0262,22.0905,24.1919
21/04/2017,24.1170,22.0148,18.4032,21.4357,23.7851
20/04/2017,24.2114,22.1075,18.9812,21.5122,23.8564
19/04/2017,23.7531,11.4195,16.0742,20.3237,23.1256
18/04/2017,24.1085,12.6084,16.2670,20.5373,23.2765
13/04/2017,23.5303,11.4245,15.9771,20.3881,23.2088
12/04/2017,23.5284,11.1459,15.9171,20.9947,23.2334
11/04/2017,23.4280,12.0513,16.0410,21.5986,23.4878
10/04/2017,22.0415,12.9132,16.3349,21.5862,23.4833
07/04/2017,22.0743,14.5870,16.7984,21.6157,23.5366
06/04/2017,21.4848,14.6806,16.7537,21.5598,24.7536
05/04/2017,20.6261,18.2637,16.3651,21.3675,24.6446
03/04/2017,21.0134,18.4234,16.3010,21.3768,24.9048
31/03/2017,20.4338,17.2784,16.0123,22.7323,26.0206
30/03/2017,20.9137,16.3895,15.7683,22.7636,26.0063
29/03/2017,23.2347,19.9849,16.3874,23.1056,26.0077
28/03/2017,23.8312,20.4952,16.6301,23.3314,26.1471
27/03/2017,24.1299,19.4516,16.3503,23.4669,26.2798
24/03/2017,23.2639,22.3020,17.1645,23.5084,26.3600
23/03/2017,23.9659,21.1021,16.8188,23.2791,26.2058
22/03/2017,24.9914,20.8913,16.7515,23.7777,26.4393
21/03/2017,25.1301,16.2194,15.1459,23.3584,26.3573
20/03/2017,27.6863,16.4211,15.0710,23.3189,26.2960
17/03/2017,26.5316,16.8784,24.4301,23.5745,26.3240
16/03/2017,26.6955,18.2742,24.5738,23.5759,26.3253
15/03/2017,25.6118,16.2850,24.4992,24.1315,26.2005
14/03/2017,26.4265,14.6267,24.7562,24.2955,26.3153
13/03/2017,26.2203,15.3878,24.7379,24.3949,26.6383
10/03/2017,24.9661,13.9106,24.2713,26.1525,26.5415
09/03/2017,24.5505,15.7191,24.2895,26.1733,26.5892
08/03/2017,24.8415,15.7622,24.2696,26.1839,26.5940
07/03/2017,24.0302,15.8618,24.2571,26.1797,26.6032
06/03/2017,24.3368,12.5547,24.0717,26.0938,26.5140
03/03/2017,24.1577,9.6807,24.0236,26.0330,26.5643
02/03/2017,24.9497,9.3273,24.1141,26.1658,26.4901
01/03/2017,26.0398,10.8617,24.1210,26.1810,26.6009
28/02/2017,27.6985,12.6608,25.2631,26.2151,26.6450
27/02/2017,28.1659,12.6202,26.0362,26.5206,26.6312
24/02/2017,28.7080,16.0168,25.7077,26.3975,26.6331
23/02/2017,27.6001,14.4418,25.1914,26.2629,26.4613
22/02/2017,26.2259,14.1222,25.0593,27.8318,26.4693
21/02/2017,28.1591,14.2496,25.1569,27.8609,26.4727
20/02/2017,26.8024,14.8225,25.2051,28.1739,26.4686
17/02/2017,27.6711,35.5338,27.2788,29.6099,26.5216
16/02/2017,29.0083,34.7940,27.3874,29.5769,26.5520
15/02/2017,29.8684,33.4855,26.9474,29.2587,26.3311
14/02/2017,31.9110,36.2827,27.1840,29.4062,26.3243
13/02/2017,33.5285,36.1943,27.5697,29.5315,26.3757
10/02/2017,30.4652,36.0771,27.5093,29.6608,26.3860
09/02/2017,31.5804,36.4504,27.6766,29.6563,26.4191
08/02/2017,31.7300,36.3773,28.7601,29.9265,26.4243
07/02/2017,29.6484,36.5484,29.0786,30.4107,26.5584
06/02/2017,29.9634,37.1854,29.3189,30.4096,26.5762
03/02/2017,24.7283,14.5715,23.0750,27.4198,24.2683
02/02/2017,24.6259,15.2303,22.8709,27.3489,24.2237
01/02/2017,24.9717,14.0839,24.1316,27.2095,24.1219
27/01/2017,25.1715,16.9270,24.2113,27.2606,23.9281
