Underlying Name ,China Life Insurance Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
27/04/2017,23.1886,20.8880,21.5391,24.7071,24.6292
26/04/2017,22.6017,21.9269,22.5979,24.7812,25.4389
25/04/2017,22.1262,21.5189,22.1884,24.6940,25.3305
24/04/2017,23.2361,18.4337,22.2333,24.4639,25.2023
21/04/2017,23.2498,16.6231,22.0046,24.3660,25.1504
20/04/2017,23.9147,16.8178,22.3272,24.5116,25.7675
19/04/2017,24.1957,13.6510,21.7855,24.3337,25.6744
18/04/2017,24.1788,13.5390,21.9544,24.6856,26.0923
13/04/2017,23.1546,10.1653,21.0944,24.2178,25.8928
12/04/2017,23.1991,10.2879,21.0286,24.7105,25.9611
11/04/2017,25.0110,11.5150,21.4266,24.7436,25.9685
10/04/2017,24.0846,11.1200,21.4938,24.7145,26.0029
07/04/2017,23.2677,11.4942,21.3147,24.9172,26.7057
06/04/2017,23.4594,11.5782,21.3951,24.8914,27.1456
05/04/2017,23.7265,20.3065,21.2211,24.7441,27.2082
03/04/2017,23.4935,20.3065,21.3797,24.7441,27.5873
31/03/2017,23.4763,20.5570,21.3389,25.1506,28.6976
30/03/2017,24.0075,21.9129,21.3122,25.2385,28.6783
29/03/2017,25.5319,29.9565,21.4060,25.8027,28.7200
28/03/2017,25.3757,30.0557,21.4195,25.8121,28.8018
27/03/2017,24.7654,29.5028,21.1618,25.8538,28.9329
24/03/2017,24.2657,31.4655,22.9999,25.7654,28.8996
23/03/2017,25.4097,30.3686,22.6731,25.5699,28.8361
22/03/2017,26.0009,32.8950,22.7268,25.9115,28.9170
21/03/2017,26.4844,25.0334,19.7154,24.9510,28.5918
20/03/2017,28.2394,24.9748,20.4774,25.1687,28.5886
17/03/2017,27.6754,25.2538,28.7523,25.5323,28.6511
16/03/2017,27.0128,26.6308,28.7435,25.6333,28.6331
15/03/2017,26.1237,19.5292,27.4893,26.1517,28.0377
14/03/2017,25.9819,19.3934,27.5016,26.1225,28.2387
13/03/2017,25.7230,21.4973,27.5366,26.1260,28.3526
10/03/2017,24.1751,17.6846,27.0101,26.9264,28.1364
09/03/2017,24.1771,17.4120,27.1711,26.9330,28.5523
08/03/2017,23.9291,14.8692,26.2410,26.6573,28.3559
07/03/2017,24.0355,14.4133,26.3184,26.6638,28.3789
06/03/2017,23.9594,13.1213,26.6339,27.4313,28.3396
03/03/2017,25.2346,13.0028,26.6296,27.4838,28.3552
02/03/2017,26.1967,12.5122,26.8406,28.0062,28.2790
01/03/2017,26.2548,12.4683,26.8377,28.1167,28.2882
28/02/2017,25.7555,12.7959,27.9561,28.2302,28.6925
27/02/2017,26.3955,10.3664,27.3515,28.0310,28.6062
24/02/2017,25.8094,18.0765,27.2035,28.0507,28.6401
23/02/2017,26.7200,17.8866,27.5817,29.0621,28.7132
22/02/2017,27.5875,16.7537,27.3006,29.5651,28.8417
21/02/2017,28.1764,16.8790,27.4551,29.8090,28.9267
20/02/2017,28.2466,19.0336,27.4728,30.2705,29.2148
17/02/2017,27.1852,38.2117,27.9612,31.7061,29.2095
16/02/2017,26.7967,37.6141,28.2699,31.6998,29.8539
15/02/2017,28.5676,38.2339,28.8178,31.7128,29.8189
14/02/2017,29.4304,38.9378,28.7883,31.8039,29.8694
13/02/2017,29.5498,39.1685,29.0209,31.9849,29.9177
10/02/2017,26.2677,37.7277,28.0431,31.4905,30.1370
09/02/2017,28.3222,38.5723,28.0729,31.5677,30.1556
08/02/2017,30.5846,38.5322,28.8496,31.6639,30.1448
07/02/2017,29.1837,38.9427,29.3971,32.2749,30.2254
06/02/2017,29.7527,39.9132,29.4446,32.0422,30.2822
03/02/2017,22.8788,14.6344,21.9155,28.6629,27.8952
02/02/2017,23.3613,17.8176,22.0132,28.6238,27.8524
01/02/2017,22.6457,16.5784,24.8399,28.4889,27.8263
27/01/2017,23.9380,20.8692,24.8120,28.7686,27.9552
