Underlying Name ,Lenovo Group Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
10/05/2017,26.4568,13.2292,24.5626,25.3312,23.2265
09/05/2017,24.4921,13.2258,24.5901,25.8985,23.2298
08/05/2017,25.9604,15.6656,24.5907,25.8755,23.2151
05/05/2017,25.0025,15.2671,24.6428,25.8985,23.2086
04/05/2017,24.2420,15.0378,24.6814,25.8495,23.1718
02/05/2017,25.0481,16.4460,24.5927,25.7587,23.1021
28/04/2017,23.6365,16.5544,24.6041,25.9072,23.1297
27/04/2017,24.8106,16.7628,24.6949,25.8912,23.1035
26/04/2017,26.9280,21.0580,24.2047,26.0605,22.9771
25/04/2017,27.4797,24.5655,24.0773,26.1068,22.9548
24/04/2017,28.4952,29.7523,24.1424,26.0880,22.9034
21/04/2017,28.0332,29.9540,24.2235,26.2023,22.9025
20/04/2017,28.1661,30.1830,23.9067,26.0568,22.7539
19/04/2017,28.6008,32.4980,23.9068,26.1195,22.8261
18/04/2017,28.9493,33.0855,23.7831,26.1122,22.8132
13/04/2017,26.3104,32.5656,23.0385,25.8616,22.6209
12/04/2017,26.6727,32.9303,22.8146,25.8413,22.5826
11/04/2017,29.2330,38.5408,23.0662,25.8315,22.6065
10/04/2017,30.8430,34.4218,21.2865,25.4880,22.0358
07/04/2017,30.6492,29.2485,19.5047,24.7595,21.4734
06/04/2017,27.1594,26.8022,18.4841,24.0143,20.9420
05/04/2017,26.9189,25.2288,17.8074,23.9435,20.8022
03/04/2017,26.7418,24.6366,18.0080,23.7291,20.6851
31/03/2017,25.0335,23.5845,17.5770,23.6310,20.4688
30/03/2017,24.8407,23.6152,21.0333,23.9932,20.4133
29/03/2017,26.0673,21.2305,29.2016,24.0763,20.2634
28/03/2017,25.9705,21.1835,29.0305,24.1460,20.3493
27/03/2017,23.1428,11.2303,26.2661,22.7930,19.2284
24/03/2017,21.7709,9.7003,26.2974,22.7555,19.3197
23/03/2017,22.6336,8.7658,26.4373,22.7409,19.3367
22/03/2017,22.1709,10.6918,26.4049,22.7392,19.5781
21/03/2017,21.9628,10.7359,27.5536,22.7249,19.8278
20/03/2017,21.5400,10.7485,27.4943,22.7050,19.8020
17/03/2017,19.5730,10.6070,27.4877,22.6712,19.7571
16/03/2017,20.7769,10.0041,27.2759,22.5905,19.6810
15/03/2017,19.9351,8.7701,26.9770,22.4847,19.6069
14/03/2017,20.2043,8.6626,27.1247,22.5048,19.7278
13/03/2017,19.2140,7.3906,26.7265,22.3411,19.5966
10/03/2017,19.3044,8.1650,27.5119,22.3377,19.6287
09/03/2017,19.2304,13.3905,27.7473,22.3401,19.6472
08/03/2017,19.6570,14.1468,27.7723,22.3107,19.6316
07/03/2017,19.7137,13.9636,27.9095,22.2955,19.6815
06/03/2017,19.1755,14.8693,27.8538,22.2576,19.6426
03/03/2017,19.5585,16.5097,27.8734,22.3486,19.6358
02/03/2017,19.1215,24.7723,27.9085,22.3537,19.6290
01/03/2017,18.6995,40.8994,27.9501,22.3959,19.6630
28/02/2017,18.3989,41.2765,28.0340,22.4101,19.6887
27/02/2017,19.4506,41.4234,28.0230,22.3790,19.7318
24/02/2017,20.7293,42.0578,28.8608,22.3203,19.7248
23/02/2017,20.2609,40.2149,28.1582,21.9664,19.4840
22/02/2017,20.8257,40.6945,28.0488,21.8959,19.4990
21/02/2017,22.3936,44.2308,28.3502,21.9018,19.5047
20/02/2017,22.4228,44.1086,28.1688,21.8594,19.4593
17/02/2017,25.2596,43.6106,28.3430,21.7383,19.3976
16/02/2017,22.3684,39.8810,26.9859,20.2654,18.5825
15/02/2017,26.5606,14.7186,17.4326,13.9894,14.4365
14/02/2017,27.0265,17.0770,17.7421,14.3669,14.4044
13/02/2017,27.2290,17.0833,17.8587,14.3598,14.4471
10/02/2017,25.4097,19.3663,17.9423,14.6411,14.4947
09/02/2017,24.9212,19.5460,17.9727,14.6572,14.4354
