Underlying Name ,Dongfeng Motor Group Co. Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
17/05/2017,17.6710,14.7491,17.9970,23.6542,22.2377
16/05/2017,18.5029,13.9907,19.5273,23.6292,22.2074
15/05/2017,19.1266,12.6665,18.8473,23.3796,22.0687
12/05/2017,19.4253,13.5126,19.7405,23.3572,22.0615
11/05/2017,20.7794,15.1792,19.6837,23.3250,22.1799
10/05/2017,19.8685,16.3667,19.1621,23.4880,22.1424
09/05/2017,20.6284,16.5939,19.4363,23.4177,22.1075
08/05/2017,21.3245,17.5005,18.7275,23.3477,22.0511
05/05/2017,19.5808,18.8306,23.1323,24.1765,21.9984
04/05/2017,20.8312,18.9349,24.7575,24.1769,22.0579
02/05/2017,19.2716,20.6176,25.4390,24.1880,22.2568
28/04/2017,18.1647,19.9272,25.1246,24.1001,22.2459
27/04/2017,20.1233,19.7952,25.4626,24.0865,22.3283
26/04/2017,20.6113,20.3672,25.9927,24.2596,22.4604
25/04/2017,19.5509,20.7555,25.8460,24.1317,22.4436
24/04/2017,20.9352,19.2745,25.2619,23.9614,22.7950
21/04/2017,21.9964,19.8534,25.2638,23.9552,22.9404
20/04/2017,21.8969,19.0271,25.1472,23.7428,22.7455
19/04/2017,22.7552,15.9839,24.5410,23.8182,22.6223
18/04/2017,23.3569,14.5754,24.4087,23.8185,22.6336
13/04/2017,21.7334,17.5655,24.2192,24.6879,22.4907
12/04/2017,22.6340,20.0126,24.0904,24.6922,22.5383
11/04/2017,24.4929,20.0126,24.5724,24.6945,22.5686
10/04/2017,24.1931,21.4204,24.4766,24.6474,22.5785
07/04/2017,24.2950,21.2030,25.6655,24.4335,22.4217
06/04/2017,23.2476,19.9823,25.3252,24.0794,22.1747
05/04/2017,24.0187,20.5553,25.6790,23.8830,22.0313
03/04/2017,23.1560,20.5178,26.6413,24.1055,22.0919
31/03/2017,23.1994,32.1249,27.6434,24.1864,22.1269
30/03/2017,23.1560,35.8631,27.7202,24.1852,22.1357
29/03/2017,24.7428,36.0927,28.5343,24.1450,22.0112
28/03/2017,28.3359,34.2509,27.4428,23.3917,21.5462
27/03/2017,28.4940,35.1617,27.4541,23.3867,21.5460
24/03/2017,27.4059,34.1811,26.5802,22.7878,21.2195
23/03/2017,28.0206,34.4522,26.5961,23.0538,21.4876
22/03/2017,27.9989,35.2662,27.0501,23.1373,21.5439
21/03/2017,27.9564,33.8452,26.3637,22.7011,21.2738
20/03/2017,34.2304,33.5335,26.2846,22.7120,21.2132
17/03/2017,27.5722,24.9807,24.9086,21.1456,20.1435
16/03/2017,25.7320,17.5454,22.3025,19.7875,19.3917
15/03/2017,25.5463,15.8029,22.0867,20.0129,19.3284
14/03/2017,27.0999,15.2349,21.9268,20.0178,19.3932
13/03/2017,27.3746,15.4864,21.7907,20.1223,19.3172
10/03/2017,27.4059,13.1877,21.7983,20.2633,20.0967
09/03/2017,25.3472,19.2299,21.7295,20.3767,20.1130
08/03/2017,26.1302,19.0179,21.5813,20.9112,20.2315
07/03/2017,26.1964,20.8773,21.5205,21.0914,20.3830
06/03/2017,25.6464,23.3358,21.6969,21.0670,20.3808
03/03/2017,27.2926,24.3015,21.9001,21.0197,20.3335
02/03/2017,27.2506,25.2704,21.9251,21.1256,20.3322
01/03/2017,26.9567,29.9376,23.4450,21.0344,20.4068
28/02/2017,26.6448,29.9465,23.4961,21.0691,20.4028
27/02/2017,26.2240,29.8417,23.3861,21.0378,20.5125
24/02/2017,27.7247,29.4326,23.2209,21.0786,20.4898
23/02/2017,25.9168,26.8513,22.3380,20.5127,20.0446
22/02/2017,25.8700,26.6290,21.7017,20.3318,19.9454
21/02/2017,26.3138,25.4889,21.5875,20.0815,19.7557
20/02/2017,26.2470,23.2255,21.4609,19.6459,19.3680
17/02/2017,19.9126,24.8747,20.5380,19.0511,18.9110
16/02/2017,22.0707,24.5209,20.3619,19.0087,18.9013
