Underlying Name ,BYD Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
05/06/2017,19.4965,19.5555,16.7302,18.9372,20.8311
02/06/2017,18.1557,17.6143,15.5432,18.6420,20.5638
01/06/2017,19.2398,17.6554,16.2133,18.6584,20.5386
31/05/2017,22.3209,16.3296,16.0581,18.5986,21.5319
29/05/2017,22.0077,10.5610,14.1202,17.8792,21.1089
26/05/2017,21.8086,9.5594,14.2960,18.5316,21.0135
25/05/2017,21.2080,9.3773,14.0975,18.4894,21.2371
24/05/2017,21.8686,8.3002,13.7717,18.3838,21.1988
23/05/2017,22.4486,8.5314,13.8402,18.4123,21.2115
22/05/2017,23.3740,8.6364,17.5024,18.8807,21.2018
19/05/2017,22.1101,9.7988,17.8288,19.5555,21.3178
18/05/2017,22.2258,11.2394,17.9067,19.5789,21.4405
17/05/2017,22.8825,16.2455,17.8765,19.5660,21.5194
16/05/2017,22.6394,16.9145,20.3097,19.6272,21.5427
15/05/2017,21.7444,16.0644,20.2799,19.7968,21.7326
12/05/2017,21.9790,15.9723,20.4289,19.7986,21.7376
11/05/2017,22.6708,16.1142,20.6178,19.7784,21.8236
10/05/2017,21.5903,16.7584,20.6093,19.9131,22.0237
09/05/2017,22.1827,17.2192,20.5554,22.6851,22.0276
08/05/2017,23.9169,16.6903,20.5203,22.6854,22.1374
05/05/2017,25.2137,16.0898,20.2790,22.9073,22.1085
04/05/2017,25.1064,15.8566,20.4310,22.8086,22.1035
02/05/2017,25.1392,13.4748,19.3640,22.2841,21.7597
28/04/2017,24.9573,10.5221,19.2056,21.9928,21.5900
27/04/2017,25.1586,12.3857,19.3197,22.0333,21.8943
26/04/2017,25.1245,14.2021,19.4319,22.1635,22.8346
25/04/2017,26.6602,14.9721,19.7239,22.3819,23.1386
24/04/2017,26.8585,14.8995,20.1921,22.4418,23.1343
21/04/2017,27.7209,14.9907,21.1649,22.6856,23.1550
20/04/2017,27.9997,22.7543,21.1004,22.6469,23.3282
19/04/2017,28.1191,23.0660,21.1948,22.7377,24.0410
18/04/2017,27.8614,22.8691,21.5707,22.7697,24.1611
13/04/2017,23.8900,20.2137,21.1005,22.4757,24.1379
12/04/2017,25.5663,28.7199,21.1133,23.9212,24.1431
11/04/2017,27.0917,28.3845,21.2362,23.9342,24.1060
10/04/2017,25.5636,28.2705,22.2305,23.7672,24.6461
07/04/2017,25.7189,28.1451,22.2665,24.0655,24.6289
06/04/2017,26.2697,28.1074,22.2665,24.0722,24.8080
05/04/2017,25.7010,28.2995,22.3134,24.1150,24.9260
03/04/2017,24.4536,20.9211,20.4044,22.9676,24.1654
31/03/2017,24.6491,19.3520,21.4018,23.0045,24.0619
30/03/2017,24.8827,19.1187,21.3288,23.1464,24.1805
29/03/2017,25.1519,20.1946,21.3268,23.2696,24.3409
28/03/2017,27.3259,13.8813,19.2656,22.2405,23.7039
27/03/2017,28.0496,14.4005,19.6449,22.5109,23.6975
24/03/2017,27.6275,14.1064,19.4959,22.4066,24.1456
23/03/2017,27.3590,14.6233,19.2346,22.5204,24.9512
22/03/2017,27.9404,16.0291,19.4919,22.8360,25.0002
21/03/2017,28.1500,20.3138,24.9805,22.8712,25.2055
20/03/2017,28.0149,20.2994,25.0047,23.0533,25.2288
17/03/2017,25.3562,20.7463,25.5327,23.1017,25.4218
16/03/2017,25.5830,20.7213,25.1538,22.9987,25.6996
15/03/2017,27.6798,20.2335,25.1795,23.0151,25.8276
14/03/2017,29.3165,18.9943,24.7611,22.8374,25.8143
13/03/2017,29.0954,19.4611,24.7806,23.2249,25.8254
10/03/2017,27.1098,24.1833,24.8878,24.5135,25.8330
09/03/2017,27.3469,23.6065,25.0741,24.8162,25.7648
08/03/2017,28.1071,22.5007,24.7405,24.6356,25.7777
07/03/2017,26.8512,18.8291,24.4757,24.2443,25.5235
06/03/2017,27.8271,22.1420,24.4586,24.5278,25.5850
