Underlying Name ,China Mengniu Dairy Co. Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
14/06/2017,24.7730,15.1013,20.3775,22.5203,23.8734
13/06/2017,24.7900,14.9914,20.2569,22.5037,23.9659
12/06/2017,23.0587,15.2539,20.2913,22.8405,24.3757
09/06/2017,22.1176,14.4408,20.0245,22.7496,24.3616
08/06/2017,21.9111,15.8039,20.1320,23.3831,24.3393
07/06/2017,22.0793,17.5574,19.7378,23.2483,24.3000
06/06/2017,20.8920,17.3781,19.7003,23.2540,24.4797
05/06/2017,21.8781,15.2243,19.0605,23.4573,24.3767
02/06/2017,22.1960,15.2363,19.0273,23.6896,24.3617
01/06/2017,22.7791,15.9443,20.3929,23.8568,24.6341
31/05/2017,23.3014,18.3279,20.3998,23.8589,25.0997
29/05/2017,24.2591,18.0016,20.3709,23.9143,25.1255
26/05/2017,23.7941,19.5742,20.7293,24.2239,25.1441
25/05/2017,24.1256,22.0245,20.7477,24.4782,25.2945
24/05/2017,24.7135,20.7461,21.5789,24.3265,25.3536
23/05/2017,25.1161,19.6249,20.7207,23.8740,25.0786
22/05/2017,26.1733,19.3088,21.3834,23.9291,25.0913
19/05/2017,24.7892,19.2581,22.0677,24.6348,25.4784
18/05/2017,25.5606,26.4965,22.2023,24.6228,25.5609
17/05/2017,25.2705,26.0668,26.3424,24.5837,25.5692
16/05/2017,25.3862,26.7147,25.8047,24.2730,25.3721
15/05/2017,26.6511,26.6771,26.3129,24.6925,25.3827
12/05/2017,25.7982,24.7340,25.7146,24.3287,25.5390
11/05/2017,26.3147,23.7847,25.4475,25.8329,25.5056
10/05/2017,26.1693,21.4954,24.7633,25.6074,25.3631
09/05/2017,25.7651,20.1847,24.7928,25.3783,25.2169
08/05/2017,26.4753,20.3202,24.8557,25.6053,25.3494
05/05/2017,27.5418,20.4725,25.0684,25.6030,25.3359
04/05/2017,26.5469,14.4748,23.8566,25.1006,25.2560
02/05/2017,26.7276,18.5972,25.2146,25.6723,25.6838
28/04/2017,24.4603,15.9239,24.7279,25.6018,25.4889
27/04/2017,24.3698,16.0994,24.7918,25.7684,25.5528
26/04/2017,25.2069,16.5253,25.3826,26.3267,25.9257
25/04/2017,25.4601,16.5584,25.3956,26.4067,25.9977
24/04/2017,27.5670,19.6944,26.3945,26.3420,26.2037
21/04/2017,27.4529,19.6228,26.4913,26.4401,26.1514
20/04/2017,27.5753,20.1901,26.4881,26.6853,26.2487
19/04/2017,28.7051,20.4815,27.2791,26.7199,26.4358
18/04/2017,29.1477,21.9141,27.6290,26.7158,26.8084
13/04/2017,27.1093,33.9495,27.0920,26.6379,26.5918
12/04/2017,29.2461,34.0587,27.0885,27.2534,26.6376
11/04/2017,29.9627,35.4778,27.1835,27.3103,26.7764
10/04/2017,30.9451,35.2602,27.6151,27.2317,26.7220
07/04/2017,29.6717,35.2101,28.0467,27.4487,27.8144
06/04/2017,30.0855,32.7617,27.1719,27.2101,27.5482
05/04/2017,29.6628,34.3049,27.0229,27.1479,27.4938
03/04/2017,31.0111,33.0537,26.5827,26.8676,27.3535
31/03/2017,28.7478,31.9304,27.0014,27.0655,27.2666
30/03/2017,29.1259,31.6237,26.9166,27.1714,27.2398
29/03/2017,29.1221,23.4078,23.1438,25.3994,26.0512
28/03/2017,29.8730,23.2336,23.0392,25.3399,25.9722
27/03/2017,29.5142,21.3418,23.3959,25.1261,25.8383
24/03/2017,29.0702,23.4450,23.2971,25.5937,25.8525
23/03/2017,28.7159,23.5715,26.6072,25.7159,25.8523
22/03/2017,27.6671,27.1251,26.7067,25.7970,26.1250
21/03/2017,27.0754,25.8085,25.8800,25.4233,26.1662
20/03/2017,30.8035,25.7486,26.4463,25.6418,26.5577
17/03/2017,30.4597,25.6034,25.9199,25.4048,26.5067
16/03/2017,31.5329,27.7427,26.1965,26.0155,26.5125
15/03/2017,31.3441,25.7685,26.2323,26.1169,26.2108
