Underlying Name ,Esprit Holdings Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
23/06/2017,18.6732,88.8313,55.6399,43.8320,42.9663
22/06/2017,18.8770,88.8935,55.9353,43.7503,42.9439
21/06/2017,18.6556,89.6986,56.0954,44.0336,42.8443
20/06/2017,17.3391,78.7540,53.0108,42.1207,41.7464
19/06/2017,18.7364,79.6027,54.0343,42.3185,41.6337
16/06/2017,15.9520,81.2112,54.1074,42.3711,41.5765
15/06/2017,18.6579,71.2908,47.6139,37.7608,38.2259
14/06/2017,18.7412,29.3995,25.6069,24.8653,29.9766
13/06/2017,18.6140,25.1479,24.3973,24.1955,29.5426
12/06/2017,18.4040,19.0146,22.9624,23.7808,29.1424
09/06/2017,18.8032,18.7400,22.6849,23.6347,29.1010
08/06/2017,18.5475,19.7133,22.5353,24.3890,29.0948
07/06/2017,18.5611,19.6256,22.7822,24.4521,29.0856
06/06/2017,18.4551,22.3622,22.7965,24.4626,29.1378
05/06/2017,18.4333,22.7879,22.7887,24.4424,29.1847
02/06/2017,18.5541,22.7857,22.7536,24.4963,29.1813
01/06/2017,18.4891,26.1213,23.0585,24.4210,29.1008
31/05/2017,18.5829,19.9150,21.0826,23.5064,28.6579
29/05/2017,18.3861,19.8854,21.0900,23.4933,28.6895
26/05/2017,18.5179,19.9306,21.4654,24.0177,28.7095
25/05/2017,20.3916,19.9533,21.4706,28.6733,28.7452
24/05/2017,20.6568,22.4924,21.3691,33.8493,28.6593
23/05/2017,20.0883,23.1109,21.4589,33.8622,28.7177
22/05/2017,20.1895,22.5340,22.0355,34.2290,28.5676
19/05/2017,19.5229,25.8814,21.9353,34.2105,28.5391
18/05/2017,20.4730,28.2949,22.0087,34.2101,28.5442
17/05/2017,18.9922,29.5486,21.2995,33.7337,28.2186
16/05/2017,22.4592,29.0905,21.3278,33.6989,28.1983
15/05/2017,23.5293,28.6541,21.9559,33.5603,28.2705
12/05/2017,23.8549,27.9211,22.9588,33.4489,28.1941
11/05/2017,24.0464,27.8594,26.0014,33.4349,28.2606
10/05/2017,22.2652,26.7451,25.5935,33.3158,28.4299
09/05/2017,23.0362,27.0412,27.1233,33.3380,28.4166
08/05/2017,24.1908,25.6577,27.1168,33.3032,28.6678
05/05/2017,22.9109,21.0027,26.2674,32.8946,28.3886
04/05/2017,25.2310,18.6222,25.9836,32.5815,28.2282
02/05/2017,23.6024,12.3267,24.5353,31.8297,27.7805
28/04/2017,23.7473,12.2435,24.5323,31.8166,27.7771
27/04/2017,24.5851,12.5316,24.3849,31.8164,28.0267
26/04/2017,25.8021,14.6381,24.9020,31.8637,28.2648
25/04/2017,26.9798,14.6746,24.9036,31.8732,28.2869
24/04/2017,27.7025,15.1683,26.4140,31.8956,28.3076
21/04/2017,26.5218,13.9143,26.2558,31.8491,28.3354
20/04/2017,25.4560,17.9174,26.2558,31.9340,28.4235
19/04/2017,26.6793,18.1660,26.1357,32.0191,28.5237
18/04/2017,27.6026,17.9008,26.2196,32.0178,28.6842
13/04/2017,26.9280,18.0953,25.8986,31.7687,28.5213
12/04/2017,26.1556,19.0505,25.8947,31.7632,28.6064
11/04/2017,26.4766,23.1301,25.9087,31.7632,28.9314
10/04/2017,25.5005,25.1304,26.6904,31.5918,28.8214
07/04/2017,23.1329,34.1126,34.7307,31.6034,28.8132
06/04/2017,25.1193,34.0035,43.0301,31.6067,28.8080
05/04/2017,26.8260,37.4601,42.9431,31.5745,28.7667
03/04/2017,26.0648,36.7086,42.8498,31.1051,29.0780
31/03/2017,27.2253,37.8810,42.8515,31.0957,29.0670
30/03/2017,27.4809,37.8926,42.5754,30.9479,29.0148
29/03/2017,27.2783,36.6691,41.9801,30.6903,28.7958
28/03/2017,27.2294,36.2663,41.9806,30.6684,30.0221
27/03/2017,27.9986,34.5722,41.8410,30.8123,30.1276
24/03/2017,28.0481,32.9162,40.7546,30.2119,29.7534
