Underlying Name ,Huaneng Power International, Inc.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
27/06/2017,27.2997,31.9418,28.1523,27.8015,27.8888
26/06/2017,27.5487,31.6907,27.9679,27.8639,29.4197
23/06/2017,27.2350,31.2076,27.8192,27.7915,29.3802
22/06/2017,26.4762,27.5062,29.7604,27.8536,29.1939
21/06/2017,27.3334,17.5083,26.4454,28.4112,28.0715
20/06/2017,23.3015,17.6523,32.3329,28.4112,28.0715
19/06/2017,27.2226,17.6405,32.2014,28.3835,28.0501
16/06/2017,23.0571,10.8743,32.5023,28.1022,27.9037
15/06/2017,23.5470,11.3045,32.4355,30.1954,27.8952
14/06/2017,20.4407,10.9591,32.1253,30.1700,27.8185
13/06/2017,23.4103,13.4001,32.0772,30.1880,27.8120
12/06/2017,23.0461,33.7840,32.4237,30.3181,27.8464
09/06/2017,23.7640,33.3213,32.1701,30.2721,27.7798
08/06/2017,22.8909,32.4240,31.8012,30.1788,27.6471
07/06/2017,27.3976,31.6781,31.6004,30.0822,27.6051
06/06/2017,28.1767,32.7424,31.8689,30.0822,27.6051
05/06/2017,26.4581,32.6876,31.8162,30.0952,27.6676
02/06/2017,27.7000,31.8865,31.7995,30.1145,27.6466
01/06/2017,27.3997,31.0433,32.2430,29.9896,27.5350
31/05/2017,25.7671,31.7131,31.9240,29.9654,27.4485
29/05/2017,26.4603,33.1413,31.9188,29.9619,27.4499
26/05/2017,20.5037,18.9257,28.2472,28.0093,25.9499
25/05/2017,22.5749,19.1221,28.4400,27.9966,25.9346
24/05/2017,22.8989,28.0357,28.4909,27.9999,25.9140
23/05/2017,22.8302,28.5520,28.4767,27.9896,25.9059
22/05/2017,25.4346,40.8500,28.1328,27.9381,25.8763
19/05/2017,26.7079,40.5335,28.4016,27.9857,25.9248
18/05/2017,27.4206,43.6543,28.3932,27.9989,25.9783
17/05/2017,26.6443,43.3721,28.4965,28.3010,25.9466
16/05/2017,29.0321,41.9271,28.1291,28.2286,25.8264
15/05/2017,28.7653,41.2235,27.4939,27.9096,25.8765
12/05/2017,28.5502,41.5059,28.0098,30.2445,25.9140
11/05/2017,28.8102,41.1887,27.8637,30.1857,25.8909
10/05/2017,27.1421,37.3037,26.2863,29.0776,24.9713
09/05/2017,30.3613,36.9799,30.6434,29.0425,24.9554
08/05/2017,22.2681,19.1050,23.4315,25.9157,22.5358
05/05/2017,21.3160,18.9658,23.2814,25.9178,22.5387
04/05/2017,22.5544,16.1037,22.9167,25.5846,22.2888
02/05/2017,23.8125,19.4222,28.1836,25.6072,22.3586
28/04/2017,22.1832,19.3506,28.5133,25.6561,22.3775
27/04/2017,23.3917,19.6637,28.5413,25.6567,22.3895
26/04/2017,21.7665,16.7772,28.3361,25.4503,22.3645
25/04/2017,23.1488,19.4112,28.4452,25.4709,22.3994
24/04/2017,21.9707,16.8248,28.1579,25.2920,22.2382
21/04/2017,22.5376,17.3705,28.1513,25.3099,22.2344
20/04/2017,22.6310,17.2151,28.0534,25.2275,22.2530
19/04/2017,24.4047,19.3788,28.0268,25.3043,22.2614
18/04/2017,22.8467,18.6008,28.2913,25.3293,22.2780
13/04/2017,24.5760,15.2881,27.6762,24.9559,21.9742
12/04/2017,24.9878,16.2320,28.0156,24.9628,21.9742
11/04/2017,25.5122,16.0397,28.0186,24.9456,22.8022
10/04/2017,24.7290,17.6948,28.1413,24.9266,22.8035
07/04/2017,22.8613,15.3824,27.7257,24.7281,22.6581
06/04/2017,22.2512,19.3625,27.7732,24.7348,22.6467
05/04/2017,22.6318,31.8458,27.7724,24.7252,22.6748
03/04/2017,22.7121,31.2802,27.8351,24.8089,22.6958
31/03/2017,21.4276,28.0252,27.4793,24.6293,22.5362
30/03/2017,22.9933,28.5425,27.4316,24.6904,22.5405
29/03/2017,24.0673,43.2586,27.8839,24.6097,22.4718
28/03/2017,25.5212,44.2014,28.2273,24.6310,22.4591
