Underlying Name ,Jiangxi Copper Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
25/07/2017,32.3110,34.7109,28.1175,25.7426,25.1701
24/07/2017,31.8617,34.4239,29.1516,25.6363,25.9082
21/07/2017,30.7910,35.3933,28.8715,25.5233,25.9148
20/07/2017,30.7773,34.9583,28.7558,25.4540,26.2862
19/07/2017,30.8902,28.0936,26.4395,24.4846,25.6941
18/07/2017,36.0844,26.5424,27.8103,23.9374,25.3130
17/07/2017,32.0083,23.6102,25.6297,22.4433,24.3374
14/07/2017,28.9568,23.3497,25.8057,22.7562,24.3965
13/07/2017,30.5649,29.0792,26.1101,22.9686,24.4737
12/07/2017,28.7868,30.6580,25.5823,23.0991,24.3731
11/07/2017,29.1102,30.7023,25.9113,23.0846,24.4412
10/07/2017,31.1383,30.8214,25.8970,23.1239,24.4433
07/07/2017,31.5386,28.3210,25.3353,22.9530,25.7624
06/07/2017,31.0637,28.7001,25.5362,23.0576,26.0280
05/07/2017,30.3089,28.1744,25.6639,23.0459,26.5015
04/07/2017,30.4217,28.2765,26.0921,22.8043,26.4531
03/07/2017,31.2670,22.3643,24.8296,23.9854,26.2128
30/06/2017,31.7005,21.9970,24.7982,24.4157,26.3203
29/06/2017,31.9398,20.5884,23.4375,23.4393,25.6754
28/06/2017,30.1410,18.4230,21.9519,22.6345,25.7516
27/06/2017,28.0046,16.4369,21.7451,22.5216,25.6555
26/06/2017,29.0591,23.9688,22.2540,23.3576,26.4879
23/06/2017,28.7599,23.9604,22.2644,23.3770,26.6505
22/06/2017,28.7179,23.9609,22.2321,23.3724,26.7897
21/06/2017,28.9848,23.9007,22.4147,23.6341,27.0827
20/06/2017,29.6207,31.2324,22.4562,23.6642,27.1201
19/06/2017,28.4425,31.4054,22.6255,23.6579,27.3543
16/06/2017,27.4270,31.3708,23.4423,23.5095,27.4704
15/06/2017,30.0027,30.4130,24.0717,23.8512,27.5348
14/06/2017,34.7781,27.8928,23.2218,23.6028,27.7235
13/06/2017,36.8190,29.2206,23.5228,23.6027,27.7234
12/06/2017,31.1772,24.4832,21.6787,24.1308,28.0170
09/06/2017,29.0340,25.0003,21.7389,24.2271,28.0703
08/06/2017,29.7995,25.8283,21.7461,24.8039,29.2447
07/06/2017,31.1499,26.4808,22.0024,24.8794,29.4408
06/06/2017,25.4824,17.0883,18.0970,23.2092,28.6171
05/06/2017,27.0441,19.2329,18.1048,23.2521,28.6912
02/06/2017,25.6977,19.3628,18.6690,23.3249,28.7436
01/06/2017,28.0711,19.5964,18.8711,23.3537,28.6973
31/05/2017,29.6425,19.4713,20.0079,23.7093,28.7116
29/05/2017,30.6008,18.6078,19.7822,23.6810,28.6554
26/05/2017,31.1331,20.3041,19.8753,23.6664,28.6720
25/05/2017,30.8011,19.8668,19.6635,25.6612,29.5224
24/05/2017,29.3036,18.4077,19.5562,25.7870,29.6605
23/05/2017,29.6622,18.4163,19.4832,26.5929,29.7502
22/05/2017,30.4601,15.3227,18.9177,26.5843,29.5942
19/05/2017,28.0916,15.3441,23.0541,26.6146,30.0008
18/05/2017,28.5064,19.7509,23.7020,26.6867,30.1294
17/05/2017,28.7259,22.6229,23.5148,26.6290,30.3456
16/05/2017,28.0098,22.5931,23.5680,27.4336,30.3611
15/05/2017,29.3851,23.3712,23.5555,27.3623,30.3828
12/05/2017,29.5247,20.7660,24.3492,28.2984,30.3074
11/05/2017,29.7463,20.9430,24.2880,28.5418,30.3047
10/05/2017,30.1318,20.9278,24.2079,28.7456,31.4683
09/05/2017,30.3635,21.1568,24.5717,29.1833,31.4313
08/05/2017,31.7078,19.9953,24.2342,29.1620,31.5605
05/05/2017,31.6271,20.0560,24.2195,29.4491,31.5265
04/05/2017,29.8799,18.5880,23.5724,29.4008,31.9784
02/05/2017,29.0546,15.7082,23.9357,29.2611,32.3460
28/04/2017,29.2144,19.3797,24.2444,29.8510,32.3728
