Underlying Name ,Kunlun Energy Co. Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
31/07/2017,28.9083,22.9735,23.6276,21.2822,24.9394
28/07/2017,28.5738,19.9360,22.9576,21.1180,24.5379
27/07/2017,27.7268,18.8102,22.0188,20.8321,24.3940
26/07/2017,28.9678,20.0485,23.0640,21.2753,24.3799
25/07/2017,27.1519,20.6613,23.0621,21.2694,24.5585
24/07/2017,27.8939,20.5307,22.8533,21.2080,24.5054
21/07/2017,27.0522,20.8056,23.1395,21.1679,24.5834
20/07/2017,27.5222,22.6250,23.4324,21.1397,24.8022
19/07/2017,26.8600,22.7892,23.9379,20.6646,24.5078
18/07/2017,28.5177,23.4495,23.7171,20.5034,24.3780
17/07/2017,27.8974,23.3332,24.2482,20.5271,24.3790
14/07/2017,26.6381,22.4683,24.1034,20.6435,24.3611
13/07/2017,26.4465,22.1519,23.5467,20.4797,25.2859
12/07/2017,26.0088,22.3752,23.3763,20.0218,25.0037
11/07/2017,25.3480,24.4837,23.1228,19.6001,24.8516
10/07/2017,26.1631,25.2127,23.0235,21.6461,24.8469
07/07/2017,24.5696,25.8096,23.0052,21.6430,24.9102
06/07/2017,23.5359,24.6201,20.8259,20.4392,24.3117
05/07/2017,23.9273,24.3529,20.8409,20.4397,24.4140
04/07/2017,24.9781,26.4166,20.9060,20.9237,24.4136
03/07/2017,25.0193,26.4869,20.9500,25.7479,24.5383
30/06/2017,25.5677,24.9198,19.7744,25.9341,24.2457
29/06/2017,24.6759,24.9091,19.7784,26.0497,24.2343
28/06/2017,24.8645,22.9478,18.6105,25.4432,23.8710
27/06/2017,24.4759,22.3607,18.7779,25.3545,23.7829
26/06/2017,24.8460,21.6250,18.6008,25.2712,23.7161
23/06/2017,23.6595,21.8307,19.0078,25.3961,23.7529
22/06/2017,21.6578,14.1651,16.6044,24.8681,23.5683
21/06/2017,22.0463,15.7538,16.7035,24.9643,24.8420
20/06/2017,21.7130,17.2796,16.8363,24.8084,24.7084
19/06/2017,20.3315,15.9088,16.5225,24.7373,24.6659
16/06/2017,20.5052,16.9349,17.3645,24.7344,24.6586
15/06/2017,22.2282,18.0674,17.7366,24.8443,24.6762
14/06/2017,21.0554,18.1511,17.7564,24.5331,24.5652
13/06/2017,21.5992,18.1435,17.7512,24.9180,24.5734
12/06/2017,21.8124,18.1572,17.7661,24.9383,24.5893
09/06/2017,21.4331,18.3829,17.7097,25.0065,24.5581
08/06/2017,22.5494,19.6811,17.5564,25.2115,24.4850
07/06/2017,21.0974,17.2138,16.5068,24.8069,24.1796
06/06/2017,20.9690,15.8051,16.2646,24.7152,24.1338
05/06/2017,22.5987,15.7372,15.8487,24.5541,23.9865
02/06/2017,21.5753,15.6698,16.0538,24.5508,24.2205
01/06/2017,20.8621,14.8433,16.3132,26.2543,24.2021
31/05/2017,20.5442,15.1988,15.9537,25.9707,24.0220
29/05/2017,19.8999,14.1678,15.5696,25.8398,23.8767
26/05/2017,20.8733,14.5589,20.1976,25.8736,23.8547
25/05/2017,21.0309,15.3832,20.2697,25.9735,23.8494
24/05/2017,21.7028,14.9847,20.2257,25.9951,23.8245
23/05/2017,23.2592,15.1333,20.1818,26.1274,23.8500
22/05/2017,25.4475,15.1359,21.2294,26.0809,23.8089
19/05/2017,24.7935,15.0328,30.1572,26.2328,23.8421
18/05/2017,25.6261,18.4482,31.1005,26.1579,23.7993
17/05/2017,26.5112,17.5547,31.2526,26.0635,23.7116
16/05/2017,26.3132,19.9973,31.0059,25.9454,23.6069
15/05/2017,25.6303,19.4330,30.8509,25.8844,23.6635
12/05/2017,24.9184,19.3169,30.8074,25.8492,23.6124
11/05/2017,25.7895,18.0511,30.8326,25.8148,23.6488
10/05/2017,26.4313,18.0494,31.2728,26.2193,23.7126
09/05/2017,26.9927,17.5429,31.3719,27.8254,23.7644
08/05/2017,28.1749,15.0218,31.1161,27.7676,23.7017
