Underlying Name ,AAC Technologies Holdings Inc.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
24/08/2017,42.9865,48.3646,58.3385,52.5880,54.1090
23/08/2017,44.1573,48.4638,59.4813,52.5835,54.1109
22/08/2017,44.1577,49.0502,59.6661,52.5835,54.1598
21/08/2017,45.7684,48.8291,60.0520,52.5237,54.1602
18/08/2017,47.5438,45.1063,59.1438,51.9605,53.7359
17/08/2017,45.6244,44.4606,58.9818,51.8670,53.6905
16/08/2017,46.9677,46.5545,58.7162,51.7069,53.6582
15/08/2017,46.3303,50.6634,58.6191,51.6712,53.6592
14/08/2017,49.3686,50.7440,59.2138,51.6477,53.6521
11/08/2017,46.4335,38.7407,56.1807,50.0048,52.7805
10/08/2017,42.9253,31.6479,55.0279,53.9984,52.3451
09/08/2017,40.5863,31.3025,55.1100,54.1154,52.5287
08/08/2017,41.2899,35.4743,55.3423,54.3493,52.4974
07/08/2017,43.0333,35.3135,55.3346,55.1961,52.6945
04/08/2017,42.0315,40.6112,55.2657,55.6056,52.8079
03/08/2017,44.0027,73.5498,55.3040,60.1708,55.1662
02/08/2017,42.9427,81.1412,54.5003,59.9530,54.9299
01/08/2017,41.9341,76.3264,53.0134,59.2063,54.4504
31/07/2017,42.7101,85.4450,53.1553,59.2714,54.4855
28/07/2017,41.4457,85.4732,53.1601,59.4579,54.4766
27/07/2017,42.4576,85.9238,53.2431,59.7851,54.5767
26/07/2017,42.8401,89.0887,53.2083,59.7514,54.5708
25/07/2017,43.0805,88.3031,52.4422,60.4935,54.4067
24/07/2017,45.5275,89.3728,52.5290,60.5224,54.6224
21/07/2017,44.5691,85.8612,52.4724,59.9699,54.1529
20/07/2017,43.8122,42.1032,36.5737,54.0017,49.6419
19/07/2017,40.6130,37.9810,34.8613,52.7943,48.8859
18/07/2017,42.7456,38.0913,49.4948,53.2400,49.1592
17/07/2017,37.8768,33.5722,46.7845,51.6619,48.1820
14/07/2017,38.4294,33.8212,47.2935,52.5811,48.1634
13/07/2017,36.3204,32.4149,46.5604,52.3763,48.0011
12/07/2017,35.8741,27.0675,45.5036,51.6855,47.5382
11/07/2017,34.8785,28.4260,45.3789,51.6169,47.7303
10/07/2017,34.8422,24.6732,44.7862,51.3560,47.5168
07/07/2017,33.5947,24.1642,44.6542,51.2407,48.1793
06/07/2017,34.8946,24.4398,44.6542,51.2402,48.2453
05/07/2017,35.0327,23.5303,44.6169,51.2355,48.2000
04/07/2017,35.9227,23.1923,44.6358,51.2329,48.1879
03/07/2017,37.1318,20.1631,43.8220,51.0431,48.0194
30/06/2017,36.9948,20.8070,43.8408,51.4425,48.0209
29/06/2017,37.6092,19.9533,53.8729,51.3648,47.9969
28/06/2017,39.2671,18.3032,54.0119,51.5287,48.0925
27/06/2017,37.9513,15.7722,54.2542,51.3949,48.0210
26/06/2017,39.3277,16.4028,55.8506,51.6553,48.1973
23/06/2017,39.8860,24.2750,56.5753,51.8870,48.1745
22/06/2017,40.8554,30.4939,64.9593,55.5431,48.1591
21/06/2017,41.5111,36.3444,65.0886,55.5416,48.1735
20/06/2017,42.1839,72.4374,65.2269,55.5880,48.4786
19/06/2017,43.3156,71.5284,65.3843,55.5785,48.4535
16/06/2017,44.3277,73.3047,65.5608,55.5624,48.4364
15/06/2017,45.6494,72.5191,66.0148,55.6756,48.4334
14/06/2017,46.8400,72.4520,66.0044,55.6824,48.6774
13/06/2017,48.4420,72.1122,68.1131,55.7945,48.7162
12/06/2017,51.2288,72.5838,68.0759,56.0729,48.6646
09/06/2017,45.4366,66.9609,67.2570,55.4103,48.2669
08/06/2017,47.7547,67.0102,66.4577,55.0583,48.0100
07/06/2017,50.5926,65.9594,65.2349,54.5619,47.6262
06/06/2017,43.4797,7.2181,53.1186,48.0154,42.5132
05/06/2017,43.4591,7.2181,53.6783,48.3958,42.6469
02/06/2017,43.4595,0.0000,56.0941,48.3069,42.7973
