Underlying Name ,Cheung Kong Property Holdings Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
28/08/2017,20.2302,17.1489,19.1509,16.7992,14.6977
25/08/2017,19.8193,17.4240,19.2333,16.8014,14.6971
24/08/2017,19.8876,18.4043,19.2036,16.9066,14.9828
23/08/2017,19.9093,19.3351,19.1670,16.8712,14.9828
22/08/2017,19.9795,19.5075,19.1814,16.9760,15.1909
21/08/2017,20.0296,19.2681,19.0056,16.8296,15.0828
18/08/2017,20.0439,21.6427,19.2085,16.8264,15.0801
17/08/2017,19.9284,29.8311,18.7834,16.5784,14.9006
16/08/2017,20.8749,28.3902,18.1265,16.2408,14.6757
15/08/2017,20.6487,27.5846,18.4588,16.0559,14.4820
14/08/2017,21.5025,26.9189,19.7051,15.7187,14.2367
11/08/2017,21.3248,26.8991,19.7795,15.7089,14.2517
10/08/2017,19.6613,24.2969,19.3877,15.3721,14.0151
09/08/2017,19.8427,20.9192,18.6767,15.0778,13.9988
08/08/2017,18.4028,21.2924,18.8309,15.4250,14.1519
07/08/2017,19.0422,21.4967,18.6983,15.3154,14.1160
04/08/2017,18.5073,21.3052,18.2694,15.0406,13.9129
03/08/2017,24.9930,10.4806,13.9515,12.7404,12.4442
02/08/2017,24.0152,11.8022,13.9869,12.7333,12.6144
01/08/2017,23.8519,12.7983,13.9539,12.7084,12.6717
31/07/2017,20.6714,8.0558,12.6603,12.0263,12.3669
28/07/2017,20.5658,7.9993,12.5809,12.0139,12.3407
27/07/2017,20.7620,7.9729,12.6115,12.0297,12.4011
26/07/2017,19.7255,8.9773,12.6408,12.0338,12.4165
25/07/2017,20.3044,9.0366,12.7827,12.0607,12.4611
24/07/2017,19.9725,9.4986,13.0095,12.0464,12.4616
21/07/2017,20.1028,10.9932,13.0260,12.0365,12.4571
20/07/2017,18.8970,11.3306,12.7746,12.1254,12.5179
19/07/2017,19.0846,10.6329,12.6283,12.0967,12.4349
18/07/2017,19.8072,13.1526,12.5605,12.0135,12.3784
17/07/2017,19.3893,19.7445,14.1577,12.0110,12.5065
14/07/2017,17.5514,19.6977,14.1258,11.9616,12.8187
13/07/2017,18.8702,20.3857,14.5089,12.5033,13.1730
12/07/2017,19.2900,19.7326,14.3905,12.4863,13.1286
11/07/2017,18.9746,19.8194,14.6880,12.8809,13.2552
10/07/2017,19.8838,19.1962,14.5713,12.8215,13.2272
07/07/2017,19.7676,17.5389,14.1711,12.6069,13.0742
06/07/2017,18.0664,16.0767,13.8916,12.4668,12.9724
05/07/2017,17.4303,13.6230,13.5160,12.3461,12.9604
04/07/2017,17.7314,12.9782,13.0624,12.0278,12.7999
03/07/2017,17.3846,6.9815,10.5090,10.6507,11.9856
30/06/2017,18.1949,7.4192,10.4190,10.6401,11.9657
29/06/2017,17.7378,5.6184,10.1181,10.5079,12.1744
28/06/2017,18.6931,6.0882,10.5171,11.0018,12.1794
27/06/2017,18.3070,6.5167,11.2336,11.1870,12.1437
26/06/2017,18.4137,7.9420,11.2196,11.2683,12.1909
23/06/2017,18.4392,8.4461,11.2234,11.2794,12.3218
22/06/2017,18.3874,8.4552,11.5765,11.7253,12.3217
21/06/2017,18.6764,8.3753,11.4995,11.9801,12.3166
20/06/2017,18.7754,8.4588,11.4227,12.0610,12.3178
19/06/2017,19.5650,13.8953,11.3525,12.2254,12.2868
16/06/2017,18.2808,13.8644,11.4525,12.2190,12.2814
15/06/2017,18.7251,14.8058,11.4716,12.3008,12.2857
14/06/2017,17.7490,14.4136,11.3351,12.2753,12.2716
13/06/2017,19.3007,13.6973,11.0596,12.2046,12.2035
12/06/2017,18.8874,13.6178,10.8954,12.1275,12.4196
09/06/2017,17.5703,12.6302,10.6741,12.0386,12.3799
08/06/2017,18.9983,12.3382,10.9013,12.2326,12.3943
07/06/2017,19.1038,11.9355,11.1262,12.2021,12.5428
06/06/2017,19.3779,12.8298,11.0061,12.1510,13.1784
