Underlying Name ,AIA Group Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
31/08/2017,22.2095,12.8340,19.2726,18.8465,19.6528
30/08/2017,21.7419,16.0213,19.8135,18.8488,19.6525
29/08/2017,21.9636,14.7753,19.6164,18.7294,19.5738
28/08/2017,21.8605,14.1272,19.5422,18.6075,19.6477
25/08/2017,21.7106,14.4329,19.5485,18.6092,19.7592
24/08/2017,21.5097,17.2280,19.6794,18.5489,19.8966
23/08/2017,22.1689,16.2195,19.5473,18.4693,19.8589
22/08/2017,22.0938,18.2298,19.9479,18.5430,19.9178
21/08/2017,21.8678,19.1489,20.8860,18.4451,19.9523
18/08/2017,22.1690,19.1259,21.3075,18.4378,19.9389
17/08/2017,21.5828,19.0288,21.0882,18.3882,19.8358
16/08/2017,21.8542,17.7101,20.3144,18.0021,19.5836
15/08/2017,22.6054,17.1702,20.5205,17.9868,19.5889
14/08/2017,23.2989,17.3967,22.1683,17.9728,19.6092
11/08/2017,23.3974,25.5694,22.5853,17.9391,19.7395
10/08/2017,21.1121,25.6958,22.0190,17.4090,19.4317
09/08/2017,20.8881,27.2083,21.9930,17.6096,19.4405
08/08/2017,20.0901,24.9362,21.3983,17.1852,19.0815
07/08/2017,19.1876,24.3628,21.1159,17.0106,19.2338
04/08/2017,19.5684,24.0051,21.1502,17.0748,19.2092
03/08/2017,19.0232,23.8121,20.8940,16.9382,19.1253
02/08/2017,21.5208,24.3851,21.1337,16.9339,19.1537
01/08/2017,20.7314,24.5425,21.2640,17.1592,19.1108
31/07/2017,21.6187,24.5929,21.2395,17.1641,19.0982
28/07/2017,21.4597,18.7237,19.7973,15.9073,18.3292
27/07/2017,24.3948,15.8553,18.6696,15.2781,18.4418
26/07/2017,23.1884,13.8355,18.3653,15.2400,18.2690
25/07/2017,23.3028,14.2616,18.1615,15.3483,18.2661
24/07/2017,22.4975,17.8373,18.2543,19.6230,19.0642
21/07/2017,21.4255,18.5824,18.7345,19.9097,19.1752
20/07/2017,21.5395,17.9847,18.6486,19.8662,19.1184
19/07/2017,19.2534,17.2313,18.1568,19.6736,19.0297
18/07/2017,21.4599,16.2174,18.0247,19.5740,18.9713
17/07/2017,21.3994,23.2228,17.9337,19.7674,18.9391
14/07/2017,20.3666,24.8877,17.9384,19.9545,18.9870
13/07/2017,20.9827,24.9138,17.5779,20.0439,18.8774
12/07/2017,21.6349,25.0007,17.5547,20.0452,18.8772
11/07/2017,21.7637,24.8527,17.3244,19.9877,19.1648
10/07/2017,20.4092,20.7986,15.9972,19.6288,19.2937
07/07/2017,20.3182,19.2784,15.3510,19.4046,19.1762
06/07/2017,18.7876,19.4079,15.4950,19.3632,19.1503
05/07/2017,18.4443,21.2060,15.5195,19.3725,19.1546
04/07/2017,19.1487,19.7167,15.0795,19.2593,19.0608
03/07/2017,17.9896,15.4069,12.8412,18.3904,18.4821
30/06/2017,17.8486,17.1019,12.0144,18.3191,19.0437
29/06/2017,18.5880,15.6586,11.4619,18.1717,18.9452
28/06/2017,17.8316,16.4379,12.1182,18.2169,18.9349
27/06/2017,17.5493,14.8280,11.9279,17.9942,18.8521
26/06/2017,18.1128,14.7208,11.9504,18.3874,18.8604
23/06/2017,17.3879,16.5702,12.0174,18.3487,18.8208
22/06/2017,17.7372,16.9083,12.0422,18.3625,18.9625
21/06/2017,17.6526,15.7003,11.4404,18.2568,18.8743
20/06/2017,17.5666,14.6556,12.0487,18.1242,18.7981
19/06/2017,16.2638,14.7632,12.1139,18.1220,18.8280
16/06/2017,16.5021,11.1018,10.9425,17.7234,18.5893
15/06/2017,15.8593,10.6987,10.8740,18.4746,18.7820
14/06/2017,16.2106,9.8042,11.5873,18.3744,18.7834
13/06/2017,16.8544,10.3715,12.1936,18.4617,18.7759
12/06/2017,15.8203,9.8994,21.1994,19.6062,18.7688
09/06/2017,15.5744,5.9726,21.1848,19.5392,18.6353
