Underlying Name ,Want Want China Holdings Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
04/09/2017,30.2091,39.1515,28.3968,27.8847,26.1756
01/09/2017,30.0467,38.4691,28.4568,28.0018,26.3100
31/08/2017,29.9116,37.1626,28.1678,27.8354,26.2075
30/08/2017,30.7766,36.4058,27.9307,27.6467,25.9964
29/08/2017,30.8508,37.6208,28.2469,28.0879,25.9426
28/08/2017,30.3804,36.6474,28.0983,28.1814,25.9611
25/08/2017,29.4964,35.6303,28.0715,28.2041,26.4009
24/08/2017,29.9615,43.1049,28.0467,29.3139,26.5011
23/08/2017,29.5020,43.2087,29.3280,29.3381,26.5078
22/08/2017,29.0055,43.3691,29.4591,29.4723,26.5416
21/08/2017,32.3829,24.2170,21.4966,26.1105,24.1966
18/08/2017,32.9202,26.4959,21.6664,26.1520,24.2037
17/08/2017,30.8726,26.8594,23.6944,26.2815,24.2731
16/08/2017,32.4844,27.6732,24.1271,26.4503,25.6474
15/08/2017,34.6507,27.9972,23.7432,26.1963,29.1810
14/08/2017,35.3623,27.1844,25.1496,26.1189,29.1401
11/08/2017,34.9592,27.3676,25.3565,26.1199,29.3737
10/08/2017,30.3058,18.5768,22.9762,24.8346,28.6103
09/08/2017,29.1780,18.5361,23.2319,24.8203,28.6319
08/08/2017,26.7646,18.3133,24.1362,24.7975,28.7322
07/08/2017,27.3107,19.0435,24.6003,24.7351,28.6805
04/08/2017,26.4799,13.5720,23.3284,24.1963,28.3932
03/08/2017,27.0017,13.6724,23.3612,24.4005,28.4528
02/08/2017,26.3256,15.5319,23.5841,24.3519,28.9791
01/08/2017,27.9213,17.3934,23.3913,24.4342,28.9287
31/07/2017,29.0456,17.8121,24.8836,24.5112,28.9354
28/07/2017,28.6168,18.4763,25.2307,24.6749,28.9197
27/07/2017,28.6533,17.7560,25.5638,25.1288,29.1419
26/07/2017,28.3494,23.3963,26.3323,25.1834,29.1421
25/07/2017,29.4535,24.0290,28.0048,25.2539,29.2375
24/07/2017,27.9863,22.4612,27.7899,25.2382,29.3814
21/07/2017,27.7980,22.4894,27.8663,25.4161,29.3352
20/07/2017,27.3722,27.8917,27.8641,25.4177,29.4074
19/07/2017,28.1027,27.7117,27.7882,25.2189,29.2793
18/07/2017,28.3480,26.8412,28.3642,24.9567,29.5066
17/07/2017,27.5718,30.6732,28.7155,25.0681,29.4741
14/07/2017,26.8741,30.7460,28.8096,25.7576,29.4294
13/07/2017,28.3769,31.7198,31.0089,25.9307,29.4385
12/07/2017,26.9552,29.0142,29.7911,25.2254,29.1672
11/07/2017,28.3821,30.8582,29.9415,25.2183,29.1381
10/07/2017,30.2326,32.7458,30.1296,25.4480,29.1337
07/07/2017,29.1314,32.2143,29.9917,25.3124,29.1705
06/07/2017,27.7069,27.8153,28.9859,24.6811,29.9276
05/07/2017,27.4690,27.3188,28.8837,26.3459,29.8142
04/07/2017,28.3052,27.1378,28.7270,31.6738,29.8255
03/07/2017,27.8284,27.1378,27.4719,31.1281,29.6713
30/06/2017,27.1460,27.4161,27.2120,31.3611,29.7617
29/06/2017,25.8584,26.8245,26.8597,31.2103,29.6358
28/06/2017,26.2882,28.2659,26.6817,31.1646,29.6896
27/06/2017,25.0494,27.2844,25.6798,30.9514,29.4616
26/06/2017,27.5936,27.5175,25.1905,30.7123,29.2912
23/06/2017,26.9468,27.0844,25.4111,30.7956,29.3052
22/06/2017,27.9793,27.6686,25.7974,30.8592,29.3092
21/06/2017,27.8570,27.0160,25.4536,31.5133,29.2441
20/06/2017,28.0751,32.1910,25.7495,31.5141,29.2763
19/06/2017,28.7231,30.5236,24.5534,30.9524,28.9228
16/06/2017,28.1423,28.4848,24.4955,30.8011,28.9487
15/06/2017,28.1487,36.0391,25.1119,30.9516,28.8095
14/06/2017,28.9602,34.4835,24.4256,30.5770,29.0432
13/06/2017,28.9205,30.1079,22.4798,29.8329,28.8256
