Underlying Name ,Cathay Pacific Airways Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
05/09/2017,21.0587,11.3146,12.7391,14.5992,23.6715
04/09/2017,22.2546,11.7876,12.6887,14.6188,23.7403
01/09/2017,20.9423,12.5710,13.2961,15.0171,23.7403
31/08/2017,20.8555,14.6725,13.4589,14.9087,23.6827
30/08/2017,20.8399,15.4568,13.6999,19.6564,23.8221
29/08/2017,19.1219,14.7424,13.0600,19.5103,24.0170
28/08/2017,20.1114,14.9646,13.0456,20.0126,24.0055
25/08/2017,20.1788,15.4378,13.2422,20.0158,24.0167
24/08/2017,19.4837,16.0930,13.1984,19.9669,23.9937
23/08/2017,20.4279,15.7958,13.1993,20.1967,23.9423
22/08/2017,20.4309,16.0749,13.2840,20.9267,23.9657
21/08/2017,22.6548,16.7152,13.2121,20.8531,24.0881
18/08/2017,23.4846,16.3850,16.6488,21.1090,24.0558
17/08/2017,23.0943,13.6313,15.8771,21.2087,23.9021
16/08/2017,27.9242,12.0065,16.8034,24.4774,23.8829
15/08/2017,22.4828,9.8313,16.5787,24.4840,23.8504
14/08/2017,24.0047,9.7809,16.6377,24.8568,23.8300
11/08/2017,24.2763,9.5985,16.4916,24.7842,23.7870
10/08/2017,24.2191,10.1862,16.2382,24.9466,23.7154
09/08/2017,25.5434,11.5653,16.1823,26.7115,23.7365
08/08/2017,26.3240,11.2640,16.1799,26.9733,23.6866
07/08/2017,26.6571,8.6092,15.7622,26.9265,23.6252
04/08/2017,24.0394,11.7581,15.8642,26.9704,23.9754
03/08/2017,23.9443,13.3817,15.7647,26.9767,23.9631
02/08/2017,24.5043,14.1518,15.7385,27.4672,24.5346
01/08/2017,24.8539,14.3431,16.3528,27.4624,24.6344
31/07/2017,24.2207,14.4839,16.8984,27.4754,24.6684
28/07/2017,23.4612,15.0542,16.9047,27.4763,24.7672
27/07/2017,23.1436,13.6047,16.7087,27.4427,25.2288
26/07/2017,23.4807,11.8603,16.4049,27.4031,25.2974
25/07/2017,23.8501,12.5693,16.4534,27.5857,25.3064
24/07/2017,23.5518,12.3500,16.5428,27.6836,25.3064
21/07/2017,24.7723,21.9335,16.7742,27.4806,25.2044
20/07/2017,24.0462,20.0808,16.2447,27.2299,25.2240
19/07/2017,24.0718,21.9749,24.0655,27.3758,25.3446
18/07/2017,25.6395,21.3317,24.0285,27.6258,25.4121
17/07/2017,25.7969,21.8988,24.6155,27.6148,26.2241
14/07/2017,25.7101,20.4397,24.3034,27.4997,26.1788
13/07/2017,25.9897,20.1224,24.2675,27.5168,26.1928
12/07/2017,27.0815,20.4256,24.6228,27.5169,26.2142
11/07/2017,28.3182,21.5051,26.0956,27.5660,26.2212
10/07/2017,27.8006,20.7320,25.9912,27.7779,26.2275
07/07/2017,26.2173,13.3568,24.9895,27.0492,25.6427
06/07/2017,26.6588,13.2788,25.6924,27.0483,25.6689
05/07/2017,24.9334,8.7736,30.4756,26.8050,25.4699
04/07/2017,25.0098,11.3805,30.6209,26.8209,25.5468
03/07/2017,25.4884,12.5189,31.0554,26.7521,25.4851
30/06/2017,26.1317,12.6288,31.0554,26.7552,25.5065
29/06/2017,23.3394,12.0743,31.4601,26.7778,25.4980
28/06/2017,24.1302,12.0753,34.0768,26.8195,25.5718
27/06/2017,23.3827,12.4147,34.5550,26.7452,25.5250
26/06/2017,23.5467,12.1648,34.8348,26.8191,25.5273
23/06/2017,24.0196,13.2422,34.9196,27.2508,25.6402
22/06/2017,24.5303,14.0718,34.9378,27.2594,25.6773
21/06/2017,25.1982,35.9031,35.7923,28.0362,26.1739
20/06/2017,24.8630,34.9258,35.4029,27.9670,26.4206
19/06/2017,26.1549,34.6074,35.0576,27.8224,26.2809
16/06/2017,24.8898,34.7868,35.0885,27.9460,26.2829
15/06/2017,25.5257,34.7084,35.0885,28.6309,26.3125
14/06/2017,25.7941,34.7754,35.1183,28.7972,26.3234
