Underlying Name ,ChinaAMC CSI 300 Index ETF

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
05/09/2017,14.0421,11.9588,12.0374,11.5944,11.6877
04/09/2017,14.0613,12.1179,12.0945,11.5846,11.6935
01/09/2017,13.8217,11.9440,11.9054,11.4870,11.6232
31/08/2017,13.6670,11.9206,12.1955,11.4289,11.5870
30/08/2017,15.8120,11.1150,12.1704,11.5557,11.7507
29/08/2017,15.3514,11.3843,12.8598,11.6322,11.7577
28/08/2017,15.1015,10.8278,12.8641,11.7879,11.8013
25/08/2017,14.7779,11.3063,12.5383,11.6114,11.6649
24/08/2017,13.5513,14.5058,11.4113,11.1160,11.6166
23/08/2017,13.7589,14.5775,11.7998,11.1101,11.6276
22/08/2017,13.7368,14.6855,11.8426,11.1251,11.6258
21/08/2017,13.4782,14.7252,11.9152,11.1255,11.6277
18/08/2017,12.9628,14.4116,11.7628,11.0678,11.6918
17/08/2017,13.1776,14.5922,11.9424,12.1816,11.6942
16/08/2017,12.6146,14.5562,11.7633,12.1534,11.6424
15/08/2017,13.0204,14.5608,12.1808,12.1538,11.8000
14/08/2017,13.4915,15.3805,12.4047,12.1715,11.7998
11/08/2017,15.1646,12.6191,11.5813,11.8091,11.5761
10/08/2017,12.6192,7.8398,9.9718,11.1769,11.1697
09/08/2017,11.9953,7.9266,10.1509,11.1814,11.1566
08/08/2017,13.1008,8.7728,10.2459,11.2084,11.1491
07/08/2017,13.4278,8.7428,10.2295,11.2054,11.1497
04/08/2017,14.1181,8.7436,10.8765,11.5318,11.2098
03/08/2017,13.6604,9.7914,10.9048,11.4733,11.1831
02/08/2017,13.0503,9.4294,10.5141,11.3485,11.0942
01/08/2017,13.2250,11.8400,10.5897,11.3335,11.0801
31/07/2017,13.2160,11.5453,10.4859,11.3908,11.0108
28/07/2017,14.8072,12.0761,10.5894,11.4848,11.2471
27/07/2017,13.3838,12.0768,10.6724,11.7020,11.3465
26/07/2017,12.9626,13.1564,10.7184,11.7209,11.3656
25/07/2017,12.6070,12.5293,11.3071,11.6017,11.3017
24/07/2017,12.9210,12.4223,11.2502,11.5885,11.3856
21/07/2017,13.1629,12.3824,11.2472,11.5797,11.3749
20/07/2017,12.8032,11.6065,10.7974,11.3640,11.3405
19/07/2017,13.1782,11.4608,11.1072,11.6394,11.3105
18/07/2017,14.8191,10.1035,10.4780,11.2549,11.0301
17/07/2017,17.2994,10.8880,10.8244,11.3316,11.0353
14/07/2017,14.0254,10.5316,10.7737,11.3130,11.0244
13/07/2017,13.6952,10.6019,10.9170,11.8099,11.1853
12/07/2017,14.7177,9.7694,10.5592,11.6390,11.0451
11/07/2017,14.1355,10.0507,10.5154,11.6165,11.0377
10/07/2017,14.1379,9.6860,10.4584,11.5797,11.0979
07/07/2017,14.3230,11.9624,10.5012,11.7524,11.1001
06/07/2017,13.7878,11.5246,12.4177,11.6698,11.0703
05/07/2017,13.9856,11.4286,12.4931,11.6776,11.0920
04/07/2017,14.1329,10.8249,12.2156,11.7093,10.9514
03/07/2017,13.8145,9.8714,11.8792,11.5881,11.0923
30/06/2017,14.2436,9.3206,11.7163,11.6180,11.0959
29/06/2017,15.1877,9.5424,12.1821,11.7957,11.1119
28/06/2017,15.2580,9.7364,12.1823,11.7094,11.0729
27/06/2017,15.2588,12.2448,12.0609,11.6574,11.0341
26/06/2017,15.9109,12.2450,12.0600,11.6656,11.0423
23/06/2017,15.1527,10.2862,12.1753,11.4596,10.8735
22/06/2017,15.6971,9.7924,12.1243,11.3886,10.8332
21/06/2017,15.7212,11.4562,12.2849,11.4065,10.8302
20/06/2017,15.9271,11.4744,12.2140,11.3025,10.8190
19/06/2017,15.7744,12.5088,12.4080,11.2997,10.8198
16/06/2017,14.3690,12.7583,12.4931,11.5519,10.8269
15/06/2017,15.9751,12.8821,12.8257,11.6991,10.8279
14/06/2017,16.8257,12.7464,12.8290,11.7360,10.8427
