Underlying Name ,Yanzhou Coal Mining Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
08/09/2017,41.6060,26.5903,43.1711,38.6409,38.7333
07/09/2017,40.1874,27.4184,43.5627,38.7699,39.4101
06/09/2017,38.2257,29.2832,43.9438,38.8410,39.3825
05/09/2017,40.3871,27.6994,43.7695,38.7885,39.3065
04/09/2017,40.8262,24.4258,43.8803,41.4304,39.3747
01/09/2017,40.6270,23.6516,43.7071,41.2852,39.3217
31/08/2017,40.7305,26.7449,43.2469,41.4255,39.2905
30/08/2017,41.2545,26.8532,44.0924,41.4279,39.3732
29/08/2017,41.9164,26.1423,45.5956,41.3628,39.2296
28/08/2017,41.1632,33.8044,45.9947,41.4034,39.2418
25/08/2017,38.5879,30.1800,45.1878,41.2248,39.3312
24/08/2017,37.2719,45.6866,44.9453,41.1694,39.2403
23/08/2017,38.2736,49.0387,45.5721,41.0230,39.3958
22/08/2017,38.5177,52.8956,45.8586,42.1070,39.4293
21/08/2017,37.6718,52.6131,45.8606,42.1065,39.4396
18/08/2017,37.8943,51.2182,45.0570,41.7511,39.4698
17/08/2017,39.2518,60.0763,44.9170,41.6488,39.8790
16/08/2017,41.4436,61.5821,45.1065,41.5955,40.3782
15/08/2017,43.1342,62.8279,46.0368,41.8785,40.7301
14/08/2017,42.7329,60.9730,47.4820,41.4186,41.0873
11/08/2017,42.4761,65.4948,47.7060,41.4403,41.0875
10/08/2017,41.0647,53.4257,42.1560,38.3541,39.1055
09/08/2017,38.9385,48.8918,40.3591,36.9881,38.2992
08/08/2017,38.3149,47.3401,39.8789,36.8211,38.0972
07/08/2017,38.3442,48.2922,39.4959,36.6496,38.3668
04/08/2017,37.9170,46.8201,39.4093,36.5566,38.2019
03/08/2017,34.9912,37.2242,36.9319,35.5987,37.2694
02/08/2017,35.1788,35.0164,34.4943,36.1497,37.0573
01/08/2017,33.7503,41.6931,34.5289,36.0432,37.1178
31/07/2017,35.5158,42.9288,35.0983,36.0511,37.5482
28/07/2017,35.3075,37.0572,34.1490,36.7015,36.9192
27/07/2017,37.4993,35.9958,33.7977,37.5489,37.3619
26/07/2017,35.0732,35.3173,33.2018,37.2336,37.2197
25/07/2017,34.7266,35.4237,33.2900,37.2309,37.2600
24/07/2017,35.6059,31.8123,38.3139,37.2726,37.0737
21/07/2017,34.7009,32.8433,38.3384,37.3094,37.1802
20/07/2017,34.4046,34.4329,39.2490,37.4926,37.9154
19/07/2017,35.7239,26.5964,37.5914,37.0367,37.5660
18/07/2017,35.3062,23.0149,36.1570,35.9909,36.9051
17/07/2017,36.3813,39.3378,36.1419,35.8016,36.7779
14/07/2017,34.3496,39.7037,36.4382,36.4504,37.0267
13/07/2017,35.6688,39.5191,36.5032,36.4554,36.9893
12/07/2017,36.3030,40.0851,36.0349,36.3158,36.7817
11/07/2017,35.7950,39.7252,38.5831,36.1618,36.6786
10/07/2017,34.8749,39.6371,38.5677,36.1752,36.6860
07/07/2017,36.5614,39.6342,38.4403,36.7708,37.3474
06/07/2017,36.9782,38.3164,38.2495,37.5126,37.3310
05/07/2017,36.4938,38.3117,38.0329,38.1986,37.7031
04/07/2017,34.2945,36.3382,37.9390,38.2167,37.3359
03/07/2017,33.8846,23.1906,34.4972,37.8902,36.2473
30/06/2017,35.8952,25.6932,34.3792,37.7752,36.2405
29/06/2017,34.5237,28.1977,34.8038,37.8165,36.3034
28/06/2017,35.8133,25.6120,33.9166,37.2881,36.3447
27/06/2017,33.8347,25.8592,34.0924,37.2845,36.3039
26/06/2017,35.7446,45.7966,34.1387,37.7783,36.5293
23/06/2017,33.3597,45.5399,33.9351,37.5376,36.4681
22/06/2017,34.2132,47.6419,34.7098,37.5395,36.4587
21/06/2017,35.6826,47.5866,37.7959,38.1480,36.4591
20/06/2017,35.1556,47.5151,37.7374,38.2972,36.4750
19/06/2017,38.3237,45.8848,37.4204,38.8175,36.3756
