Underlying Name ,Galaxy Entertainment Group Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
15/09/2017,26.6333,18.4588,25.2443,25.4178,26.3679
14/09/2017,25.6034,25.1223,25.1827,25.6722,26.3362
13/09/2017,25.4623,22.8623,24.8591,25.5044,26.4421
12/09/2017,27.0538,21.4933,24.5908,25.1954,26.5584
11/09/2017,28.4660,23.3754,24.9567,25.3111,26.6795
08/09/2017,29.0664,26.0897,24.9996,25.4999,27.9580
07/09/2017,29.7217,28.1322,25.0136,25.5498,28.1894
06/09/2017,30.5432,28.8886,25.1885,25.9184,28.1906
05/09/2017,30.3592,29.0191,26.0631,25.9455,28.2032
04/09/2017,33.8875,27.5510,25.6783,26.3030,28.5008
01/09/2017,32.9902,28.7076,27.2143,26.1918,29.4130
31/08/2017,34.6934,22.6980,25.1538,25.0913,28.8649
30/08/2017,33.9257,21.9711,24.9600,25.6950,28.9316
29/08/2017,32.7212,23.1570,25.0059,26.7490,28.9035
28/08/2017,31.1946,19.6863,23.9850,26.4721,28.5863
25/08/2017,31.8927,18.4506,25.6157,26.3817,28.8162
24/08/2017,31.0937,26.3137,25.4730,26.2344,28.6949
23/08/2017,32.2238,27.7041,25.8480,26.1990,28.6915
22/08/2017,32.4462,27.6992,25.8480,26.8878,28.7333
21/08/2017,31.4355,29.0227,25.3734,26.8750,28.7820
18/08/2017,31.6064,28.7307,25.4280,26.7926,28.8060
17/08/2017,30.7743,28.6518,25.4652,26.8012,28.8010
16/08/2017,31.1107,28.7865,25.6978,26.7239,28.7416
15/08/2017,30.7336,27.2829,25.4011,27.6335,28.6242
14/08/2017,32.2961,27.7301,27.5696,28.1087,28.6440
11/08/2017,32.1406,27.8205,28.2253,28.1328,28.7151
10/08/2017,30.3866,21.1169,26.0342,27.2390,27.9967
09/08/2017,30.6630,19.2302,25.6741,27.4463,27.8114
08/08/2017,30.4995,22.5990,25.8937,27.4727,28.3633
07/08/2017,29.1454,18.8393,25.1538,27.1441,28.1764
04/08/2017,29.0143,25.9832,25.8283,27.1186,28.1732
03/08/2017,29.7802,25.8492,26.3055,27.1004,28.1998
02/08/2017,28.6081,26.0850,25.9809,27.3510,28.1374
01/08/2017,29.8702,25.0945,25.8955,27.6905,28.0485
31/07/2017,30.3890,23.1440,26.0090,27.6941,28.2819
28/07/2017,31.9815,30.3085,26.3577,29.5277,28.3046
27/07/2017,32.0928,30.8614,26.3517,29.8377,28.3708
26/07/2017,31.1031,31.4271,26.6913,29.7472,28.3233
25/07/2017,31.1428,29.2160,26.1012,29.4261,28.2438
24/07/2017,32.6150,29.2232,27.2246,29.9965,28.2438
21/07/2017,29.8463,23.8192,25.1745,30.6286,27.7221
20/07/2017,30.0254,23.6921,25.1516,30.7490,27.8280
19/07/2017,29.8628,24.6397,26.8060,30.9259,27.7672
18/07/2017,29.1602,24.7846,28.8148,30.8682,27.7373
17/07/2017,29.4846,31.0412,29.1536,30.8198,27.7091
14/07/2017,27.2346,28.5438,27.5466,30.4810,27.2229
13/07/2017,30.2931,28.0074,27.3596,30.3622,27.1346
12/07/2017,29.2315,27.1716,26.9876,30.2221,28.3879
11/07/2017,30.1309,27.5885,28.3066,30.2813,28.3847
10/07/2017,30.3703,27.7171,28.6473,30.5466,28.3832
07/07/2017,29.3823,29.2503,28.5094,30.5578,28.3391
06/07/2017,30.0748,30.1072,28.4576,30.5375,28.4548
05/07/2017,30.5099,27.6087,28.1425,30.3532,28.3682
04/07/2017,31.0051,25.6359,30.0701,30.3104,28.6228
03/07/2017,29.3755,22.8572,28.5554,29.3651,27.9063
30/06/2017,29.8193,22.0877,27.3641,29.0937,27.6953
29/06/2017,28.9283,22.3496,28.1616,29.0989,27.7298
28/06/2017,28.2754,23.5047,29.3140,29.0259,27.7302
27/06/2017,28.2978,23.1476,29.0003,29.6931,29.6962
26/06/2017,28.5019,26.4170,28.5808,29.6582,29.6079
