Underlying Name ,Geely Automobile Holdings Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
15/09/2017,32.2212,32.3835,36.2267,41.6042,43.0283
14/09/2017,34.2454,32.2519,37.8400,41.5824,43.3005
13/09/2017,34.9267,30.3316,38.2114,41.3804,43.1353
12/09/2017,37.4075,34.2549,38.6482,41.5137,43.2094
11/09/2017,35.1479,21.7891,35.6381,40.1434,42.7721
08/09/2017,36.0668,23.2560,35.6540,40.6596,42.7701
07/09/2017,39.9513,23.2555,35.9066,41.0970,43.8227
06/09/2017,43.3514,23.8758,35.9504,41.8205,43.9050
05/09/2017,43.6754,23.4609,36.1896,42.0123,44.0575
04/09/2017,45.1889,27.4115,36.3900,42.2034,44.1875
01/09/2017,43.1090,27.6275,39.7662,43.1837,45.3281
31/08/2017,46.2311,28.8665,42.3325,43.3497,45.3334
30/08/2017,40.7328,29.2190,42.3358,46.1347,45.3975
29/08/2017,40.7064,20.7465,41.1802,45.6952,45.0882
28/08/2017,39.8481,21.1305,42.0803,45.9581,45.2665
25/08/2017,40.2036,29.9373,41.9830,45.8882,46.1596
24/08/2017,40.9141,38.6671,42.0049,47.6511,46.1753
23/08/2017,42.9248,40.2519,41.9200,47.7608,46.1842
22/08/2017,42.7121,40.4663,41.9414,49.6340,46.4411
21/08/2017,43.0716,49.0893,46.2600,49.4521,46.4365
18/08/2017,41.5808,48.6537,46.1718,49.2937,47.3083
17/08/2017,44.1491,51.8675,45.9770,49.0938,47.6674
16/08/2017,46.4032,53.5484,45.9220,48.9859,48.2531
15/08/2017,53.1776,54.4302,46.2736,48.9902,48.3917
14/08/2017,50.3916,55.2243,47.5589,49.1395,48.3584
11/08/2017,50.8575,51.5511,47.4274,48.6640,48.0811
10/08/2017,47.4094,45.1588,45.9635,47.3965,47.3512
09/08/2017,46.0523,41.9347,46.7679,46.8676,47.3473
08/08/2017,46.1941,43.4988,46.9658,46.9182,47.5740
07/08/2017,45.7993,32.8324,45.4566,45.8204,46.8595
04/08/2017,47.2488,44.0521,46.8190,46.1637,47.1314
03/08/2017,47.1153,45.8274,45.6425,45.9900,46.7731
02/08/2017,48.2624,44.5106,44.9104,45.5641,47.3517
01/08/2017,45.8748,43.7522,44.8243,45.5306,47.2742
31/07/2017,46.1587,45.2620,44.5342,45.7701,47.1728
28/07/2017,48.4519,45.5997,45.2610,45.7317,50.7769
27/07/2017,49.5798,45.3086,45.8472,47.1366,50.7657
26/07/2017,50.4259,44.9394,47.3395,47.2217,50.7624
25/07/2017,51.3604,44.6045,47.4069,47.2412,50.7844
24/07/2017,51.3110,57.3206,47.3452,47.3033,51.1158
21/07/2017,44.4897,50.2951,47.0236,48.0478,51.2083
20/07/2017,44.2508,42.5863,44.6868,46.7162,50.7970
19/07/2017,42.0809,42.7211,49.5341,46.8212,52.1975
18/07/2017,43.7825,43.0831,49.7501,46.8523,52.1465
17/07/2017,43.1805,44.8040,49.2537,46.4649,51.8382
14/07/2017,43.1244,47.8425,49.2906,47.7719,51.8428
13/07/2017,44.9704,50.7803,51.9334,47.7446,51.8955
12/07/2017,45.5158,54.0900,52.0247,47.8635,51.9584
11/07/2017,46.5755,54.1008,54.8409,48.1760,51.9766
10/07/2017,45.8632,45.9434,51.9452,46.5897,50.7602
07/07/2017,46.5017,47.6166,51.5719,48.0184,51.2105
06/07/2017,47.4770,47.8000,51.6493,48.7644,51.2112
05/07/2017,48.8692,47.6008,51.4524,49.6868,51.2407
04/07/2017,48.2781,47.5333,51.4077,49.7755,51.1434
03/07/2017,45.4675,41.0884,49.6435,49.0496,50.9822
30/06/2017,40.8585,40.6000,49.1218,48.7446,50.7225
29/06/2017,44.0950,39.9925,47.9550,48.3691,50.6590
28/06/2017,47.5360,43.7142,47.0296,48.0108,50.1740
27/06/2017,47.0544,45.0116,47.1732,48.2444,50.1529
26/06/2017,46.1279,42.1258,46.5780,47.8866,50.9005
