Underlying Name ,CITIC Pacific Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
28/09/2017,16.9496,15.1825,18.6560,17.4428,16.7641
27/09/2017,18.7973,16.6287,18.8290,17.5418,16.7502
26/09/2017,19.6256,14.6776,19.1800,17.3522,16.6217
25/09/2017,20.0581,14.5285,19.3289,17.5681,16.6669
22/09/2017,19.8036,14.3242,19.0084,17.3789,16.5229
21/09/2017,19.5985,15.0763,19.4041,17.4720,16.4376
20/09/2017,19.7572,13.4801,19.8148,17.3011,16.3207
19/09/2017,19.8053,15.0809,19.8816,17.3545,17.6156
18/09/2017,21.3771,14.8428,19.8466,17.3769,17.5999
15/09/2017,19.0698,14.3690,20.8235,17.1387,17.4576
14/09/2017,19.1329,14.0207,20.9023,17.3189,17.5087
13/09/2017,17.1492,12.8402,20.5148,17.0562,17.3627
12/09/2017,20.0339,14.2241,20.5101,17.1215,17.6067
11/09/2017,21.2090,17.5579,20.6409,17.1342,17.6238
08/09/2017,21.5730,17.5579,20.5978,17.4240,17.7736
07/09/2017,20.4168,17.5579,20.2943,17.4120,17.6745
06/09/2017,21.4396,18.0818,20.3354,18.2975,17.6870
05/09/2017,21.8211,16.9758,20.1582,18.1601,17.5974
04/09/2017,21.9027,23.5295,20.1590,18.1975,17.6413
01/09/2017,20.3501,21.6346,19.7638,18.1796,17.6298
31/08/2017,22.0511,25.1258,20.0898,18.1787,17.6480
30/08/2017,21.4226,25.9444,20.4696,18.1177,17.7022
29/08/2017,21.6499,25.5134,20.1165,18.2581,17.5645
28/08/2017,21.6107,25.0672,19.4421,17.9572,17.4035
25/08/2017,21.2873,25.2834,19.4113,17.9282,17.4364
24/08/2017,20.2656,25.8390,19.1683,17.7343,17.6362
23/08/2017,21.2308,26.9650,19.8110,17.7266,17.5820
22/08/2017,21.2424,26.9495,19.9027,17.7650,17.6658
21/08/2017,20.2964,17.6369,17.4302,16.3535,16.8779
18/08/2017,23.2449,23.9071,17.5063,16.4306,16.8912
17/08/2017,21.6661,22.6772,16.4377,15.8981,16.5004
16/08/2017,22.9472,22.5571,16.4438,15.7787,16.4021
15/08/2017,21.3798,20.3253,15.6425,15.3564,16.2092
14/08/2017,23.7438,20.3094,15.9449,15.3419,16.1761
11/08/2017,24.2774,20.4014,15.9039,15.3042,16.1321
10/08/2017,21.6667,18.4214,15.6152,14.9075,15.8537
09/08/2017,21.2312,15.5779,14.5995,14.4134,15.5228
08/08/2017,20.6196,14.9808,14.6053,16.4318,15.5569
07/08/2017,20.0158,14.7711,14.7479,16.4304,15.6460
04/08/2017,18.6787,8.7061,12.7995,15.6564,15.3296
03/08/2017,19.7968,10.4607,13.1558,15.6962,15.3109
02/08/2017,19.1634,12.7075,12.9619,15.7367,15.7003
01/08/2017,18.6076,13.1669,13.1082,16.1300,15.9163
31/07/2017,17.6875,12.2459,12.9823,16.0643,15.8827
28/07/2017,18.2800,12.4495,13.8590,16.3519,16.0130
27/07/2017,17.7257,12.8492,14.3160,16.3381,17.0702
26/07/2017,18.1711,15.5405,16.3454,16.3175,17.0578
25/07/2017,18.7300,15.5537,16.1703,16.3236,17.0604
24/07/2017,19.2494,15.6100,16.2535,16.4069,17.2180
21/07/2017,19.7253,15.6594,16.5082,16.6349,17.2291
20/07/2017,18.8883,14.8707,15.8072,16.4735,17.1400
19/07/2017,19.4511,14.0121,15.4541,16.3151,16.9728
18/07/2017,19.8262,13.7309,16.1470,16.3234,16.9408
17/07/2017,19.4870,15.4971,16.5050,16.4368,16.9729
14/07/2017,18.0273,15.5281,16.5763,16.4843,17.0247
13/07/2017,17.9060,16.7397,16.4938,16.9030,17.0090
12/07/2017,18.8972,12.9204,15.4777,16.5270,16.7297
11/07/2017,18.8442,11.9930,15.3858,16.6115,16.7224
10/07/2017,18.2288,10.9842,15.3730,16.7154,16.8796
07/07/2017,18.8843,10.1798,15.4334,16.7115,16.9230
