Underlying Name ,Aluminum Corporation of China Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
28/09/2017,51.6149,69.8767,56.3032,57.7183,51.6654
27/09/2017,53.0168,70.7040,56.0151,57.4968,51.5392
26/09/2017,52.1153,68.5416,55.5001,56.7608,51.0916
25/09/2017,51.9130,71.5099,55.1569,55.7834,50.3847
22/09/2017,50.5561,65.8251,53.4437,55.0733,49.6764
21/09/2017,52.9735,59.0213,60.1351,54.4346,49.3209
20/09/2017,54.4751,60.5374,62.7047,54.4288,49.3160
19/09/2017,50.3853,49.5176,58.5755,52.0857,47.5613
18/09/2017,55.6747,49.6215,62.2718,52.0795,47.5576
15/09/2017,55.7153,51.7809,64.1451,52.0029,47.5232
14/09/2017,57.1336,42.4851,64.4258,51.3137,46.8642
13/09/2017,56.7248,45.0510,64.5787,51.8160,47.6370
12/09/2017,58.8034,55.3742,64.9243,51.4552,47.3952
11/09/2017,50.6107,49.0662,62.7789,50.3278,46.3615
08/09/2017,49.7458,48.0063,62.6408,50.3631,46.5691
07/09/2017,49.5802,48.1068,62.7139,50.1890,47.0390
06/09/2017,50.3199,53.5452,62.8161,51.4054,46.9999
05/09/2017,51.8724,53.2769,63.0876,51.6462,47.0948
04/09/2017,52.6221,53.1137,63.1202,52.3172,47.2398
01/09/2017,52.1658,50.8368,62.5730,52.1328,47.0675
31/08/2017,52.5305,52.7297,62.3908,51.9718,46.8837
30/08/2017,54.0428,52.2659,62.9616,51.9968,47.0209
29/08/2017,51.9637,38.8806,59.0417,50.6198,45.3575
28/08/2017,50.1432,44.7004,59.5875,50.6855,45.3470
25/08/2017,50.3687,47.9439,60.2959,50.6930,45.5201
24/08/2017,49.7433,66.0927,60.4376,50.7734,45.6984
23/08/2017,52.5327,68.1760,58.9617,49.8839,45.1985
22/08/2017,52.3330,71.9783,58.9428,50.0432,45.2337
21/08/2017,54.2997,83.5155,59.7655,50.0572,45.3939
18/08/2017,54.6991,89.1438,60.7040,50.1186,45.4138
17/08/2017,57.5199,91.8072,59.9825,49.6751,45.1720
16/08/2017,56.2775,92.3405,59.8882,49.6421,45.1034
15/08/2017,57.2735,92.8674,58.9439,49.2148,44.8128
14/08/2017,56.8130,89.4937,57.3313,48.3098,44.4538
11/08/2017,55.8529,89.2683,57.5524,48.0502,44.1573
10/08/2017,54.6652,70.6549,48.9528,43.4966,40.9317
09/08/2017,57.2262,62.0284,44.9275,41.5951,39.7596
08/08/2017,55.3444,61.6596,44.5375,41.4124,40.1116
07/08/2017,46.6376,52.6173,40.2519,38.8032,39.9352
04/08/2017,43.4808,45.3248,37.2460,37.0726,38.8299
03/08/2017,44.8423,34.9909,34.7166,35.6246,37.9423
02/08/2017,44.7651,38.6827,35.9165,36.9116,37.8676
01/08/2017,43.9539,33.0890,34.0245,36.0785,37.1106
31/07/2017,44.2873,35.8791,34.8126,36.0785,37.3027
28/07/2017,38.5390,37.3356,35.1615,36.5408,37.3505
27/07/2017,39.6045,36.3186,34.3974,37.4376,38.0834
26/07/2017,40.8982,33.1212,37.7795,37.2905,37.9866
25/07/2017,42.0670,32.4206,38.0294,37.1354,37.7501
24/07/2017,41.6557,38.1560,39.7882,37.2781,37.6762
21/07/2017,40.8087,43.1697,40.1726,37.2927,37.6753
20/07/2017,38.7736,42.7562,40.0146,37.2438,38.0304
19/07/2017,40.6073,37.1424,39.1271,37.0860,37.8445
18/07/2017,43.6373,36.7783,41.1726,37.2064,37.7257
17/07/2017,41.9340,35.9082,40.8047,36.6571,37.4452
14/07/2017,40.4323,36.1753,39.9065,36.2429,37.0269
13/07/2017,35.3801,34.7061,39.8533,36.4585,36.6568
12/07/2017,36.9807,33.8493,39.4733,36.2654,38.4212
11/07/2017,35.5380,34.6067,39.6231,36.1439,38.5258
10/07/2017,36.6065,30.6330,38.7537,36.0266,38.3311
07/07/2017,36.5365,23.0819,37.7054,35.5339,39.8010
