Underlying Name ,iShares FTSE A50 China Index ETF

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
03/10/2017,14.5648,16.3359,14.3274,13.6870,13.4585
29/09/2017,12.4813,10.2546,12.7171,12.8681,12.8892
28/09/2017,13.0187,9.5274,12.6459,12.9850,13.6823
27/09/2017,13.5457,10.9919,12.4792,12.8966,13.6330
26/09/2017,14.3956,11.0827,12.3652,13.3546,13.6389
25/09/2017,14.4386,11.8432,12.3912,13.6268,13.7138
22/09/2017,14.8124,11.6114,12.7732,13.6571,13.5987
21/09/2017,14.8399,12.6982,14.8014,13.6570,13.6891
20/09/2017,15.5338,12.8790,14.9663,13.7527,13.7722
19/09/2017,16.4647,12.1605,15.0039,13.7636,13.7575
18/09/2017,15.1548,11.1583,14.5117,13.4806,13.5690
15/09/2017,14.9866,11.4216,14.4834,13.5547,13.7541
14/09/2017,14.9947,11.5979,14.5654,13.6334,13.7841
13/09/2017,15.5743,10.4409,14.6116,13.3183,13.5382
12/09/2017,15.5978,10.0687,14.4639,13.2964,13.4647
11/09/2017,15.3224,9.8312,14.6975,13.3569,13.4646
08/09/2017,16.2127,10.2829,14.4580,13.3347,13.3834
07/09/2017,15.4258,15.3004,14.3439,13.3757,13.4137
06/09/2017,15.7593,14.3384,14.1771,13.4029,13.3808
05/09/2017,15.8742,13.9727,14.2398,13.7515,13.3698
04/09/2017,16.1134,13.9318,14.2394,13.7590,13.4348
01/09/2017,15.4869,13.9449,14.2101,13.8027,13.4125
31/08/2017,16.2053,14.1964,14.3414,13.8318,13.4215
30/08/2017,17.4258,11.9188,13.9896,13.7314,13.3291
29/08/2017,17.0122,12.2693,14.2089,13.7835,13.3295
28/08/2017,16.4365,12.3033,14.2203,13.8207,13.3636
25/08/2017,16.7242,13.2286,13.9412,13.9389,13.4606
24/08/2017,15.3180,16.5090,12.1557,13.1726,13.0655
23/08/2017,15.5187,17.0021,13.0100,13.2089,13.0642
22/08/2017,15.7181,17.2466,13.0374,13.2065,13.0603
21/08/2017,15.4369,16.6081,13.2609,13.1274,13.0073
18/08/2017,15.3888,16.2728,13.2207,13.0754,13.0548
17/08/2017,14.7903,16.3980,13.5217,14.2391,13.0518
16/08/2017,14.5224,17.3678,13.5142,14.2609,13.0787
15/08/2017,14.6435,17.3678,14.4722,14.3181,13.0908
14/08/2017,14.6535,18.5918,14.9747,14.4127,13.0852
11/08/2017,15.9087,15.6779,14.5737,14.0955,12.8362
10/08/2017,15.7531,11.3330,12.6638,13.2077,12.1886
09/08/2017,14.8901,11.1080,12.6587,13.2357,12.1310
08/08/2017,15.3085,11.1117,12.6038,13.1560,12.0988
07/08/2017,15.4659,11.1147,12.5885,13.1573,12.0950
04/08/2017,15.8045,11.2925,12.7634,13.4403,12.1196
03/08/2017,15.8013,11.2982,12.7676,13.4106,12.0752
02/08/2017,14.2405,7.9013,11.8621,12.9726,11.8534
01/08/2017,14.8430,8.7856,11.9560,12.9548,11.8516
31/07/2017,13.9509,7.6580,11.9710,12.8673,11.7290
28/07/2017,15.7338,7.6602,12.2185,12.9069,11.9729
27/07/2017,14.8804,7.8506,12.4721,13.0185,12.0581
26/07/2017,14.7419,10.9080,12.7991,13.0802,12.0488
25/07/2017,14.7984,10.3662,13.4780,13.0259,12.0045
24/07/2017,15.1583,11.1588,13.4963,13.1308,12.0383
21/07/2017,14.9980,11.1687,13.6257,13.1122,12.0206
20/07/2017,14.9320,12.1025,13.5237,13.0372,12.0681
19/07/2017,14.9838,12.0972,13.6869,13.1006,12.0717
18/07/2017,16.7899,13.9669,13.5832,12.9916,12.0104
17/07/2017,16.5384,16.0972,13.6146,13.0311,12.0016
14/07/2017,15.2538,17.6380,14.1502,13.3250,12.0942
13/07/2017,15.8910,17.5764,14.2820,13.5734,12.2466
12/07/2017,16.0634,16.1709,13.6262,13.2002,11.9503
11/07/2017,14.6938,16.2973,13.5895,13.1798,11.9516
