Underlying Name ,The Wharf (Holdings) Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
27/10/2017,28.3839,17.2659,17.1500,38.1965,33.2168
26/10/2017,27.2984,16.9869,17.1721,39.8254,33.3639
25/10/2017,27.2628,21.0114,17.1038,39.7913,33.4014
24/10/2017,28.9837,21.0967,17.1850,39.8830,33.4012
23/10/2017,28.9459,20.9067,17.1139,39.8813,33.3876
20/10/2017,26.4977,20.4597,17.1839,39.7772,33.3515
19/10/2017,27.6788,20.4552,20.0461,39.8051,33.3514
18/10/2017,25.5883,16.7598,21.8665,39.5040,33.1486
17/10/2017,25.2031,19.3890,21.7815,39.4794,33.3237
16/10/2017,26.5682,19.4253,21.7366,39.4600,33.4020
13/10/2017,25.5523,19.2332,22.8684,39.4204,33.3743
12/10/2017,27.5240,19.0675,23.5662,39.4211,33.3957
11/10/2017,25.1184,15.2546,22.9460,39.1679,33.4347
10/10/2017,25.6896,16.7506,23.1449,39.1638,33.5577
09/10/2017,25.7844,16.7741,23.1448,39.1739,33.7191
06/10/2017,26.5575,17.5513,23.5124,39.2099,33.7187
04/10/2017,26.3456,18.9790,23.4513,39.1970,33.7012
03/10/2017,27.6222,19.4264,24.5811,39.1933,33.6576
29/09/2017,26.1234,14.4723,24.2175,38.9628,33.4602
28/09/2017,27.0303,14.6631,24.2130,38.9803,33.4925
27/09/2017,27.0637,14.6637,24.6244,38.9928,33.5213
26/09/2017,28.1776,14.6396,24.7119,39.0276,33.5215
25/09/2017,28.7169,14.6563,26.4978,39.1604,33.5446
22/09/2017,27.1882,14.4573,26.3829,39.0621,33.5089
21/09/2017,28.1325,14.5193,26.7660,39.1485,33.5143
20/09/2017,28.4767,14.4448,33.8236,39.0156,33.4970
19/09/2017,28.0801,19.6195,51.5437,39.0211,33.4520
18/09/2017,27.0559,28.8291,51.4741,38.9135,33.3678
15/09/2017,27.6783,28.7276,51.6305,38.9128,33.4856
14/09/2017,27.2031,28.5790,51.7157,38.9517,33.4860
13/09/2017,25.8545,32.3186,51.6959,38.9406,33.4783
12/09/2017,26.4819,33.5709,54.0171,39.1323,33.4569
11/09/2017,27.2958,34.7168,53.9637,39.2020,33.4909
08/09/2017,26.6979,34.9496,54.0614,39.1916,33.5093
07/09/2017,27.2059,34.7978,54.0402,39.1719,33.5316
06/09/2017,31.2482,35.2975,53.8114,39.1053,33.4438
05/09/2017,32.3868,28.0472,52.4942,38.2935,32.8218
04/09/2017,31.7877,25.7729,51.7454,37.6849,32.3163
01/09/2017,32.7403,25.7122,51.6400,37.9281,32.2849
31/08/2017,29.7688,25.4521,51.6594,38.0614,32.3016
30/08/2017,28.1821,25.3577,51.2439,37.7218,32.0309
29/08/2017,27.7231,24.0870,51.0049,37.5372,31.9419
28/08/2017,28.2733,28.4921,50.7128,37.7577,31.9477
25/08/2017,28.3043,28.2143,50.6894,37.8707,31.9144
24/08/2017,27.5762,29.1348,50.7163,38.0764,32.2271
23/08/2017,30.1425,45.6679,50.4653,37.9339,32.0810
22/08/2017,30.6214,84.2800,50.5155,37.9409,32.1779
21/08/2017,27.7590,83.5076,50.0754,37.5617,31.9013
18/08/2017,28.5391,83.1687,49.9309,37.4160,31.8134
17/08/2017,28.9392,83.3397,50.0090,37.4659,31.8810
16/08/2017,28.4369,83.0391,49.7514,37.3600,31.7729
15/08/2017,26.5188,87.4407,49.6813,37.3152,31.7413
14/08/2017,32.3923,84.6442,48.7605,36.6575,31.2092
11/08/2017,30.2273,84.6534,48.7574,36.6887,31.2979
10/08/2017,29.1575,83.7108,48.6006,36.5127,31.1607
09/08/2017,29.4556,69.6915,42.6930,33.0449,28.5026
08/08/2017,28.2523,31.4290,20.9485,19.5442,18.2742
07/08/2017,32.7459,30.7877,20.7005,19.4161,18.3832
04/08/2017,29.5214,28.8733,20.1701,19.5012,18.2360
03/08/2017,28.4924,29.2390,20.1474,19.4047,18.2977
