Underlying Name ,Henderson Land Development Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
27/10/2017,21.5634,24.6934,28.1057,25.5000,22.4160
26/10/2017,21.6251,24.4665,28.2574,25.5032,22.4312
25/10/2017,21.4537,25.0655,28.2981,25.5732,22.4395
24/10/2017,21.9535,34.4729,28.2936,25.5607,22.4450
23/10/2017,22.5007,39.7326,32.5146,25.2787,22.3781
20/10/2017,21.2255,39.6708,32.5639,25.0878,22.3070
19/10/2017,23.6668,39.2357,32.5110,25.0640,22.3813
18/10/2017,21.6922,34.4147,30.3551,23.8502,21.4700
17/10/2017,22.5944,34.7424,30.5455,23.8502,21.5344
16/10/2017,23.3057,34.7695,30.5346,23.8440,21.5517
13/10/2017,22.1321,34.8030,30.3627,24.0227,21.5257
12/10/2017,23.2408,34.4956,30.1721,23.9217,29.3081
11/10/2017,26.7600,34.2850,30.1979,23.9139,29.4090
10/10/2017,30.1184,28.1941,25.6043,22.0648,28.1393
09/10/2017,26.9768,22.2569,24.2595,21.1724,27.5939
06/10/2017,24.4873,21.5265,24.2604,21.3490,27.7998
04/10/2017,22.3907,21.4406,24.2604,21.3401,27.8275
03/10/2017,21.9200,19.4654,24.1007,21.2555,27.7852
29/09/2017,21.1208,22.0063,24.7478,21.1820,27.7116
28/09/2017,21.6751,27.2687,24.9559,21.3144,27.7688
27/09/2017,21.3548,26.7182,24.5524,21.0760,27.6792
26/09/2017,22.9779,27.3272,24.6843,21.0653,27.6877
25/09/2017,22.9904,27.5369,24.9363,21.2435,27.6949
22/09/2017,22.8326,19.9006,22.1497,19.7543,27.0662
21/09/2017,22.7979,32.4238,22.1739,19.7874,27.0906
20/09/2017,24.0062,31.8717,22.5288,19.7973,27.2208
19/09/2017,25.4737,31.0645,23.1996,19.8715,27.2215
18/09/2017,28.6029,29.9977,23.4482,19.8652,27.2261
15/09/2017,26.1884,31.5076,23.0673,19.5256,27.0160
14/09/2017,24.2160,30.1398,22.2025,18.9173,26.6455
13/09/2017,25.2493,29.1078,22.0507,18.8521,26.6448
12/09/2017,25.5324,29.4268,21.9855,18.8443,26.6328
11/09/2017,24.7570,28.9508,21.7925,18.7718,26.6236
08/09/2017,26.8308,28.5588,21.7965,18.7738,26.7160
07/09/2017,19.5612,12.1155,15.3634,15.3500,24.9929
06/09/2017,19.6978,9.4724,14.8103,15.1185,24.8246
05/09/2017,19.3565,9.1488,14.8545,15.3271,24.8049
04/09/2017,20.1728,8.0355,15.2426,15.3694,24.7734
01/09/2017,20.2517,13.1891,14.9398,15.3826,24.7462
31/08/2017,20.5370,14.4881,14.9464,15.4130,24.7802
30/08/2017,19.9193,14.1569,15.7952,15.5128,24.7439
29/08/2017,20.8394,15.4833,15.8007,28.7898,24.7629
28/08/2017,21.3223,16.2736,15.7789,29.0209,24.7689
25/08/2017,21.0683,16.6947,18.1121,29.0268,24.7932
24/08/2017,21.5727,17.4120,17.9668,29.0152,24.8458
23/08/2017,27.6923,18.5413,18.4030,29.3911,24.8623
22/08/2017,27.6801,22.1778,18.3792,29.4454,24.8623
21/08/2017,26.7426,23.0504,18.3789,29.4896,24.8664
18/08/2017,27.3210,19.6487,17.3179,29.0320,24.6072
17/08/2017,27.0252,19.9916,17.3580,29.0924,24.5772
16/08/2017,26.1203,20.2471,17.3291,29.0924,24.5945
15/08/2017,26.5941,19.4307,17.0526,28.9443,24.5017
14/08/2017,27.0472,18.8188,17.1611,28.9034,24.5290
11/08/2017,27.7838,18.7473,17.1454,28.8970,24.4804
10/08/2017,26.3754,17.3302,17.1896,28.9202,24.4310
09/08/2017,27.6631,15.2601,16.8406,29.0013,24.3708
08/08/2017,22.8628,11.0965,15.5552,28.4986,23.9768
07/08/2017,23.3960,11.8934,15.3016,28.4941,23.9382
04/08/2017,22.9172,11.6774,15.2640,28.4937,24.0222
03/08/2017,21.6017,10.4905,14.9693,28.3542,24.1096
