Underlying Name ,MTR Corporation Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
10/11/2017,10.1312,6.0948,5.5572,7.9495,10.9149
09/11/2017,10.0420,5.6420,5.4946,7.8989,10.9211
08/11/2017,10.1578,5.6637,6.1186,7.9020,11.0427
07/11/2017,10.1419,5.8736,6.1294,8.1666,11.1098
06/11/2017,10.3209,4.2685,5.8418,11.4581,11.0815
03/11/2017,9.8436,4.2807,5.9442,11.5239,11.0826
02/11/2017,9.8338,4.3453,5.9756,11.5325,11.0751
01/11/2017,10.0887,4.7626,5.8148,11.5083,11.0869
31/10/2017,10.1500,4.7881,5.8148,11.5083,11.0916
30/10/2017,10.6414,4.9470,6.2701,11.8852,11.1055
27/10/2017,10.9576,7.0358,6.6331,11.8655,11.1264
26/10/2017,10.9273,7.0358,6.9248,12.0884,11.1352
25/10/2017,11.2553,7.0234,6.8969,12.0952,11.1371
24/10/2017,11.2922,6.8845,7.6214,12.0771,11.1260
23/10/2017,11.1378,6.8844,7.7109,12.0774,11.1469
20/10/2017,10.4983,6.8843,7.7115,12.3390,11.1531
19/10/2017,10.9397,7.1747,7.7103,12.3391,11.1511
18/10/2017,10.6283,6.4667,7.6344,12.2663,11.0928
17/10/2017,10.3972,6.6237,7.7652,12.2640,11.2054
16/10/2017,11.8102,6.4650,8.4204,12.3388,11.1913
13/10/2017,10.3428,2.8866,8.6687,12.2196,11.0712
12/10/2017,10.7926,2.9002,8.6893,12.3051,11.0722
11/10/2017,10.8877,6.0748,8.7082,12.3066,11.0732
10/10/2017,10.7737,6.0996,8.6975,12.3068,11.1293
09/10/2017,11.3994,6.5973,8.6931,12.3214,11.1889
06/10/2017,11.3019,6.8173,8.7886,12.3571,11.2108
04/10/2017,11.4532,6.5118,8.7890,12.3002,11.1764
03/10/2017,11.6736,6.5008,8.7945,12.5511,12.3082
29/09/2017,11.3852,6.4282,8.7394,12.6847,12.4296
28/09/2017,12.1538,7.7619,9.0349,12.7084,12.4302
27/09/2017,12.2679,8.8964,9.8268,12.7713,12.6598
26/09/2017,12.8580,9.4575,9.7746,12.7825,12.6635
25/09/2017,12.7260,7.5653,9.4541,12.8447,13.1095
22/09/2017,12.4610,10.0337,9.8756,12.9373,21.6011
21/09/2017,12.5354,10.0011,15.2636,12.9409,21.6837
20/09/2017,13.1902,9.7668,15.3161,12.9004,22.0327
19/09/2017,13.2490,9.6540,15.3157,12.8754,22.0320
18/09/2017,13.1854,10.0404,15.3375,12.9232,22.4919
15/09/2017,13.1090,10.4243,15.3375,12.9256,22.4952
14/09/2017,12.9827,11.2346,15.7423,12.8715,22.4621
13/09/2017,13.3253,11.6275,15.5195,12.7668,22.4431
12/09/2017,13.6985,10.6535,15.6278,12.6616,22.5976
11/09/2017,13.8867,10.7761,15.6448,12.6620,22.6699
08/09/2017,13.8445,9.6833,15.3609,12.4919,22.6392
07/09/2017,13.6798,9.6475,15.3415,12.5060,22.6938
06/09/2017,14.2765,9.7631,15.7151,12.5215,22.7051
05/09/2017,14.2347,10.3774,15.7155,12.5241,22.7065
04/09/2017,14.7696,9.7726,15.6272,12.4604,22.6860
01/09/2017,13.4696,9.0001,15.5024,12.5640,22.6710
31/08/2017,13.9587,8.7385,15.3648,12.3897,22.6364
30/08/2017,13.3412,9.1851,15.0915,12.1528,22.5500
29/08/2017,13.7873,9.1151,15.2256,12.1412,22.5488
28/08/2017,13.6743,8.9947,15.2041,12.1289,22.5561
25/08/2017,13.4672,10.1499,15.2263,12.2218,22.5988
24/08/2017,13.8364,23.2660,15.2479,12.3104,22.6295
23/08/2017,14.1521,23.3518,15.2744,12.3115,22.6255
22/08/2017,14.1236,23.2877,15.1725,12.2630,22.6425
21/08/2017,14.6856,23.3929,15.5620,13.7844,22.6420
18/08/2017,15.1599,23.3613,15.7988,13.9770,22.7950
17/08/2017,14.4088,24.4060,15.6342,13.8705,22.7535
