Underlying Name ,China Railway Group Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
16/11/2017,19.8102,9.9017,18.9458,19.9867,18.2473
15/11/2017,19.4462,7.9564,19.2434,19.9610,18.2608
14/11/2017,19.5078,8.0541,19.5202,19.8185,18.1602
13/11/2017,19.7082,9.8750,19.2720,19.8225,18.0553
10/11/2017,19.7091,17.8430,19.2524,19.7471,18.0211
09/11/2017,19.8449,18.5226,19.5380,19.7737,18.0749
08/11/2017,20.0763,21.2530,19.5985,19.8242,18.0599
07/11/2017,21.3994,21.3838,19.6400,19.7704,18.0614
06/11/2017,23.0684,21.3894,19.9025,20.0164,18.0925
03/11/2017,22.9582,21.4544,19.8720,19.8852,18.0087
02/11/2017,22.8422,23.1276,20.3804,19.9119,18.0093
01/11/2017,24.0898,24.0562,20.4660,19.8374,17.9588
31/10/2017,23.1429,23.8433,20.5444,19.8391,17.9763
30/10/2017,24.0597,23.1949,20.0052,19.4260,17.6924
27/10/2017,23.9261,17.3375,18.1172,17.9382,16.6488
26/10/2017,26.0051,24.3326,18.1177,17.9428,16.7440
25/10/2017,23.1405,23.4694,17.9146,17.8290,16.7549
24/10/2017,23.1787,23.4623,19.1566,17.8604,16.7990
23/10/2017,23.6478,23.4679,19.1463,18.0226,16.8209
20/10/2017,23.7517,23.0686,18.7496,17.8240,16.8756
19/10/2017,23.5882,22.0907,18.7718,18.1145,16.8309
18/10/2017,23.9289,20.4358,17.9974,17.7108,16.5290
17/10/2017,24.7457,19.8633,17.8752,17.7177,16.8425
16/10/2017,27.3891,17.5871,18.2543,17.4957,16.9022
13/10/2017,25.1361,17.5752,21.0867,17.4943,16.8684
12/10/2017,21.3701,9.8871,19.3736,16.4279,16.0695
11/10/2017,22.1162,9.8178,19.3554,16.5756,16.0708
10/10/2017,22.5591,11.6457,19.7499,16.6596,16.0930
09/10/2017,22.8670,13.7957,19.7411,16.7036,16.0916
06/10/2017,23.0351,12.9675,19.4007,17.4565,16.0949
04/10/2017,23.6058,16.2860,19.4007,17.4926,16.1158
03/10/2017,24.6319,16.1664,19.3535,17.4130,16.0188
29/09/2017,24.9517,15.1069,19.2262,17.2963,15.9163
28/09/2017,24.7131,15.4588,19.8220,17.3589,16.0220
27/09/2017,24.6367,19.1487,19.8635,17.3863,16.0137
26/09/2017,24.1304,18.4091,19.8745,17.3587,16.1048
25/09/2017,24.0696,18.2154,20.0866,17.3375,16.0842
22/09/2017,21.8220,22.0588,19.8244,17.2850,16.0582
21/09/2017,21.7954,20.9130,19.9961,17.1330,15.9319
20/09/2017,21.6138,20.6103,19.9792,17.0926,15.9697
19/09/2017,21.8360,18.7872,19.2852,16.6935,15.7346
18/09/2017,23.4120,17.9671,18.9121,16.5241,15.7100
15/09/2017,24.0526,18.6936,18.9029,16.5271,15.7228
14/09/2017,25.9152,19.6388,18.6291,16.4037,15.6572
13/09/2017,21.4002,25.1463,18.0073,16.0119,15.5543
12/09/2017,22.9711,25.3640,18.0298,16.1674,15.5805
11/09/2017,25.7149,24.0495,17.9198,16.2706,15.5444
08/09/2017,21.7896,23.1656,16.7926,15.6628,15.0483
07/09/2017,22.1700,22.8884,17.1502,15.7039,15.1859
06/09/2017,21.9801,22.8884,17.1531,16.0082,15.2028
05/09/2017,24.0797,23.1304,17.6438,15.9214,15.0425
04/09/2017,23.5679,22.4718,17.5766,15.8664,15.0098
01/09/2017,25.2464,21.2649,17.6851,16.3986,15.1410
31/08/2017,23.6904,22.4576,16.3100,16.0524,14.6553
30/08/2017,23.9675,11.8727,10.8238,13.7585,13.0010
29/08/2017,24.7151,12.2587,11.6733,13.8794,13.0110
28/08/2017,23.4207,12.8932,12.1996,13.8606,13.0452
25/08/2017,20.5972,9.1917,10.8466,13.3649,12.8006
24/08/2017,19.0331,10.7415,11.0239,13.3309,13.0061
23/08/2017,19.9323,10.5491,14.0318,13.4270,13.0028
