Underlying Name ,Cheung Kong (Holdings) Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
28/11/2017,14.3069,9.3043,10.2775,9.4051,13.2695
27/11/2017,14.7030,9.0714,10.2949,9.4795,13.2811
24/11/2017,14.1830,9.8147,10.3618,9.5846,13.2405
23/11/2017,14.5491,10.5231,10.3247,9.9493,13.2440
22/11/2017,14.6970,10.2616,10.5255,9.9694,13.2248
21/11/2017,14.1263,9.0773,10.1768,9.9397,13.1466
20/11/2017,14.2978,10.2134,10.2286,9.9485,13.1476
17/11/2017,12.5165,10.9586,10.1349,10.1604,13.3515
16/11/2017,12.7287,10.8388,10.0962,10.1450,13.3651
15/11/2017,13.0223,10.8139,10.6770,10.5756,13.4198
14/11/2017,11.8590,9.2376,10.1662,10.3955,13.4308
13/11/2017,12.2506,9.6308,10.1788,10.4170,13.4311
10/11/2017,11.6782,9.8356,9.8296,10.3021,13.3682
09/11/2017,11.7358,9.2875,9.6469,10.2014,13.3041
08/11/2017,11.8655,9.2607,9.6536,10.2014,13.4116
07/11/2017,11.6812,9.3206,9.7017,10.3702,13.4363
06/11/2017,11.4751,7.7824,9.4378,11.1021,13.3946
03/11/2017,11.1526,6.8645,9.1031,11.5311,13.3084
02/11/2017,11.3096,8.3065,9.1322,11.6390,13.3351
01/11/2017,11.5248,10.0754,9.1235,11.6339,13.3623
31/10/2017,12.0029,12.4318,9.1206,11.6160,13.3476
30/10/2017,11.9856,12.2674,9.0498,13.2072,13.3340
27/10/2017,12.5884,11.9492,8.5385,13.2561,13.2446
26/10/2017,12.5157,11.9133,8.5757,14.7618,13.2395
25/10/2017,12.6990,12.7774,8.7351,15.0499,13.2418
24/10/2017,13.5089,12.7756,9.4742,15.1268,13.2742
23/10/2017,13.8600,12.5063,9.3282,15.0932,13.2997
20/10/2017,13.7987,12.3086,9.2297,15.0845,13.2839
19/10/2017,14.2913,11.7918,9.5927,15.0143,13.2551
18/10/2017,14.8627,10.6332,8.7906,14.7766,13.0943
17/10/2017,13.7837,8.7962,8.5809,14.5871,12.9256
16/10/2017,13.5599,8.7773,8.7604,14.6047,13.1057
13/10/2017,13.2698,8.0732,8.9164,14.5454,13.0609
12/10/2017,13.0330,8.1933,9.7354,14.5665,13.0960
11/10/2017,14.1920,6.2751,9.5317,14.4528,13.0800
10/10/2017,14.7317,6.4153,9.8154,14.4423,13.1910
09/10/2017,14.8351,6.9666,9.7911,14.4356,13.2337
06/10/2017,14.8984,7.3164,10.3535,14.7404,13.2491
04/10/2017,14.2147,7.4832,10.3541,14.7585,13.2521
03/10/2017,13.9486,4.3560,10.6538,14.6595,13.1183
29/09/2017,13.4329,5.0384,10.7679,14.8181,13.1229
28/09/2017,14.2127,5.0375,10.8118,14.8189,13.1214
27/09/2017,14.8266,4.9800,10.9221,14.8667,13.3341
26/09/2017,14.7616,4.9732,10.8695,14.8592,13.3702
25/09/2017,15.2271,5.4034,10.8582,15.0098,13.3694
22/09/2017,14.6816,8.9055,11.1632,15.0270,13.3742
21/09/2017,14.8490,8.6606,12.7097,15.0356,13.6605
20/09/2017,15.4798,8.2528,13.6495,15.0305,13.6484
19/09/2017,15.0729,10.0384,13.8465,15.0464,14.0005
18/09/2017,15.4164,10.0391,13.8445,15.0897,14.0787
15/09/2017,14.9827,11.3082,13.7955,15.0754,14.0702
14/09/2017,15.1586,11.6108,16.3791,15.0748,14.2135
13/09/2017,15.4017,12.8008,16.7335,15.1120,14.7146
12/09/2017,15.8003,14.5004,19.1867,15.1022,14.7681
11/09/2017,16.2784,14.5019,19.6053,15.0530,14.7561
08/09/2017,16.0986,13.1883,19.3465,14.8889,14.6414
07/09/2017,16.0704,13.0269,19.3359,14.9617,14.6311
06/09/2017,15.9378,13.8112,19.3661,14.9654,14.6658
05/09/2017,16.5000,13.2665,19.1386,14.8257,14.5518
04/09/2017,16.6514,15.5462,19.1360,14.8510,14.5466
