Underlying Name ,Power Assets Holdings Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
06/02/2018,17.3747,22.0061,13.4640,10.6087,9.1956
05/02/2018,14.4543,17.6485,11.2816,9.4040,8.2627
02/02/2018,14.0813,14.1948,9.6188,8.5893,7.6508
01/02/2018,13.7947,13.9639,9.4568,8.4590,7.6070
31/01/2018,14.1702,10.5503,8.2742,7.9738,7.2315
30/01/2018,13.8795,9.9549,7.4378,7.4212,6.8212
29/01/2018,13.0341,7.6644,6.8412,6.8246,6.3538
26/01/2018,12.6303,7.6621,6.8453,6.8506,6.3723
25/01/2018,12.6630,7.1162,6.5380,6.6681,6.3046
24/01/2018,11.2541,7.2205,6.3718,6.5092,6.2356
23/01/2018,11.4287,7.9670,7.2961,6.5124,6.2442
22/01/2018,11.3552,8.2842,7.5174,6.5352,6.3143
19/01/2018,10.7101,8.0694,7.6077,6.4759,6.2880
18/01/2018,10.6009,7.8538,7.5198,6.4427,6.2513
17/01/2018,9.7824,6.0194,7.0559,6.1499,6.0446
16/01/2018,10.1402,6.9718,6.9634,6.1475,6.0063
15/01/2018,10.1717,7.0382,7.0745,6.3544,6.0138
12/01/2018,9.5970,6.9163,7.0198,6.4086,6.1241
11/01/2018,9.6608,6.9730,7.1283,6.4110,6.1308
10/01/2018,10.1640,6.0192,6.9208,6.3674,6.2501
09/01/2018,10.1399,4.2339,6.6304,6.4275,6.2383
08/01/2018,9.4164,4.3611,6.8335,6.3785,6.2517
05/01/2018,9.3364,4.3903,6.8124,6.3520,6.2291
04/01/2018,9.8120,4.3903,6.8260,6.3522,6.3448
03/01/2018,9.5555,4.3929,6.8810,6.4073,6.4498
02/01/2018,9.8478,4.0454,6.4988,6.2282,6.3137
29/12/2017,9.7234,6.0493,6.7901,6.2619,6.3242
28/12/2017,10.0143,6.1016,6.8666,6.2741,6.3264
27/12/2017,10.0531,5.9879,6.8204,6.2731,24.4470
22/12/2017,9.6938,5.9482,6.8712,6.2440,24.4347
21/12/2017,9.9456,7.1755,6.6681,6.1257,24.4277
20/12/2017,9.6998,8.3320,6.6829,6.1257,24.4402
19/12/2017,9.5120,8.4014,6.7331,6.1198,24.4605
18/12/2017,9.7929,8.4014,6.8313,6.2177,24.4605
15/12/2017,9.6134,8.8437,6.8762,6.2177,24.4615
14/12/2017,9.9981,8.9869,7.0638,6.2956,24.4631
13/12/2017,10.1352,8.3687,6.7490,6.0760,24.4481
12/12/2017,10.2714,8.2171,6.7490,6.1028,24.5788
11/12/2017,10.5079,8.6014,6.7372,6.1794,24.5785
08/12/2017,10.4041,8.5196,6.6776,6.1958,24.5828
07/12/2017,10.4540,5.8842,5.7488,5.7139,24.5217
06/12/2017,10.8218,6.1074,5.4726,5.6733,24.5323
05/12/2017,10.4244,5.2604,5.2257,5.5796,24.5315
04/12/2017,10.4012,5.3628,5.2802,5.5796,24.5348
01/12/2017,10.6205,5.3646,5.2105,5.5358,24.5328
30/11/2017,10.8651,5.3348,5.3230,5.5266,24.5278
29/11/2017,10.8984,6.2409,5.6615,5.4730,24.5305
28/11/2017,11.4609,6.2683,5.8526,5.6871,24.9531
27/11/2017,11.4671,6.0039,5.7032,5.6308,30.2681
24/11/2017,11.3390,6.5942,5.8483,5.9457,30.2737
23/11/2017,11.2497,6.7992,6.3031,6.0833,30.2922
22/11/2017,10.9081,5.3827,5.9177,5.9850,30.2789
21/11/2017,10.4150,5.7210,5.9338,5.9718,30.2787
20/11/2017,10.4166,6.1036,5.9280,6.1433,30.2888
17/11/2017,10.1851,5.8470,5.9263,6.2736,30.2975
16/11/2017,10.3752,6.7469,6.0244,6.2736,30.2975
15/11/2017,10.1643,5.9305,5.7998,6.1325,30.2905
14/11/2017,10.4116,5.6659,5.7389,6.0983,30.2884
13/11/2017,10.2770,5.6659,5.7897,29.5743,30.2940
10/11/2017,9.6747,5.1919,5.6199,29.5742,30.2829
