Underlying Name ,PetroChina Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
06/02/2018,36.6201,54.9986,35.9448,29.1227,26.3900
05/02/2018,32.9478,44.0483,30.6199,26.2106,24.7979
02/02/2018,28.2552,40.5948,29.3255,25.7532,24.4267
01/02/2018,26.5958,37.7499,27.8247,25.1758,23.7680
31/01/2018,26.5480,35.9887,27.1930,25.5312,23.5579
30/01/2018,27.5327,36.7311,27.2478,25.4689,23.5159
29/01/2018,30.6989,28.8413,24.3437,25.0736,22.6194
26/01/2018,29.8517,29.2444,25.9151,24.9551,22.5178
25/01/2018,28.4848,29.2111,25.9451,24.9663,22.5450
24/01/2018,29.8756,28.1136,25.5401,24.9520,22.3236
23/01/2018,27.5497,12.8705,21.7983,22.8769,20.7581
22/01/2018,26.1780,12.7870,22.4237,22.9169,20.7539
19/01/2018,24.3707,12.0984,23.0980,22.8628,20.6899
18/01/2018,24.6683,11.8357,23.0162,22.9143,20.6703
17/01/2018,24.5953,27.4178,23.2805,23.0196,20.7356
16/01/2018,24.1713,27.5782,22.7637,22.7697,20.5808
15/01/2018,24.2992,28.6268,22.7100,22.9553,20.5954
12/01/2018,23.9595,28.8864,22.8644,22.9275,20.5868
11/01/2018,24.9658,29.8780,23.3489,22.8956,20.6274
10/01/2018,23.4095,29.7966,23.2519,22.8915,20.5994
09/01/2018,23.4391,29.8411,23.2621,22.8792,20.6083
08/01/2018,23.7878,29.8083,23.2632,22.9791,20.6280
05/01/2018,23.5437,29.2755,23.5390,22.9099,20.5790
04/01/2018,25.2342,29.3657,23.5467,22.9146,21.4083
03/01/2018,22.0682,17.6938,19.2531,20.7492,19.8748
02/01/2018,22.8714,16.4304,18.8436,20.4841,19.6927
29/12/2017,21.7237,11.7294,17.7163,19.9877,19.3319
28/12/2017,23.9129,21.4839,20.1149,19.9788,19.4246
27/12/2017,23.5470,20.5028,20.3653,19.9319,19.4120
22/12/2017,23.5569,20.5501,20.7382,20.4327,19.5019
21/12/2017,23.2205,21.1726,20.5471,20.3702,19.4568
20/12/2017,23.3046,23.2472,20.6664,21.4798,19.7208
19/12/2017,23.3734,25.4359,20.9610,21.6141,19.7215
18/12/2017,25.6979,24.7181,21.9799,21.5431,19.7384
15/12/2017,23.2357,25.7218,23.6988,21.5342,19.7389
14/12/2017,25.4505,25.0413,23.5522,21.4479,19.7209
13/12/2017,22.2763,24.9948,25.7687,21.5035,19.7277
12/12/2017,21.8324,16.1710,23.4116,20.1138,18.7006
11/12/2017,23.6757,15.3771,23.1830,20.0108,18.6056
08/12/2017,23.2854,15.1212,24.0013,20.0209,18.5994
07/12/2017,22.6313,16.2099,23.9984,20.0454,18.6991
06/12/2017,22.1269,15.1766,23.6389,19.8427,18.6238
05/12/2017,21.9384,15.5240,23.0137,19.4967,18.3832
04/12/2017,22.4233,15.4235,23.1879,19.5147,18.4348
01/12/2017,23.4601,14.6424,23.0388,19.3769,18.2755
30/11/2017,23.3451,15.2195,23.0264,19.3774,18.9461
29/11/2017,24.7821,15.2195,23.3684,19.3997,18.9456
28/11/2017,25.4771,22.0154,23.2197,19.3309,18.8982
27/11/2017,26.1634,21.9699,22.7934,19.2440,18.7850
24/11/2017,25.5970,22.5745,22.9122,19.2723,18.7906
23/11/2017,26.3426,21.9041,22.8651,19.2795,18.7969
22/11/2017,26.8192,22.8035,23.0508,19.3067,18.8172
21/11/2017,22.1932,18.9640,22.4884,18.9272,18.5602
20/11/2017,22.7675,24.5688,22.4485,20.3163,18.6113
17/11/2017,22.5367,30.2152,22.4571,20.3269,18.5982
16/11/2017,24.1742,30.0543,22.3158,20.2446,18.5415
15/11/2017,22.1249,35.5562,22.3308,20.2355,18.5356
14/11/2017,25.0504,29.8041,19.9528,19.1784,17.8692
13/11/2017,22.4761,28.1229,19.4144,19.0039,17.7815
10/11/2017,23.3906,25.9489,19.9493,18.8652,17.7281
