Underlying Name ,Kingsoft Corporation Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
07/02/2018,45.7795,50.1804,52.2534,49.9591,44.3407
06/02/2018,47.6855,50.1029,52.2535,49.9820,44.3420
05/02/2018,42.6046,30.0667,45.4945,46.5370,41.5025
02/02/2018,40.3539,26.3646,43.9742,46.3129,40.9772
01/02/2018,39.2697,24.4610,45.0495,46.1978,40.9585
31/01/2018,40.3471,28.7509,45.0976,46.7404,40.9790
30/01/2018,42.1143,28.6336,46.3348,46.7969,40.9781
29/01/2018,43.8112,32.5063,45.2345,46.4887,40.6621
26/01/2018,44.9668,42.0261,44.9447,46.7700,40.5923
25/01/2018,47.4726,49.0331,45.1274,46.7765,40.6454
24/01/2018,47.4499,52.2966,45.3494,46.8184,40.6525
23/01/2018,49.0522,50.1863,46.2077,46.3114,40.3296
22/01/2018,47.7535,50.3343,46.9953,46.6106,40.4293
19/01/2018,47.0110,51.4363,48.9153,46.6101,40.4174
18/01/2018,46.5241,51.3361,50.3750,46.7092,40.5458
17/01/2018,44.9991,55.3803,50.0966,46.5244,40.3573
16/01/2018,45.3164,56.2199,50.0434,46.5172,40.3941
15/01/2018,40.6241,52.1546,50.3795,45.8128,39.8066
12/01/2018,41.4372,59.8519,48.1977,44.8140,38.8622
11/01/2018,46.0512,50.0535,45.5805,43.4270,37.9473
10/01/2018,45.0459,50.2379,44.8724,43.0957,37.7295
09/01/2018,47.9481,48.2343,44.4439,42.9002,37.6166
08/01/2018,49.9772,47.0483,46.2382,42.8733,37.6586
05/01/2018,43.8554,48.4540,52.6241,43.5142,37.7885
04/01/2018,44.1831,48.2243,52.6588,44.2479,38.3034
03/01/2018,43.3122,45.8344,52.1390,43.4164,39.8076
02/01/2018,43.3615,51.9805,52.0422,43.2753,39.6555
29/12/2017,40.3887,49.8648,51.6257,43.0698,39.5901
28/12/2017,36.2700,32.3252,47.7812,40.1375,37.2265
27/12/2017,36.7783,32.9614,48.2898,40.1357,37.2103
22/12/2017,37.9804,33.5958,48.3468,40.1375,37.3744
21/12/2017,39.1330,41.9377,48.3760,40.1350,37.3783
20/12/2017,38.6741,43.3580,48.3199,39.7550,37.0653
19/12/2017,39.8660,48.8231,49.1817,39.7462,37.0582
18/12/2017,38.4247,47.4307,47.7412,39.0304,37.1830
15/12/2017,37.6656,47.8734,48.8308,39.0128,37.3775
14/12/2017,39.9918,45.1507,47.9973,38.3798,37.0348
13/12/2017,41.6733,49.7150,48.3070,38.4344,37.0292
12/12/2017,40.9149,49.7884,49.1809,38.4657,37.1257
11/12/2017,42.6488,50.0250,49.0744,38.4772,37.3109
08/12/2017,41.6468,48.9069,48.8936,38.2758,37.2230
07/12/2017,38.9877,35.4898,46.2391,36.6101,35.9875
06/12/2017,40.1610,38.4138,46.2496,36.5689,35.8419
05/12/2017,41.4408,62.1077,44.7200,35.6191,35.2739
04/12/2017,42.7886,59.1460,43.5220,35.0000,35.0970
01/12/2017,42.0433,61.5353,43.4561,34.8762,34.9795
30/11/2017,41.2221,61.8138,43.4826,34.9279,35.2313
29/11/2017,43.0549,56.2668,41.5760,33.8044,34.6357
28/11/2017,44.7281,59.7795,41.9371,33.6995,34.5834
27/11/2017,43.6019,61.6363,41.9433,33.8140,34.7643
24/11/2017,42.5633,61.6639,42.0116,33.9669,34.7017
23/11/2017,41.9233,61.6859,42.0478,34.0186,36.8223
22/11/2017,44.1682,57.0854,39.9504,32.9724,36.2146
21/11/2017,36.7505,39.1472,32.5029,27.7018,32.7123
20/11/2017,37.5431,38.8953,34.6556,28.6492,32.7057
17/11/2017,37.8608,38.4348,33.1200,31.7174,32.1567
16/11/2017,40.1747,39.2496,33.0403,31.7004,32.1467
15/11/2017,39.5417,40.0587,32.9673,31.7474,32.1848
14/11/2017,40.5915,38.0533,31.4795,31.0118,31.7079
13/11/2017,42.2980,34.6936,30.5048,30.6722,31.6138
