Underlying Name ,Anhui Conch Cement Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
08/02/2018,41.2989,47.3849,46.6564,44.7550,40.6657
07/02/2018,42.7132,49.2799,46.6370,45.0292,40.6889
06/02/2018,41.3562,47.3640,45.8602,44.7216,40.3806
05/02/2018,36.5287,35.7867,42.9764,42.9361,39.1381
02/02/2018,35.9237,33.7863,42.3127,42.6058,39.0772
01/02/2018,36.5278,33.5093,41.2766,42.0406,38.6143
31/01/2018,37.8686,33.1654,41.1832,42.0196,38.6343
30/01/2018,39.7013,33.5286,42.4238,42.0663,38.9714
29/01/2018,41.4623,32.0998,41.8359,41.6610,38.7135
26/01/2018,40.8732,36.8558,41.8764,42.3494,38.9892
25/01/2018,40.8177,33.9220,42.0747,41.7508,39.5386
24/01/2018,40.2917,44.8560,42.5957,41.5948,39.6597
23/01/2018,40.7589,51.9499,43.5915,41.8651,40.5876
22/01/2018,38.9983,53.7554,44.3463,42.2729,40.6638
19/01/2018,38.7450,57.4670,47.8237,42.3292,40.5700
18/01/2018,34.2105,54.9368,46.7563,42.1597,40.3186
17/01/2018,35.3960,54.9630,46.9249,42.1583,40.3341
16/01/2018,38.6358,54.8348,47.0721,43.4289,40.3739
15/01/2018,39.2323,60.8221,47.0747,42.9633,40.0388
12/01/2018,38.6383,57.8068,48.3641,42.9001,39.7726
11/01/2018,40.9349,56.7740,49.7911,42.8268,39.7162
10/01/2018,36.7608,41.3390,46.8184,40.7474,38.3087
09/01/2018,36.2248,39.5424,45.0784,39.7643,37.5982
08/01/2018,37.3265,34.2574,44.1942,39.2313,37.2868
05/01/2018,33.7012,34.6577,42.9620,38.8520,36.7120
04/01/2018,33.2598,34.5862,42.7768,38.9334,36.7101
03/01/2018,32.9008,34.5487,42.7739,38.9441,36.7260
02/01/2018,35.3950,40.2193,44.1160,38.9668,36.7303
29/12/2017,33.4090,27.9368,41.1473,37.0741,35.3577
28/12/2017,34.4309,28.0801,42.2856,37.6605,35.4373
27/12/2017,35.3443,31.2714,43.5690,37.7245,35.5873
22/12/2017,33.5042,36.2238,44.1578,37.7591,35.5843
21/12/2017,34.9372,40.6263,44.3356,37.7043,35.5343
20/12/2017,33.5197,38.0096,43.3466,37.0605,35.5305
19/12/2017,33.8351,47.6165,43.2895,37.2593,35.5544
18/12/2017,35.5904,47.8273,43.2493,37.2165,35.8594
15/12/2017,34.6755,48.7947,43.2307,37.2685,35.8529
14/12/2017,34.8027,47.3846,42.3354,37.3719,35.4748
13/12/2017,36.3190,49.2454,42.1099,37.2735,35.4357
12/12/2017,38.1252,56.7182,43.3776,37.6617,35.6475
11/12/2017,37.5768,58.4726,42.1426,38.5380,35.2521
08/12/2017,36.2690,58.3338,41.2837,38.4250,35.1563
07/12/2017,38.7968,54.8780,40.5492,39.2722,34.7408
06/12/2017,39.2774,53.7486,40.6807,39.0554,34.5800
05/12/2017,36.9644,42.9533,36.8353,36.8544,32.9317
04/12/2017,36.9988,42.8761,37.8093,37.0795,32.9756
01/12/2017,37.0206,42.5438,37.6026,37.0233,33.1720
30/11/2017,37.4720,44.6648,40.1818,36.9725,33.1030
29/11/2017,37.7804,38.1373,38.6704,36.2098,32.6212
28/11/2017,36.4760,39.9306,37.3605,35.1523,31.9289
27/11/2017,35.8413,38.2915,35.3761,34.0421,31.0671
24/11/2017,35.2032,34.8718,34.4253,33.6358,30.8051
23/11/2017,35.0744,37.1738,34.4083,33.6627,31.3381
22/11/2017,35.6548,36.2086,34.3181,33.6940,31.4745
21/11/2017,35.2954,37.8469,35.0039,33.5430,31.4795
20/11/2017,35.5867,38.1290,35.4100,33.6653,31.4846
17/11/2017,37.9116,38.2944,35.4336,33.6940,31.6790
16/11/2017,35.1638,34.4481,33.6037,32.7827,31.0915
15/11/2017,33.7030,32.2371,33.0074,32.4401,30.8417
14/11/2017,34.0800,33.2517,33.1271,31.8561,30.3842
