Underlying Name ,China Railway Construction Corporation Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
21/02/2018,29.4504,34.9581,25.9991,21.7017,20.0086
20/02/2018,29.9665,32.1049,25.6247,21.8227,19.8921
15/02/2018,25.5142,31.6156,25.7029,21.8101,19.8810
14/02/2018,28.4660,29.9292,25.5484,21.9479,19.8363
13/02/2018,30.8340,28.3297,25.3238,21.8886,19.7909
12/02/2018,32.2387,25.9840,26.7251,21.8471,19.7543
09/02/2018,32.3848,26.5524,26.8291,22.0148,19.7725
08/02/2018,29.7329,20.4261,22.4225,19.4830,17.9153
07/02/2018,30.1551,21.4092,22.6880,19.4632,17.9261
06/02/2018,28.1930,22.5906,21.0249,18.5547,17.3072
05/02/2018,22.2979,16.7911,18.6002,17.3136,16.4283
02/02/2018,20.4887,16.4488,18.3149,17.2063,16.3670
01/02/2018,21.6233,16.6310,18.3390,17.2024,16.3752
31/01/2018,24.1806,22.5663,17.7599,17.2319,16.1692
30/01/2018,25.7961,22.5919,17.7435,17.2285,16.1726
29/01/2018,27.2566,18.4213,16.6371,16.8041,15.8356
26/01/2018,31.7748,21.0584,16.5614,16.7936,15.8288
25/01/2018,30.6535,21.3758,16.7273,16.8690,15.7936
24/01/2018,24.4187,21.4127,17.1825,16.8783,15.7887
23/01/2018,24.0878,22.6631,16.6387,16.5142,15.5190
22/01/2018,24.7598,22.4934,16.6878,16.5581,15.5122
19/01/2018,25.2419,22.3691,17.7427,16.6503,15.5302
18/01/2018,30.2655,22.3902,18.0114,16.7619,15.5304
17/01/2018,20.5858,15.0567,15.7273,15.3003,14.5156
16/01/2018,19.9017,14.2926,15.6029,15.4114,14.5825
15/01/2018,19.2726,19.4971,16.4580,15.7436,14.5539
12/01/2018,18.9363,17.4326,16.0257,15.5014,14.3863
11/01/2018,19.3728,18.0849,16.1382,15.6493,14.3949
10/01/2018,18.8879,18.6279,16.3965,15.6911,14.6686
09/01/2018,20.5950,15.4005,15.8591,16.3429,14.4332
08/01/2018,22.0329,15.3921,15.9708,16.3204,14.4179
05/01/2018,21.0080,15.3203,16.6669,16.3610,14.8368
04/01/2018,20.7201,15.7184,16.6512,16.3067,14.8076
03/01/2018,20.5981,16.3772,17.3326,16.3175,14.8081
02/01/2018,21.5172,16.1995,17.4245,16.3347,14.8027
29/12/2017,19.7806,9.7123,15.6439,15.3002,14.0746
28/12/2017,20.1086,9.3896,16.1736,15.2906,14.0472
27/12/2017,19.7871,9.1566,16.4143,15.3920,14.1722
22/12/2017,17.7249,10.8435,15.9731,15.2156,14.0717
21/12/2017,17.8457,10.6868,15.9759,15.2728,14.0683
20/12/2017,18.1227,10.6529,15.8345,15.2019,14.0984
19/12/2017,18.3158,14.2780,15.8179,15.1999,14.1461
18/12/2017,18.1850,16.0998,15.8253,15.2040,14.2549
15/12/2017,17.7758,16.6479,16.3433,15.1770,14.2472
14/12/2017,17.5417,16.7512,16.3438,15.1799,14.3528
13/12/2017,18.8289,19.9280,16.3947,15.1685,14.3628
12/12/2017,20.1332,20.3497,16.3094,15.1352,14.3514
11/12/2017,21.0014,20.3451,16.4197,15.0988,14.4087
08/12/2017,20.4083,18.4991,15.4756,14.6727,14.1257
07/12/2017,21.7814,19.7799,15.4230,14.6650,14.1360
06/12/2017,21.4546,20.3058,15.6599,14.6460,14.2074
05/12/2017,20.3368,19.5920,15.2252,14.2327,13.9696
04/12/2017,20.5688,18.9915,14.7648,13.9569,13.9715
01/12/2017,21.8119,19.9424,14.6836,13.9053,14.0077
30/11/2017,22.4037,20.0527,15.2910,14.1126,13.9918
29/11/2017,20.1794,17.0702,14.6364,13.4749,13.5570
28/11/2017,21.1749,18.3091,14.6389,13.4590,13.8056
27/11/2017,21.2565,18.9666,14.8240,13.4478,14.0621
24/11/2017,22.5678,18.5847,14.7624,13.8201,14.0310
23/11/2017,20.5178,17.1750,16.5436,13.6091,14.7429
