Underlying Name ,Sun Hung Kai Properties Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/02/2018,19.3842,22.9465,20.0652,18.5113,17.6629
21/02/2018,19.6175,28.3801,20.0722,18.6959,17.9437
20/02/2018,20.9896,29.8295,19.9797,18.7419,18.1620
15/02/2018,21.0943,28.6022,20.2240,18.7075,18.2854
14/02/2018,21.3627,28.5748,20.5332,18.7252,18.2762
13/02/2018,22.7821,20.8619,18.5030,17.7816,17.6257
12/02/2018,24.6856,19.9168,18.7177,17.9817,17.9558
09/02/2018,26.0988,19.7089,18.7682,17.9515,17.9787
08/02/2018,23.0335,22.9617,17.8581,17.5064,17.5950
07/02/2018,24.1471,24.4578,18.2114,18.5109,17.5047
06/02/2018,24.8791,24.1420,17.6477,18.2737,17.2982
05/02/2018,19.0521,20.2614,14.9759,17.0481,16.4186
02/02/2018,17.6178,16.5892,13.2829,16.4289,16.9018
01/02/2018,17.9854,15.8859,12.8587,16.4432,16.9191
31/01/2018,18.7794,15.4915,13.1729,16.3502,16.8987
30/01/2018,17.9415,15.7103,14.0012,16.3916,16.9777
29/01/2018,20.1984,15.7257,16.4107,16.3980,16.9837
26/01/2018,20.4974,12.9443,15.6409,16.2271,16.8291
25/01/2018,20.7174,11.2630,15.4025,15.9648,16.6346
24/01/2018,19.6374,8.8042,15.0722,15.7253,16.5062
23/01/2018,17.8144,10.2461,15.1020,15.7579,16.6961
22/01/2018,14.9923,8.9198,15.4633,15.7513,16.6533
19/01/2018,13.8490,8.9199,15.5034,15.7740,16.8273
18/01/2018,14.2113,11.2549,16.0836,15.8222,18.0790
17/01/2018,13.3712,11.6437,16.7637,15.8796,18.0294
16/01/2018,13.5601,11.5463,16.7708,16.0175,18.0112
15/01/2018,13.7254,11.9870,16.8130,16.5027,17.9874
12/01/2018,13.5965,11.9646,16.8981,16.5034,18.0498
11/01/2018,13.8754,12.1779,16.9816,16.4842,18.0803
10/01/2018,14.1576,13.0278,16.9644,16.4697,18.5629
09/01/2018,14.6885,10.3252,16.7750,16.3984,18.6405
08/01/2018,14.2169,12.0668,17.0841,16.8170,18.6481
05/01/2018,14.6538,12.6052,17.1582,17.2313,18.6544
04/01/2018,13.4655,11.5586,16.8863,17.2991,18.5991
03/01/2018,13.7744,13.1273,16.8072,17.1679,18.5567
02/01/2018,14.1034,15.7333,16.7427,17.1682,18.5411
29/12/2017,13.8655,21.3798,17.1930,17.5634,18.4946
28/12/2017,14.2081,21.4275,17.1691,17.6040,18.4959
27/12/2017,15.3333,21.9091,17.3428,17.5741,18.4964
22/12/2017,16.3882,21.3549,19.1172,17.2794,18.3326
21/12/2017,16.6675,21.6377,19.1691,17.2704,18.3845
20/12/2017,16.6538,22.0687,19.0974,17.2087,18.3468
19/12/2017,16.9803,21.9380,19.2214,18.4880,18.4554
18/12/2017,17.6866,23.4983,19.5339,18.6098,18.5853
15/12/2017,18.1614,23.6354,18.8878,18.2940,18.5160
14/12/2017,16.9397,22.5929,18.4997,18.1757,18.5109
13/12/2017,17.0355,13.7125,15.7385,16.8284,17.7644
12/12/2017,16.5976,11.7158,15.8631,16.6921,17.7123
11/12/2017,16.9630,11.6705,15.8537,16.6887,17.7948
08/12/2017,17.3317,7.6432,15.5148,16.5980,17.7383
07/12/2017,17.8316,10.4828,15.5351,16.9522,17.7418
06/12/2017,17.4564,13.6213,15.4537,16.8904,17.6617
05/12/2017,17.2667,14.8026,15.5689,17.1990,17.6660
04/12/2017,17.3858,14.5193,15.3384,19.0008,17.7614
01/12/2017,17.0898,11.7930,14.8677,18.6947,17.6335
30/11/2017,17.4778,11.4153,15.2813,18.6710,17.6081
29/11/2017,15.9792,13.6977,16.2258,18.6469,17.6306
28/11/2017,16.5245,13.3845,16.1933,18.7051,17.6150
27/11/2017,16.9219,13.6953,16.1435,18.7260,17.5846
24/11/2017,19.7076,21.9662,16.1586,19.4466,17.6037
