Underlying Name ,MGM China Holdings Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
26/02/2018,37.8030,52.7066,49.0342,44.6188,38.9363
23/02/2018,37.5700,51.7683,48.9733,44.4371,38.7973
22/02/2018,39.0915,52.9426,49.0128,44.4244,38.8608
21/02/2018,41.1996,60.7693,49.2312,43.8638,38.4406
20/02/2018,43.3141,60.3609,49.1596,43.8070,38.5957
15/02/2018,43.3572,55.4264,48.9791,43.0781,38.0886
14/02/2018,44.1564,52.3725,48.2546,42.8528,38.0711
13/02/2018,46.7685,58.6903,48.2669,42.8729,38.2808
12/02/2018,49.7300,58.2877,49.0146,43.0412,38.2722
09/02/2018,49.4876,56.0792,49.1343,42.9248,38.2226
08/02/2018,43.5264,48.3748,44.7740,40.3506,36.3311
07/02/2018,43.9672,61.0921,44.9305,40.3827,36.3437
06/02/2018,44.9998,59.3828,45.7317,40.1731,36.2270
05/02/2018,41.1563,51.9852,41.9002,37.8251,34.4546
02/02/2018,40.5043,52.7445,42.3952,37.7867,35.0211
01/02/2018,40.2990,52.2739,42.2417,37.9361,34.9404
31/01/2018,39.6283,52.3816,42.2859,38.0120,35.3480
30/01/2018,37.9675,48.1670,40.3274,37.2425,34.7603
29/01/2018,39.8168,49.4665,40.5509,37.1943,34.7605
26/01/2018,38.3697,52.1866,42.7235,37.4250,34.5842
25/01/2018,37.8516,50.9269,41.9870,37.6005,34.3423
24/01/2018,36.5543,28.0735,37.2240,33.5121,31.6689
23/01/2018,35.8439,29.6981,37.1540,33.6476,31.8207
22/01/2018,37.8189,33.4875,38.5717,33.8441,31.8713
19/01/2018,36.0857,33.4062,39.5203,33.8782,31.8410
18/01/2018,37.4252,41.0408,39.6631,34.0629,31.8376
17/01/2018,39.4940,40.4558,39.8590,33.9463,33.2540
16/01/2018,40.4440,39.6986,40.7093,33.9243,33.1695
15/01/2018,43.6446,42.7969,40.8024,34.0599,33.1324
12/01/2018,32.3838,38.0464,40.2638,32.9734,32.3742
11/01/2018,33.8737,38.5799,40.1826,33.0597,33.1315
10/01/2018,33.9516,38.3504,39.7139,32.8218,32.9749
09/01/2018,36.1946,43.2342,39.3894,32.8316,32.8734
08/01/2018,32.2630,36.7268,38.4545,32.1591,32.4806
05/01/2018,32.5746,38.8748,38.4155,32.5111,32.7612
04/01/2018,30.4127,34.7551,36.1902,31.4087,32.3740
03/01/2018,33.2717,34.7245,36.2201,31.8434,32.4031
02/01/2018,33.8908,34.5732,36.2089,32.2913,32.4087
29/12/2017,35.2060,31.7948,34.9455,31.4013,31.8452
28/12/2017,36.5920,40.0452,35.0499,31.3752,31.5994
27/12/2017,37.7823,39.6501,35.6433,31.5365,31.5788
22/12/2017,39.9258,45.6044,35.3551,31.3757,31.4817
21/12/2017,40.0689,37.9364,32.5482,30.0754,30.5485
20/12/2017,41.3037,39.9170,32.4696,30.0277,30.5695
19/12/2017,39.9356,44.1260,32.3653,30.9241,30.4318
18/12/2017,39.0610,43.1291,32.6132,30.9074,30.7738
15/12/2017,39.2808,42.3096,32.3869,31.4708,30.8171
14/12/2017,40.2978,42.6557,32.5495,31.5610,30.8767
13/12/2017,42.4794,41.3302,31.7844,31.3387,31.3861
12/12/2017,40.2677,38.6344,30.6627,29.9903,30.3374
11/12/2017,40.3907,38.9908,31.4395,30.0186,30.3612
08/12/2017,36.5149,35.3653,29.6438,28.8278,29.4929
07/12/2017,38.1039,35.3194,30.0775,29.1339,29.6755
06/12/2017,36.9583,33.3828,29.0089,28.2231,29.0811
05/12/2017,35.7106,27.2232,27.6057,27.5968,28.6881
04/12/2017,32.3610,27.2577,28.0153,27.4718,29.1385
01/12/2017,31.4289,26.4333,27.4874,29.7509,28.9263
30/11/2017,30.8625,21.6591,26.1007,28.9530,28.4795
29/11/2017,31.4537,23.1322,26.3584,28.8951,28.3978
28/11/2017,31.0080,17.5735,24.2287,27.9271,27.7133
