Underlying Name ,Ping An Insurance (Group) Company of China, Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
28/02/2018,35.5079,36.3524,39.3368,39.5095,40.4478
27/02/2018,34.2455,33.0357,39.3542,39.4306,40.3136
26/02/2018,34.4479,42.8218,40.1414,39.2084,40.1356
23/02/2018,34.0052,42.4334,39.9613,39.5357,40.1158
22/02/2018,35.2044,43.3067,40.1460,40.1429,40.1144
21/02/2018,35.8079,53.2674,40.4044,40.8124,40.1784
20/02/2018,34.7506,52.0115,40.1244,40.9793,40.2227
15/02/2018,32.3601,51.4145,40.0741,44.3456,40.0321
14/02/2018,33.3787,47.3524,39.0064,43.8998,39.7954
13/02/2018,34.2100,48.3852,38.6675,43.7579,39.6934
12/02/2018,34.0852,41.5175,39.4091,44.5451,39.3324
09/02/2018,36.1654,41.2668,39.4015,44.8195,39.7918
08/02/2018,34.3714,39.6177,36.4533,43.4800,38.7167
07/02/2018,37.6828,39.5521,37.1894,43.4899,39.0537
06/02/2018,38.2235,40.0832,36.9325,43.7836,38.9285
05/02/2018,35.3601,30.0485,32.5983,42.2240,37.3268
02/02/2018,32.7279,35.2124,32.3736,42.2373,37.3412
01/02/2018,34.2731,35.6595,34.0311,42.2383,37.4715
31/01/2018,36.8339,37.0361,33.4270,42.0108,37.2999
30/01/2018,37.6962,34.6319,33.8084,41.7623,37.1060
29/01/2018,39.8523,37.2184,33.7951,41.7498,37.1385
26/01/2018,37.3229,33.1786,32.2059,41.3607,36.7292
25/01/2018,35.9826,35.3705,33.9519,41.2690,36.6553
24/01/2018,38.1393,30.0268,34.1219,40.9221,36.3802
23/01/2018,39.0149,26.2805,34.8620,40.5605,36.0239
22/01/2018,35.2131,26.0636,35.0916,40.5571,36.0229
19/01/2018,31.4695,25.7549,37.6381,40.2678,35.7697
18/01/2018,34.4623,30.4239,38.0723,40.4581,35.7631
17/01/2018,30.6665,29.2209,37.9011,40.2410,35.5985
16/01/2018,30.5998,30.5366,38.4835,40.7176,35.5693
15/01/2018,29.8258,34.6235,39.9252,40.8542,35.3498
12/01/2018,29.7469,34.2566,40.0899,40.8295,35.3385
11/01/2018,29.4420,30.6265,38.9348,40.3804,34.9698
10/01/2018,29.8845,33.6209,39.7620,40.4092,35.0070
09/01/2018,32.2307,32.7163,40.8086,40.2414,34.9207
08/01/2018,31.5360,33.3387,41.8117,40.3140,34.7309
05/01/2018,31.2427,33.4703,42.3898,40.4948,34.7309
04/01/2018,32.1650,36.3506,48.9309,40.2155,34.5270
03/01/2018,32.5295,36.4744,48.9347,40.3018,34.5620
02/01/2018,33.7675,38.0785,48.7784,40.1288,34.4397
29/12/2017,33.8872,32.2047,49.6194,39.3258,34.3508
28/12/2017,34.9690,32.3081,50.1731,39.9123,34.3409
27/12/2017,34.3263,37.2083,50.1521,39.9147,34.3784
22/12/2017,33.2069,38.9251,49.5352,39.9865,34.2170
21/12/2017,33.6063,44.3487,50.2303,39.9865,34.2204
20/12/2017,34.6666,43.9402,50.6390,39.7331,33.9819
19/12/2017,34.5953,51.1633,50.8079,39.8495,34.1252
18/12/2017,31.5442,47.6571,49.6282,39.3128,33.7924
15/12/2017,30.8892,48.9308,49.6142,39.2999,34.0825
14/12/2017,32.2262,48.5605,49.0428,38.9233,33.9506
13/12/2017,34.9586,52.8069,49.0305,38.9747,33.9310
12/12/2017,35.6774,53.1439,49.4116,39.0198,33.9073
11/12/2017,36.4909,50.3738,48.0331,38.2085,33.3368
08/12/2017,34.8445,47.2921,47.3180,37.6827,32.8974
07/12/2017,36.4044,43.3260,45.8168,36.5412,32.1180
06/12/2017,37.1250,41.8745,45.4105,36.2848,32.5359
05/12/2017,35.8958,39.2474,43.3221,34.9955,31.6429
04/12/2017,35.9022,62.8190,43.3395,34.8229,31.5971
01/12/2017,35.5592,61.4473,43.0441,34.6419,31.4492
30/11/2017,36.4104,61.3369,43.4955,34.3199,31.2169
