Underlying Name ,GCL-Poly Energy Holdings Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
09/03/2018,55.0348,37.5245,47.0514,44.6641,50.1443
08/03/2018,51.8862,27.3148,46.6124,45.9051,49.6416
07/03/2018,50.5740,33.5079,46.2539,45.6379,50.3418
06/03/2018,51.1955,45.2373,46.1334,46.3121,50.5669
05/03/2018,51.3139,45.0483,46.0036,46.3931,50.7139
02/03/2018,51.1094,44.7356,45.9783,46.3067,50.8072
01/03/2018,54.6477,43.1194,45.4609,46.0424,50.9506
28/02/2018,53.8611,45.2146,45.1698,46.2150,51.4750
27/02/2018,53.0036,45.2769,45.9864,46.2883,51.4745
26/02/2018,55.2021,53.7083,46.3201,46.9751,51.5300
23/02/2018,58.9318,50.6771,45.9262,51.9564,51.7025
22/02/2018,60.8435,48.7828,45.5666,51.7632,51.6118
21/02/2018,61.6220,65.0856,45.4066,51.3361,52.3630
20/02/2018,49.0981,56.9405,41.9405,49.9089,51.5708
15/02/2018,46.8551,56.8570,41.9405,50.5325,51.7594
14/02/2018,52.4088,55.0135,43.3540,51.8066,52.0714
13/02/2018,52.6397,55.0135,47.0490,53.2245,52.1519
12/02/2018,48.2889,48.6595,44.8103,52.7330,51.6649
09/02/2018,53.9740,55.5872,44.8458,53.7040,52.0016
08/02/2018,50.7418,53.3651,42.8365,53.3873,51.2601
07/02/2018,43.8932,53.5450,43.1755,53.9333,51.3457
06/02/2018,48.8050,52.9786,43.0242,54.4497,52.7366
05/02/2018,48.8424,38.3587,44.2432,52.0185,50.9327
02/02/2018,45.3285,38.1654,44.2683,51.9353,52.6380
01/02/2018,48.4058,37.8160,44.1700,51.8680,52.6743
31/01/2018,51.8081,38.1259,44.1823,52.9361,52.6607
30/01/2018,50.6128,39.3078,44.5058,53.0256,52.6962
29/01/2018,54.0791,37.9797,44.6194,52.9612,53.7524
26/01/2018,41.5321,30.1780,44.1582,52.3650,53.4146
25/01/2018,53.0708,29.9645,42.5518,51.8620,53.0020
24/01/2018,52.4880,31.9336,42.6495,51.9566,57.4887
23/01/2018,57.1602,24.6654,44.2338,51.1475,56.9013
22/01/2018,55.9991,29.5967,44.3941,52.3197,56.9013
19/01/2018,50.2169,29.9118,46.4006,52.6989,56.9013
18/01/2018,57.4405,29.9118,46.7506,52.9805,56.9734
17/01/2018,44.6265,38.0122,46.7567,53.1737,56.9791
16/01/2018,59.2405,48.0812,46.2876,53.3259,56.8688
15/01/2018,54.0630,47.5711,47.1354,54.3140,56.7807
12/01/2018,59.3805,43.0347,46.1115,53.7731,56.3822
11/01/2018,61.1393,42.8612,47.1474,53.8713,56.4419
10/01/2018,58.6895,42.9001,57.9908,54.4019,56.6220
09/01/2018,52.4800,43.2490,57.9482,54.4342,56.5927
08/01/2018,58.0302,58.1240,57.3590,55.5042,56.4713
05/01/2018,58.0739,59.9214,57.3476,55.5643,56.5390
04/01/2018,59.6048,59.6675,58.5472,55.7681,56.7199
03/01/2018,62.6739,50.7228,59.0999,55.3029,55.9864
02/01/2018,58.1845,47.6392,59.5180,54.3123,55.3223
29/12/2017,48.5983,48.6387,60.1184,54.2699,55.2913
28/12/2017,61.3448,49.7301,61.9991,54.6843,55.6415
27/12/2017,61.0341,49.7301,62.8917,54.6843,56.0241
22/12/2017,65.8693,50.6179,63.6084,54.8478,56.0645
21/12/2017,63.6795,58.0420,64.5538,56.7346,55.9975
20/12/2017,51.0007,42.4432,59.2103,54.2858,54.5289
19/12/2017,51.7724,47.4484,59.1095,56.7027,54.4273
18/12/2017,50.8235,47.4484,58.8209,56.8002,54.4516
15/12/2017,50.8472,47.5220,60.9708,56.7778,55.0228
14/12/2017,56.5953,46.9356,61.0328,56.7013,54.9279
13/12/2017,57.1753,49.1061,60.9107,58.0742,54.9158
12/12/2017,57.6130,45.9646,60.1332,57.7888,55.4533
11/12/2017,61.5187,51.1289,60.3445,57.8487,55.5143
