Underlying Name ,Tracker Fund

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
27/03/2018,21.0909,16.9472,20.7344,21.1731,19.1966
26/03/2018,21.1658,16.3809,22.8139,21.1997,19.1711
23/03/2018,20.5488,18.0854,22.6141,21.0870,19.0829
22/03/2018,20.3339,12.3003,21.4257,20.2732,18.4814
21/03/2018,19.0982,12.7712,25.7436,20.1575,18.4120
20/03/2018,18.6881,13.6542,25.9164,20.0957,18.3765
19/03/2018,18.0829,15.8227,25.9058,20.1107,18.5030
16/03/2018,18.3261,21.3554,25.9626,20.1421,18.5038
15/03/2018,18.5981,22.7425,26.0926,20.2401,18.5110
14/03/2018,17.5722,22.8636,26.1845,20.2845,18.5275
13/03/2018,18.4521,24.2749,26.2149,20.4698,18.5799
12/03/2018,19.5041,24.6918,26.5710,20.5172,19.2882
09/03/2018,19.9439,23.4061,26.0323,20.3299,19.0864
08/03/2018,20.8047,23.3985,25.8216,20.3822,19.0547
07/03/2018,21.7636,22.1996,25.9563,20.1477,18.8802
06/03/2018,21.4336,24.6348,25.8927,20.6203,18.8052
05/03/2018,22.8932,21.8437,25.1269,20.3684,18.5333
02/03/2018,21.9246,21.2016,24.4426,19.7676,18.1467
01/03/2018,20.2191,21.7023,24.2007,19.5978,18.0743
28/02/2018,19.8549,22.4158,24.5950,19.7903,18.2951
27/02/2018,19.2291,19.9719,24.2388,19.5371,18.1182
26/02/2018,18.8983,27.0504,24.2226,19.4574,18.0596
23/02/2018,19.0923,26.8781,24.0731,19.4144,18.0280
22/02/2018,20.8087,27.8191,23.9132,19.3475,17.9657
21/02/2018,19.7841,37.2444,23.5523,19.2649,17.7978
20/02/2018,20.6416,35.4382,22.8985,18.9761,17.5503
15/02/2018,19.9796,35.4879,22.8165,19.3434,17.5252
14/02/2018,20.0984,33.1031,22.2902,19.0229,17.2960
13/02/2018,20.7679,30.7425,21.4880,18.6253,16.9901
12/02/2018,21.7348,27.7010,21.8322,18.3842,16.8411
09/02/2018,23.4201,27.1739,21.8322,18.5134,17.2595
08/02/2018,20.9244,27.4217,19.8360,17.2767,16.3793
07/02/2018,24.3136,26.5609,19.8133,17.2551,16.4767
06/02/2018,24.0354,26.8705,19.3951,17.0157,16.3151
05/02/2018,17.9400,16.5633,11.9868,13.4256,13.9195
02/02/2018,16.1135,15.1726,11.0556,13.1205,13.8722
01/02/2018,16.0908,15.1142,10.9511,13.3250,13.9683
31/01/2018,16.7863,14.2970,10.4177,13.1749,13.8866
30/01/2018,17.5617,14.0792,11.0260,13.1430,13.8475
29/01/2018,18.2979,13.8824,10.6701,12.9825,13.7423
26/01/2018,16.8097,12.6535,10.7389,12.9674,13.7633
25/01/2018,16.0863,11.9588,10.7594,14.3632,13.6149
24/01/2018,16.1492,10.1452,10.3175,14.2455,13.5383
23/01/2018,16.2775,10.1340,10.5032,14.2795,13.5651
22/01/2018,15.5948,7.3665,9.7077,13.9120,13.2622
19/01/2018,14.6798,7.3586,12.5325,13.9136,13.3483
18/01/2018,14.1508,7.4802,13.1757,13.9516,13.3613
17/01/2018,12.5401,7.5006,13.1503,14.0262,13.3468
16/01/2018,12.2233,7.4929,13.3591,14.1436,13.3931
15/01/2018,11.8643,9.2870,13.5920,14.3381,13.1654
12/01/2018,11.9534,9.4793,13.6026,14.3392,13.2082
11/01/2018,12.6172,9.5189,13.5075,14.2654,13.1558
10/01/2018,12.3819,9.1879,13.6341,14.3154,13.1759
09/01/2018,12.2898,8.9788,13.6768,14.3164,13.3130
08/01/2018,12.5476,9.0356,14.1522,14.3199,13.3384
05/01/2018,12.9787,9.1669,14.3863,14.3671,13.3398
04/01/2018,13.1047,8.9531,15.4359,14.3933,13.4782
03/01/2018,13.5427,8.9667,15.3749,14.3722,13.4465
02/01/2018,13.6015,11.3854,15.4114,14.3816,13.4470
29/12/2017,13.4687,8.4861,14.4195,13.8804,13.1309
