Underlying Name ,BOC Hong Kong (Holdings) Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
03/04/2018,24.6357,20.0075,16.9616,20.6443,20.7865
29/03/2018,24.4964,16.6965,19.6403,19.9609,20.2939
28/03/2018,24.2922,17.5874,19.8991,20.0103,20.2786
27/03/2018,22.9390,16.5917,19.7632,19.8021,20.1542
26/03/2018,23.5471,16.7085,20.7112,19.8408,20.1919
23/03/2018,23.1815,20.6289,21.5097,19.9147,20.2318
22/03/2018,21.0391,14.9521,20.2199,19.1916,19.7619
21/03/2018,21.0508,14.7921,22.7801,19.1917,19.7969
20/03/2018,20.9300,14.8485,23.5164,19.2158,19.7991
19/03/2018,20.3984,13.6307,23.1645,19.0110,19.7155
16/03/2018,19.7069,16.2044,23.1178,18.9636,19.7209
15/03/2018,20.4385,16.4488,22.9757,19.1943,19.6708
14/03/2018,21.6213,16.2077,23.6952,19.6008,19.7255
13/03/2018,21.8487,16.1001,24.4493,20.5545,19.7089
12/03/2018,22.0376,16.0225,24.4271,20.6201,20.4543
09/03/2018,22.8644,10.9919,23.4395,20.2498,20.1343
08/03/2018,24.0506,12.4777,23.6290,20.3169,20.1343
07/03/2018,24.8569,12.3961,23.7116,20.3727,20.1356
06/03/2018,24.4339,13.1412,23.7406,20.7706,20.1776
05/03/2018,24.6596,14.1792,23.6447,20.8190,20.1805
02/03/2018,23.2989,12.6644,23.2418,20.5361,19.9981
01/03/2018,21.6076,23.0377,23.1160,20.4340,19.9750
28/02/2018,20.5853,23.2361,23.2700,20.6694,20.1842
27/02/2018,19.8566,24.6814,23.3860,22.5898,20.1733
26/02/2018,20.7641,27.8796,23.3907,22.5866,20.1838
23/02/2018,21.7068,29.1433,24.5356,22.6380,20.2470
22/02/2018,22.9057,30.0302,24.3391,22.5570,20.1777
21/02/2018,22.3541,35.7383,24.4150,22.6098,20.1785
20/02/2018,23.6719,36.7870,24.4130,22.5662,20.1393
15/02/2018,21.5735,36.2983,24.2262,22.5409,20.0755
14/02/2018,24.7192,35.7548,24.0436,22.4818,20.0169
13/02/2018,24.0462,25.8396,20.3476,20.7677,18.7522
12/02/2018,26.4024,24.0049,20.0177,20.5829,18.6033
09/02/2018,27.7526,24.7168,19.8076,20.4771,18.8020
08/02/2018,24.5204,25.0431,19.1831,20.1043,18.5110
07/02/2018,25.5138,18.7168,18.2348,19.7067,18.1774
06/02/2018,26.5525,21.3041,18.0831,19.6268,18.1155
05/02/2018,19.2809,17.7530,15.1346,18.3337,17.1751
02/02/2018,18.4641,16.4885,14.0681,17.8509,16.9143
01/02/2018,18.5302,16.5284,14.0347,17.8898,17.0040
31/01/2018,19.5434,16.5282,13.9815,17.9393,16.9908
30/01/2018,20.4907,16.6723,14.8821,17.9666,17.2939
29/01/2018,21.7717,14.2727,14.7601,17.4940,16.9808
26/01/2018,20.8621,8.1173,15.6361,16.8006,16.7070
25/01/2018,20.8218,8.5046,15.7621,18.1877,16.7083
24/01/2018,21.2169,13.1981,15.7179,18.1245,16.6691
23/01/2018,20.1149,13.2932,15.9330,18.0662,16.6196
22/01/2018,19.0001,13.3038,15.9765,18.0573,16.5953
19/01/2018,16.9649,13.3514,17.2032,18.1077,16.7216
18/01/2018,17.0791,14.5198,17.4650,18.1510,16.7209
17/01/2018,15.8734,14.5439,17.3968,18.1723,16.7676
16/01/2018,15.6941,15.2334,17.4395,18.2458,16.7711
15/01/2018,15.3954,15.1531,17.7896,18.5648,16.7278
12/01/2018,18.5179,15.0750,21.7329,18.5159,16.9829
11/01/2018,17.8069,14.8680,21.6709,18.5290,17.2134
10/01/2018,15.0707,9.7017,20.8318,17.9468,16.7807
09/01/2018,15.8107,9.7017,20.8318,17.9468,17.0073
08/01/2018,15.6648,9.5089,20.9462,17.9098,16.9792
05/01/2018,15.0005,9.1131,20.8723,17.8491,16.9290
04/01/2018,16.1184,7.7192,20.9640,17.8625,17.7243
