Underlying Name ,Tencent Holdings Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
17/04/2018,25.8695,26.0112,34.5318,36.8904,36.0466
16/04/2018,26.0342,25.3098,36.0641,37.2066,36.4094
13/04/2018,26.3353,33.9988,36.9523,37.3520,36.4803
12/04/2018,28.9235,34.9878,37.0293,37.8056,36.5592
11/04/2018,30.1218,35.4267,36.8457,38.0283,36.5104
10/04/2018,29.4970,41.8240,37.1520,38.0292,36.5303
09/04/2018,30.5686,45.5861,37.2695,37.9285,36.5180
06/04/2018,30.0238,43.9207,38.1322,37.9583,36.4906
04/04/2018,31.5268,41.9287,37.4641,37.7010,36.5461
03/04/2018,32.4705,41.2668,37.9537,37.5557,36.8603
29/03/2018,33.1485,40.8322,38.8309,37.6242,37.1833
28/03/2018,36.1053,42.5547,39.8818,38.0733,37.3523
27/03/2018,33.3599,37.8538,37.2128,36.7593,36.5167
26/03/2018,34.2514,36.9661,38.2605,36.8305,36.4608
23/03/2018,33.9720,39.7783,38.1757,36.7892,36.3855
22/03/2018,35.1450,33.6725,35.7169,35.6231,35.5491
21/03/2018,35.2375,19.5712,38.9661,33.8448,34.3935
20/03/2018,36.1741,19.9025,39.6640,33.8582,34.4522
19/03/2018,36.3148,23.6789,39.8881,33.9641,34.9134
16/03/2018,40.1760,28.4207,39.8959,33.9684,35.0684
15/03/2018,37.1059,32.0223,39.8465,34.2609,35.1105
14/03/2018,37.2108,35.1938,40.2030,34.2212,35.0869
13/03/2018,37.1299,40.2464,40.1993,34.2280,35.3577
12/03/2018,37.6006,41.3579,41.0475,34.9017,35.3566
09/03/2018,36.3034,38.4431,40.6859,34.8970,35.0879
08/03/2018,38.3714,39.0875,40.6628,35.8075,35.0721
07/03/2018,39.4040,39.0023,41.3313,36.1519,35.0620
06/03/2018,38.6099,42.1078,41.6027,36.5792,35.0444
05/03/2018,41.0615,37.7888,40.5858,36.7690,34.7092
02/03/2018,38.2493,39.7158,39.9462,36.3545,34.3969
01/03/2018,35.5332,38.7980,39.4146,36.6607,34.0992
28/02/2018,34.5922,38.2263,38.8464,36.7672,33.9857
27/02/2018,34.4178,32.2097,38.1964,36.3653,33.5024
26/02/2018,33.7335,36.2366,38.8009,36.3770,33.3703
23/02/2018,32.9576,35.9992,39.5961,36.4617,33.4661
22/02/2018,35.5179,35.8472,39.4220,36.4031,33.4099
21/02/2018,33.6477,52.6694,38.7666,36.1713,33.0792
20/02/2018,34.4097,52.7878,38.1463,35.8025,32.8247
15/02/2018,31.9170,53.3499,38.1356,36.1062,32.8176
14/02/2018,33.8527,49.9607,37.6644,36.5112,32.5291
13/02/2018,34.2471,46.9752,37.0078,36.6056,32.2864
12/02/2018,34.8419,41.5195,36.8588,36.3607,31.9285
09/02/2018,37.1751,40.9739,36.8620,36.4648,32.3013
08/02/2018,34.3721,45.0256,35.9785,35.8498,31.8274
07/02/2018,36.7426,43.8407,36.0005,35.7794,31.9321
06/02/2018,39.9531,41.7563,36.1001,35.7439,31.8920
05/02/2018,31.4035,32.6876,28.4151,32.2137,29.3172
02/02/2018,31.5657,31.8239,27.3378,31.8669,29.0496
01/02/2018,32.4394,30.7079,26.8799,32.3712,28.8742
31/01/2018,31.7808,30.3175,26.6886,32.5677,28.8144
30/01/2018,32.5183,30.5595,27.8049,32.6807,28.8191
29/01/2018,33.3589,28.7240,26.6754,32.2539,28.5586
26/01/2018,30.4958,32.1799,26.6324,32.6293,28.7083
25/01/2018,29.6073,32.3702,27.8030,32.2659,28.3982
24/01/2018,30.6522,32.7911,27.3779,31.7162,28.0323
23/01/2018,29.3255,32.1955,28.7363,31.5239,27.9055
22/01/2018,28.8446,29.3576,28.8115,31.2955,27.5188
19/01/2018,25.7219,28.9419,30.3780,31.2445,27.7280
18/01/2018,28.2162,28.7531,32.3671,31.2616,27.7063
17/01/2018,28.5129,29.9735,32.3083,31.2635,27.7995
