Underlying Name ,Hang Seng H-Share Index ETF

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
08/05/2018,20.1375,24.3401,22.7442,26.3609,24.4987
07/05/2018,20.7753,23.5274,22.3639,26.1729,24.4137
04/05/2018,19.9594,24.2225,22.2561,26.1736,24.4547
03/05/2018,20.3431,26.7726,22.1287,26.1597,24.3951
02/05/2018,19.3630,25.6512,21.8657,26.2415,24.4074
30/04/2018,19.0812,25.2623,21.7134,26.3858,24.3338
27/04/2018,20.2504,25.5927,20.5208,25.8939,24.2082
26/04/2018,20.7578,25.1032,20.4494,26.3871,24.2411
25/04/2018,20.3335,24.6164,21.1850,26.5116,24.2455
24/04/2018,19.2043,23.4068,20.7796,26.4777,24.1644
23/04/2018,19.2362,22.2592,19.9026,26.5116,23.8608
20/04/2018,19.3817,22.7096,20.0118,26.5022,24.3592
19/04/2018,19.3681,21.0665,20.9344,26.4318,24.2270
18/04/2018,19.3065,21.5548,20.4004,26.2274,23.9567
17/04/2018,21.2941,22.2120,21.1964,26.3011,23.9569
16/04/2018,22.8729,21.9146,21.1926,26.7552,24.0112
13/04/2018,20.0074,21.9206,20.9861,26.3142,23.6929
12/04/2018,21.5306,22.2250,21.3590,26.4872,23.7113
11/04/2018,22.4257,22.2779,21.6220,26.4846,23.7623
10/04/2018,23.0595,25.8321,22.1182,26.4925,23.8392
09/04/2018,23.5776,23.2882,21.4526,26.1896,23.8068
06/04/2018,24.6038,21.9783,22.1714,26.1064,23.7893
04/04/2018,25.5316,20.9643,22.1645,26.0710,24.1972
03/04/2018,24.0498,19.0586,22.0291,25.7478,23.9139
29/03/2018,24.7064,17.3870,22.8745,25.6745,23.8737
28/03/2018,26.0385,17.4719,22.9745,26.4559,23.9315
27/03/2018,23.6312,14.1926,21.8148,25.9687,23.7485
26/03/2018,24.3636,13.8171,24.4410,25.9728,23.7529
23/03/2018,24.8578,17.8226,24.3794,25.9666,23.7485
22/03/2018,22.5128,13.1605,24.5338,25.4388,23.3763
21/03/2018,21.8750,13.4035,29.8918,25.4099,23.3867
20/03/2018,21.6901,14.0798,29.8798,25.3889,23.3688
19/03/2018,20.7453,17.6914,29.9733,25.4287,23.3900
16/03/2018,21.6074,20.4818,30.0335,25.4259,23.4254
15/03/2018,22.2221,23.8775,30.3745,25.6111,23.4152
14/03/2018,22.2214,23.9203,30.6893,25.6127,23.4215
13/03/2018,22.2920,26.5790,30.6999,25.7739,23.4391
12/03/2018,22.7294,27.4872,31.5972,25.8716,23.4443
09/03/2018,23.4683,25.7504,31.2184,25.7053,23.2595
08/03/2018,24.3600,27.0288,31.3799,25.7937,23.3976
07/03/2018,25.5225,26.1326,32.0730,25.7004,23.3097
06/03/2018,25.4011,28.6125,32.0171,26.3684,23.2831
05/03/2018,27.0725,24.7480,31.0954,25.8840,22.9589
02/03/2018,26.3792,26.2562,31.3277,25.6685,22.8061
01/03/2018,24.5587,26.0921,30.9442,25.2662,22.6019
28/02/2018,24.3547,26.1645,31.7221,25.4019,22.8387
27/02/2018,23.4859,22.2150,31.0715,25.0202,22.5304
26/02/2018,23.4066,29.9088,30.9748,24.8301,22.3786
23/02/2018,24.7003,29.8568,30.8761,24.8571,22.3479
22/02/2018,25.3834,32.0591,30.6012,24.7885,22.2232
21/02/2018,24.7338,43.4669,30.4082,24.9615,22.1754
20/02/2018,24.6863,40.9088,29.8419,24.6701,21.9318
15/02/2018,24.5522,41.5658,29.7101,25.1627,21.8610
14/02/2018,24.3957,38.9982,29.3648,24.9492,21.6844
13/02/2018,27.5525,36.9505,28.5976,24.5398,21.3705
12/02/2018,29.1418,35.5549,29.9310,24.5817,21.3533
09/02/2018,31.9226,34.9054,29.9326,24.8305,22.1955
08/02/2018,28.3812,37.0328,27.6712,23.5738,21.2033
07/02/2018,28.6731,37.2172,27.6749,23.5825,21.2894
06/02/2018,29.0156,37.1445,26.3364,22.8966,20.7771
