Underlying Name ,Great Wall Motor Company Ltd

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
10/05/2018,25.7343,25.9729,25.3546,23.1820,27.9212
09/05/2018,27.9583,29.3506,26.2472,23.4739,27.9206
08/05/2018,29.0010,26.1739,25.7630,24.8703,27.7691
07/05/2018,30.7805,25.7359,25.1015,24.6002,27.6079
04/05/2018,29.2958,27.7243,25.1024,24.6022,27.6095
03/05/2018,29.5261,27.8582,25.0249,24.7066,27.5698
02/05/2018,29.5685,25.6465,24.5564,24.6505,27.4546
30/04/2018,30.4555,27.2858,24.7110,24.7978,27.8567
27/04/2018,30.9767,31.0496,24.5569,25.3302,27.8995
26/04/2018,32.8230,31.1307,24.3254,25.2262,27.8809
25/04/2018,32.9707,26.4645,21.7804,24.2901,27.2914
24/04/2018,31.7771,20.9473,19.6502,23.3764,26.9805
23/04/2018,33.1511,20.1657,19.1043,23.3113,27.0327
20/04/2018,30.8963,21.1349,19.1276,23.2975,27.7473
19/04/2018,30.5437,19.8588,18.9055,23.2979,27.6520
18/04/2018,31.1937,15.3612,16.9061,22.6920,27.3407
17/04/2018,33.8333,15.0327,17.0603,22.6641,27.3131
16/04/2018,33.9910,14.5511,17.0145,22.7411,27.2636
13/04/2018,32.2913,17.0904,16.4404,22.4093,27.2134
12/04/2018,33.6735,17.1412,16.8842,22.4775,27.2132
11/04/2018,33.6774,23.9585,22.4801,22.4769,27.2122
10/04/2018,34.7792,25.2965,22.9823,25.6122,27.3624
09/04/2018,36.4426,23.4995,22.7448,25.6404,27.3858
06/04/2018,37.1639,20.6838,22.6460,25.9134,27.8090
04/04/2018,36.6280,20.3061,22.7565,25.9035,27.8151
03/04/2018,37.4146,20.9180,22.6037,26.1716,27.7516
29/03/2018,34.5682,20.4630,22.7621,26.2318,27.7760
28/03/2018,33.5963,22.6561,22.9078,30.2795,27.8222
27/03/2018,33.0607,20.5130,21.5271,30.0040,27.6226
26/03/2018,33.7993,20.6561,22.8035,30.2159,27.6466
23/03/2018,31.2141,13.3453,21.1586,29.2827,27.3875
22/03/2018,30.3355,8.3940,20.5854,28.8039,27.0676
21/03/2018,30.3864,8.4598,24.3714,28.8412,27.0579
20/03/2018,30.9484,9.3726,24.4557,28.8138,27.4090
19/03/2018,30.8799,9.3996,24.4650,28.8184,27.4381
16/03/2018,32.1312,9.6728,24.7947,28.8137,27.4930
15/03/2018,32.1393,11.5613,25.1642,28.8911,27.4943
14/03/2018,31.7795,10.1392,25.3063,29.3969,27.4850
13/03/2018,32.8195,10.8047,26.4548,29.4516,27.5608
12/03/2018,32.4696,12.2954,26.4505,29.5035,27.6233
09/03/2018,33.2840,27.7593,26.8187,29.5089,28.1274
08/03/2018,34.2775,28.3085,26.7348,29.6686,28.4720
07/03/2018,35.4370,28.3338,26.9265,29.9180,28.4651
06/03/2018,36.0197,27.3932,26.7595,30.8874,28.4545
05/03/2018,37.3136,27.1611,26.9222,30.8809,28.4553
02/03/2018,36.5905,26.6988,27.0131,30.8530,28.4604
01/03/2018,35.6526,24.3047,26.6955,30.6912,28.3807
28/02/2018,35.9128,23.6825,26.8289,30.6914,28.9457
27/02/2018,36.2159,21.7456,26.6225,30.8605,28.8978
26/02/2018,37.0566,28.4313,26.5728,30.8236,28.8562
23/02/2018,34.9778,19.8163,22.7389,29.3278,28.0294
22/02/2018,35.2690,21.7345,28.3771,29.3831,27.9147
21/02/2018,35.4837,31.3685,28.6371,29.4653,27.9173
20/02/2018,36.8083,30.7619,29.2112,30.0509,36.2219
15/02/2018,31.6928,30.1351,29.1066,30.0381,36.2084
14/02/2018,34.2633,30.1217,29.7084,30.0393,36.2313
13/02/2018,36.4953,29.0981,29.6933,30.0383,36.2273
12/02/2018,38.5167,29.7564,36.5830,30.0805,36.2068
09/02/2018,39.5229,34.5937,36.9705,30.3655,36.5903
08/02/2018,37.5132,33.0325,36.3724,29.8765,36.3147
