Underlying Name ,PICC Property and Casualty Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
29/05/2018,29.0735,23.3655,33.4393,33.6028,32.3522
28/05/2018,28.0978,25.9554,33.2619,33.5576,32.3782
25/05/2018,27.6360,23.5354,32.7895,33.4342,32.1758
24/05/2018,28.6751,23.3325,32.8245,33.6147,32.1875
23/05/2018,29.0325,22.8106,33.9860,33.5794,32.1651
21/05/2018,29.3534,25.4276,33.5525,33.5607,31.9003
18/05/2018,27.4185,26.0221,33.8172,33.5434,31.8969
17/05/2018,28.3988,26.0021,34.8198,33.7426,32.0942
16/05/2018,30.0707,24.9925,35.0209,33.6941,32.0167
15/05/2018,29.5043,27.2500,35.0756,33.6762,32.3696
14/05/2018,29.7636,36.0095,38.9004,33.2927,32.1089
11/05/2018,30.8202,37.1024,39.0675,33.8717,31.9639
10/05/2018,31.0061,41.6154,40.0733,33.8161,32.0182
09/05/2018,32.1423,43.0026,40.1506,33.9031,32.0610
08/05/2018,32.2995,42.8333,40.1816,34.8980,32.0627
07/05/2018,31.4121,42.9839,39.2247,34.3584,31.6121
04/05/2018,30.7088,43.1277,38.8593,34.4816,31.7229
03/05/2018,31.5964,47.4984,38.8698,34.4787,31.7526
02/05/2018,30.5805,47.2492,38.8733,34.5633,31.8597
30/04/2018,30.3989,46.3698,38.9708,34.6796,31.8099
27/04/2018,29.0314,36.3321,34.0095,32.5884,30.1174
26/04/2018,30.3748,31.5966,32.2953,32.1822,29.6821
25/04/2018,27.9574,29.7600,32.3850,32.3375,29.7075
24/04/2018,27.9433,29.4768,34.7459,32.3254,30.1593
23/04/2018,28.6618,34.2743,35.1809,32.2931,30.2317
20/04/2018,28.6286,33.6365,35.1739,32.0588,30.5355
19/04/2018,29.0218,33.4831,35.4859,32.1090,30.4686
18/04/2018,29.0390,30.0633,33.4454,31.9454,29.9625
17/04/2018,33.8158,32.0566,33.3928,31.9836,29.9282
16/04/2018,34.2821,31.7452,34.3867,32.2794,30.0348
13/04/2018,31.8513,42.6483,34.0054,32.0252,29.8222
12/04/2018,33.7200,43.2010,33.9687,32.1400,29.8408
11/04/2018,33.9211,45.0468,34.4352,32.1210,29.8258
10/04/2018,34.1363,45.0469,34.8577,32.1226,29.8509
09/04/2018,33.8001,39.7193,33.4188,31.4162,29.6777
06/04/2018,33.7166,34.7712,33.5344,31.0452,29.5454
04/04/2018,32.8354,35.3548,33.4147,31.0054,30.4621
03/04/2018,32.2149,34.8993,33.1358,30.9062,30.5577
29/03/2018,31.9154,29.5378,32.6473,30.5660,30.4265
28/03/2018,32.6429,33.6098,32.5764,31.1505,31.0249
27/03/2018,31.0917,23.4684,27.2346,28.4846,29.4696
26/03/2018,30.1277,22.1943,28.4119,28.0907,29.8916
23/03/2018,29.7258,19.0204,26.5867,27.3530,29.5787
22/03/2018,28.5445,27.3284,26.6470,27.2963,29.5718
21/03/2018,28.0737,28.1820,29.2969,27.3030,29.7347
20/03/2018,27.8718,28.3826,29.0440,26.8730,29.5925
19/03/2018,27.7985,28.5812,29.5452,27.1243,29.6710
16/03/2018,28.4544,29.0105,29.2218,26.9435,29.5743
15/03/2018,30.8381,30.7868,29.3222,27.2161,29.7508
14/03/2018,30.4947,32.1926,30.0719,27.4131,30.0674
13/03/2018,30.4748,33.7550,31.1969,27.4064,33.0154
12/03/2018,30.7367,33.6691,31.6496,27.3960,33.0690
09/03/2018,29.9390,33.8310,32.5067,27.6788,33.0056
08/03/2018,29.8316,28.9501,30.2751,27.3926,32.3944
07/03/2018,30.1305,27.7621,29.7307,27.3916,32.2884
06/03/2018,30.5829,26.8759,29.1951,27.9285,32.1320
05/03/2018,31.9045,26.3245,28.9528,27.7697,32.0962
02/03/2018,31.0325,25.1962,30.6951,27.8294,32.0743
01/03/2018,30.1734,22.1426,30.5257,27.5893,31.9766
28/02/2018,30.6448,21.2620,30.3217,27.5474,32.2754
