Underlying Name ,China CITIC Bank Corporation Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
30/05/2018,30.5033,40.9081,31.3944,30.4825,38.4457
29/05/2018,30.2977,40.5774,32.9901,30.8190,38.3393
28/05/2018,27.7732,20.7573,24.8246,27.0956,36.2313
25/05/2018,24.3795,20.9539,24.8259,27.1362,36.3247
24/05/2018,26.0142,19.7396,25.4680,27.0125,36.9632
23/05/2018,27.8975,19.5177,26.5986,26.9871,36.9604
21/05/2018,25.7004,21.7031,26.5179,28.1037,37.0492
18/05/2018,23.7837,18.4833,25.7708,27.8597,36.8842
17/05/2018,25.7824,21.1350,26.6857,28.2579,36.8670
16/05/2018,26.1763,19.3014,27.0400,28.1820,36.7751
15/05/2018,24.2415,19.5711,27.0487,28.3623,36.9197
14/05/2018,27.5901,21.5585,27.5501,28.3242,36.9018
11/05/2018,26.6214,20.5294,27.7595,30.6301,36.8043
10/05/2018,28.6518,21.5729,27.8262,30.5734,36.7904
09/05/2018,30.1425,23.4393,28.7488,32.5106,36.7735
08/05/2018,29.7587,26.1521,28.7596,35.6712,36.7723
07/05/2018,30.4549,24.8369,28.2155,36.3680,36.6493
04/05/2018,31.1636,28.4943,28.0462,36.2933,36.6164
03/05/2018,32.2815,28.0908,27.6455,36.1805,36.5062
02/05/2018,31.4115,28.6869,28.4877,36.2401,36.5391
30/04/2018,32.9457,28.3402,28.5185,36.7177,36.5572
27/04/2018,29.9608,33.2709,27.5175,36.2914,36.5479
26/04/2018,29.7739,32.1216,27.2140,37.2122,36.5322
25/04/2018,29.6321,31.9627,28.0415,38.1448,36.4939
24/04/2018,28.1500,33.8293,27.6446,38.1697,36.3711
23/04/2018,29.1022,34.2892,26.5683,39.8055,36.1628
20/04/2018,28.3321,34.2892,27.0262,39.8232,36.4131
19/04/2018,27.9401,30.4413,27.7766,39.5659,36.0973
18/04/2018,27.7746,32.4343,27.5972,41.1615,36.0272
17/04/2018,32.8429,33.9128,29.8536,41.4727,35.9711
16/04/2018,34.0319,34.0056,30.0716,41.7674,35.9910
13/04/2018,30.9034,27.9296,29.0480,40.9578,35.3297
12/04/2018,32.0962,29.8826,29.4344,40.9540,35.3486
11/04/2018,33.1884,30.2666,29.4884,41.0787,35.4295
10/04/2018,32.9495,31.0095,28.5689,41.7394,35.2023
09/04/2018,31.1207,26.7991,27.0592,41.3739,34.9875
06/04/2018,31.7544,26.8747,29.5986,41.5216,35.1680
04/04/2018,30.7815,26.8753,29.6253,41.5176,35.2001
03/04/2018,30.8978,24.6620,30.0421,41.2340,34.9870
29/03/2018,30.2211,22.4736,29.3017,40.9644,34.8191
28/03/2018,30.3191,22.4489,29.8409,41.1807,34.8106
27/03/2018,30.5279,21.3886,29.4041,40.9997,34.7252
26/03/2018,32.3511,15.8355,33.1521,40.7942,34.5206
23/03/2018,34.2498,21.7889,33.1274,40.7577,34.4973
22/03/2018,32.2707,18.6693,35.8975,40.4066,34.2417
21/03/2018,32.9930,18.7182,41.0855,40.3982,34.2386
20/03/2018,32.9473,20.5069,43.0384,40.4006,34.2387
19/03/2018,31.9093,27.7155,43.1253,40.3947,34.2355
16/03/2018,31.1495,28.1048,43.1354,40.3979,34.2473
15/03/2018,33.4471,33.8251,42.9299,40.1079,34.0014
14/03/2018,36.0088,34.1782,43.6384,40.1197,33.9764
13/03/2018,38.3835,37.2445,43.7158,40.3276,33.9550
12/03/2018,37.3155,37.7179,45.5355,40.4103,33.9793
09/03/2018,36.4048,34.3796,46.2922,40.1937,33.8486
08/03/2018,39.5833,35.2644,46.5359,40.1936,33.9662
07/03/2018,40.5360,34.9981,50.1004,40.2307,34.0170
06/03/2018,40.5238,40.9699,49.9310,40.3881,33.8684
05/03/2018,38.6409,35.6237,48.8773,39.8218,33.4030
02/03/2018,37.6870,38.6900,51.7971,39.7616,33.4522
01/03/2018,35.4007,31.8785,50.9596,38.7058,32.6574
