Underlying Name ,Peoples Insurance Company (Group) of China Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
05/06/2018,35.0628,48.7118,34.7382,33.1841,37.1824
04/06/2018,36.3926,48.7236,35.4816,33.5822,37.4529
01/06/2018,29.8379,21.8892,25.7294,28.5989,34.5798
31/05/2018,27.9794,22.2062,25.7469,28.8045,34.5795
30/05/2018,27.3646,19.0260,25.3191,28.6077,34.6267
29/05/2018,27.7258,18.6179,25.7701,28.7129,34.5686
28/05/2018,25.9701,21.3096,25.7654,28.7234,34.5973
25/05/2018,26.5710,21.3046,25.8609,28.7054,34.6122
24/05/2018,26.5488,21.7111,25.8340,28.8364,34.6130
23/05/2018,27.3185,21.8114,29.9726,29.0218,34.6588
21/05/2018,26.5871,15.7276,28.8527,28.7811,34.3214
18/05/2018,25.1742,18.9236,28.7225,28.7889,34.2710
17/05/2018,27.1312,20.0916,28.9373,29.8477,34.4429
16/05/2018,27.3568,20.6580,28.8790,29.8157,34.5240
15/05/2018,29.0593,25.8223,29.1674,29.8152,34.9903
14/05/2018,29.5325,28.6145,31.8815,29.7583,34.9575
11/05/2018,31.1370,31.5206,31.9710,31.5329,34.8167
10/05/2018,31.5098,33.1989,31.8332,31.4634,34.9177
09/05/2018,31.6769,35.2060,32.9826,31.5634,34.9001
08/05/2018,32.6761,35.2111,32.9806,34.5799,34.8904
07/05/2018,32.5524,34.5842,32.5627,34.4315,34.8156
04/05/2018,31.8443,33.2617,31.3661,37.2515,34.6190
03/05/2018,33.2908,34.6780,31.5100,37.3245,34.6098
02/05/2018,32.3901,34.2879,31.4754,37.4577,34.8261
30/04/2018,34.2709,31.6113,31.2040,37.3386,34.5837
27/04/2018,31.1231,28.6914,29.4940,36.8778,34.2451
26/04/2018,33.2902,19.1328,26.9501,36.1215,33.7764
25/04/2018,32.4251,19.0442,27.9100,36.2004,33.7576
24/04/2018,33.0087,18.3408,28.9468,36.1972,33.6379
23/04/2018,32.6660,34.1723,29.9756,36.2053,33.6573
20/04/2018,32.3969,34.9402,30.4381,38.0788,34.1937
19/04/2018,32.7321,32.6620,31.3423,38.3999,34.3114
18/04/2018,33.4441,32.3568,31.0786,38.3585,34.2008
17/04/2018,36.5611,32.4517,31.3458,38.3584,34.2005
16/04/2018,38.1099,32.7258,31.6803,38.6304,34.1929
13/04/2018,37.0662,38.5515,31.5644,38.4178,34.0707
12/04/2018,40.0140,39.8304,31.5799,38.4609,34.0825
11/04/2018,42.0947,39.5392,31.6371,38.4427,34.0523
10/04/2018,42.8055,42.3862,31.9404,38.4526,34.7927
09/04/2018,38.7557,27.7712,28.0624,36.9815,33.8788
06/04/2018,38.5782,23.8944,28.4202,36.8375,33.7829
04/04/2018,38.8392,21.9321,28.4814,36.8277,34.3183
03/04/2018,37.6116,21.7468,30.8673,37.0523,34.4248
29/03/2018,35.5013,21.5438,30.8761,37.2020,34.4331
28/03/2018,35.7440,25.9214,30.7291,37.7862,34.7603
27/03/2018,35.2120,19.5346,28.0162,36.6471,33.9516
26/03/2018,36.4085,18.4115,31.6345,36.3258,34.0421
23/03/2018,37.8127,23.3541,31.6300,36.5163,34.2242
22/03/2018,35.0243,22.8662,30.5232,35.7843,33.7907
21/03/2018,34.6287,25.6394,36.6746,35.7634,34.4059
20/03/2018,34.6120,28.3624,36.7570,35.7452,34.4245
19/03/2018,34.9070,30.6757,42.5610,35.7178,34.7151
16/03/2018,35.8924,31.2148,42.5428,35.5230,34.6218
15/03/2018,38.0284,32.7940,42.7191,35.9417,34.6152
14/03/2018,37.8963,32.8085,43.0215,35.9269,34.5809
13/03/2018,39.2847,33.5350,43.2865,35.8201,36.9971
12/03/2018,40.0131,33.3231,43.2964,35.8034,36.9434
09/03/2018,38.7372,32.1247,43.1946,35.6839,36.8580
08/03/2018,38.4197,30.1758,42.6793,35.4215,36.6778
07/03/2018,39.4012,28.7893,42.0466,35.2011,36.5527
