Underlying Name ,Li & Fung Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
06/06/2018,32.0736,63.8262,65.2920,54.1246,46.7976
05/06/2018,33.3863,63.5899,64.8861,54.1806,46.8014
04/06/2018,32.7413,64.3294,64.6932,54.5428,46.6588
01/06/2018,33.1338,63.8524,65.2009,54.5371,46.6607
31/05/2018,35.0123,97.7327,65.8318,54.4987,46.6411
30/05/2018,37.5597,95.1738,65.7311,54.4559,46.6334
29/05/2018,37.2276,95.9237,65.7613,54.6764,46.6193
28/05/2018,36.4356,95.1386,65.3778,54.5475,46.4943
25/05/2018,29.3123,87.1037,56.7177,49.1807,42.4160
24/05/2018,28.9591,87.7289,56.7966,49.1783,42.4072
23/05/2018,28.3693,89.2771,56.6870,49.1652,42.3143
21/05/2018,30.2750,90.2591,55.6501,49.0452,42.0601
18/05/2018,30.7989,89.7733,55.6815,49.0217,42.0422
17/05/2018,30.2778,90.0641,55.7439,48.9353,42.0664
16/05/2018,33.7191,26.6439,26.3473,35.4407,31.3451
15/05/2018,27.2599,20.8203,24.4994,34.5058,30.8324
14/05/2018,27.3960,20.9525,24.5230,34.4833,30.8368
11/05/2018,28.7844,21.5341,25.7284,34.8499,30.7849
10/05/2018,27.1599,24.4151,27.1279,34.7185,30.6427
09/05/2018,28.4139,24.4698,42.1012,34.6812,30.6232
08/05/2018,27.6227,26.1619,42.2186,35.2940,30.6219
07/05/2018,26.8703,25.3493,41.7875,35.0804,30.4403
04/05/2018,27.8740,25.1415,41.8083,35.0818,31.4983
03/05/2018,27.6618,26.2895,42.3327,35.2335,31.4983
02/05/2018,27.0025,26.8476,42.5898,35.2353,34.4595
30/04/2018,24.6966,24.1834,41.3504,34.4473,34.3231
27/04/2018,25.7562,26.4804,41.0384,34.3114,34.2355
26/04/2018,25.7792,25.5198,40.4532,34.0784,34.0594
25/04/2018,26.5025,25.7837,40.4020,34.0684,34.5314
24/04/2018,26.8407,26.0241,40.3638,34.1228,37.1313
23/04/2018,27.1029,26.5123,40.5141,34.1150,37.0989
20/04/2018,25.9952,27.0697,40.9936,34.3162,37.1506
19/04/2018,27.4790,27.5172,42.1599,34.3344,37.5577
18/04/2018,26.7417,25.9698,41.7046,34.0652,37.4210
17/04/2018,27.1277,24.2818,40.8969,33.5802,37.1957
16/04/2018,28.5577,25.4523,40.7871,33.5632,37.1348
13/04/2018,28.0352,24.2032,40.8297,33.3174,36.9655
12/04/2018,28.7622,26.7043,40.7378,33.1574,36.8419
11/04/2018,28.9621,30.2623,40.6628,33.3571,36.7412
10/04/2018,30.1493,63.5375,40.6090,33.3078,36.7674
09/04/2018,29.4254,64.3476,40.7957,33.2051,36.7577
06/04/2018,29.5816,64.1100,42.0376,33.7158,36.7504
04/04/2018,30.2243,63.6690,41.9974,33.6723,36.8280
03/04/2018,29.4047,64.5815,41.8932,33.7598,37.0353
29/03/2018,30.2421,64.1634,43.0077,33.4703,36.8820
28/03/2018,29.6000,63.9622,42.5855,33.3784,36.7700
27/03/2018,31.2823,63.2960,42.5182,33.3236,36.7407
26/03/2018,28.9748,59.6316,42.1003,32.6159,36.3679
23/03/2018,27.6753,59.2061,41.3405,32.1867,36.0235
22/03/2018,30.8495,18.6154,25.2659,23.2849,31.0685
21/03/2018,31.4892,18.3190,27.1104,23.1865,31.1040
20/03/2018,32.0249,20.1101,27.1224,23.1876,31.2429
19/03/2018,31.7822,23.2447,27.0665,25.2365,31.2113
16/03/2018,33.6274,22.7253,26.9572,24.8139,31.2501
15/03/2018,32.6860,22.1111,26.6720,29.9944,31.4474
14/03/2018,33.1410,19.9228,26.2567,30.5043,31.4201
13/03/2018,35.3375,20.2525,26.2619,30.5066,31.5815
12/03/2018,34.9742,23.2890,26.4763,30.5309,31.6344
09/03/2018,33.4856,25.2698,26.7467,31.3611,31.6282
08/03/2018,33.9356,25.2665,27.0028,35.4258,31.6311
