Underlying Name ,Sands China Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
06/06/2018,24.7101,29.5748,27.5318,29.9367,29.8162
05/06/2018,25.2368,30.4625,27.8424,30.0322,30.5950
04/06/2018,25.6199,32.6929,28.2129,30.5166,30.5950
01/06/2018,27.1545,32.6750,28.2582,31.0138,30.6009
31/05/2018,26.1018,25.6520,25.1189,29.7595,29.8070
30/05/2018,28.2027,27.5606,25.3988,29.9718,30.1115
29/05/2018,28.3639,24.8560,24.5707,29.6000,31.1312
28/05/2018,27.2954,24.4144,24.5408,29.6072,31.1089
25/05/2018,26.1514,22.7953,23.4649,29.3428,30.8049
24/05/2018,26.7577,22.6941,23.4112,29.3009,30.8332
23/05/2018,26.9583,23.3834,26.5632,30.0485,31.8037
21/05/2018,26.2706,21.1233,25.7429,29.7813,31.6556
18/05/2018,24.0683,19.8515,25.8918,29.6479,31.6082
17/05/2018,25.0358,23.5974,26.4208,29.7947,31.6028
16/05/2018,26.2088,23.0761,26.2082,29.9663,31.5319
15/05/2018,26.2020,25.1645,26.0912,30.2934,31.5914
14/05/2018,27.0106,28.7046,28.2912,30.2286,31.5533
11/05/2018,26.6946,29.4901,28.3726,31.3980,31.6458
10/05/2018,26.8154,28.6855,27.8881,31.3591,31.4769
09/05/2018,27.0974,30.0185,30.6543,31.3469,31.5540
08/05/2018,26.9681,29.0432,30.5204,31.9460,31.5792
07/05/2018,28.2153,30.4548,30.7278,31.9848,31.5904
04/05/2018,29.6470,31.8052,30.9831,32.1189,31.6048
03/05/2018,29.1199,29.0007,30.4401,32.3808,31.4175
02/05/2018,29.7091,27.5619,30.3356,32.3055,31.3228
30/04/2018,29.8729,25.5148,29.3621,31.9423,31.2233
27/04/2018,29.7148,20.7716,27.8286,31.1585,31.8196
26/04/2018,29.5269,18.0294,27.1518,30.7561,31.6403
25/04/2018,28.8912,17.6496,28.2266,30.8762,32.0269
24/04/2018,29.3572,17.0481,28.2308,30.8537,32.0019
23/04/2018,28.9878,29.1063,32.6331,31.0050,32.1524
20/04/2018,27.7562,27.4329,32.5532,32.0711,32.1903
19/04/2018,27.3304,26.8881,33.0902,31.9376,32.1371
18/04/2018,28.1455,28.7899,34.0302,31.9237,32.1404
17/04/2018,29.4060,28.6613,34.1889,32.0296,32.2252
16/04/2018,31.2779,29.9096,34.2508,32.3345,32.2274
13/04/2018,30.2208,35.5042,34.1668,34.0962,32.2120
12/04/2018,30.8616,35.4538,34.0135,34.0358,32.1853
11/04/2018,32.1587,35.4146,34.5139,34.0381,32.1881
10/04/2018,35.8046,42.0893,34.4913,34.0888,32.2175
09/04/2018,29.0581,33.6439,32.7930,34.2184,31.3589
06/04/2018,29.2918,32.8311,32.5917,34.2272,31.3067
04/04/2018,29.8187,32.8961,32.7193,34.1985,31.2331
03/04/2018,30.4192,34.0356,32.9118,34.0516,31.4544
29/03/2018,29.8491,33.4456,33.5139,34.0460,31.4503
28/03/2018,30.6068,28.9334,34.0054,34.0102,31.2740
27/03/2018,28.9690,25.3228,32.3976,33.2090,30.8655
26/03/2018,29.3361,23.2513,34.2262,33.2851,30.8159
23/03/2018,29.7558,28.3536,34.7075,33.2721,30.8260
22/03/2018,26.7982,22.1463,32.5341,32.2482,30.0004
21/03/2018,27.3551,36.6894,33.7562,32.3429,30.0363
20/03/2018,27.9519,36.1061,33.7059,32.2571,29.8699
19/03/2018,27.4058,36.5829,33.7449,32.1323,29.8191
16/03/2018,27.7044,40.0612,34.5803,32.1479,29.8283
15/03/2018,29.0440,40.0964,34.5781,32.0561,29.7845
14/03/2018,28.1942,41.2056,34.7824,32.3408,29.8056
13/03/2018,29.5525,40.8420,34.6518,33.6989,30.4420
12/03/2018,30.2421,40.0887,34.4034,33.5619,30.3016
09/03/2018,29.8135,39.2759,33.8028,33.7454,30.0619
08/03/2018,31.9410,39.1807,33.7154,33.7674,30.1678
