Underlying Name ,Zijin Mining Group Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
11/06/2018,38.0338,28.8166,26.4579,30.3427,50.8390
08/06/2018,37.1138,30.8096,25.6045,30.4782,52.4883
07/06/2018,39.7070,34.8020,25.5709,30.9985,52.4876
06/06/2018,38.7988,34.5979,25.3295,35.5469,52.5096
05/06/2018,34.5495,23.0486,20.7685,34.5709,52.0236
04/06/2018,36.2472,24.2381,23.7714,35.3052,52.0436
01/06/2018,35.2896,23.0632,26.7867,35.3374,52.3264
31/05/2018,36.8539,23.1119,27.0457,35.5803,53.3280
30/05/2018,36.8909,21.6770,27.7360,36.0606,53.3195
29/05/2018,38.6346,21.7262,27.9031,36.8552,53.4398
28/05/2018,38.1572,26.8946,28.0412,39.0405,53.5475
25/05/2018,37.8096,25.6282,27.5784,39.4646,53.5422
24/05/2018,38.9178,22.6383,26.5700,39.1410,53.3360
23/05/2018,38.7356,22.3151,29.6446,39.0925,53.3188
21/05/2018,34.2865,23.9689,30.1657,39.4921,54.1439
18/05/2018,35.6090,20.4135,29.6650,40.5131,53.9975
17/05/2018,31.3551,21.2448,29.8568,43.1165,54.4398
16/05/2018,34.7977,20.7457,29.5590,45.0980,54.4083
15/05/2018,34.8999,23.7406,29.5357,45.3936,55.3567
14/05/2018,33.3689,23.7769,31.4961,45.3865,55.4434
11/05/2018,32.0455,20.4855,30.8016,45.7877,55.7960
10/05/2018,33.8497,20.2728,31.2699,46.8379,56.0442
09/05/2018,33.5453,18.9089,34.2911,50.6664,56.1584
08/05/2018,32.3868,18.8494,34.2352,52.8465,56.1866
07/05/2018,35.8766,15.5278,33.8109,53.1491,56.2192
04/05/2018,33.1716,23.4171,33.7234,57.0911,56.4001
03/05/2018,33.4223,35.1018,34.0985,57.7093,56.3212
02/05/2018,33.3797,35.5062,34.2020,58.3640,56.2824
30/04/2018,32.0913,35.6646,33.9389,58.7978,56.1719
27/04/2018,33.4708,36.8845,34.2045,59.6299,56.1756
26/04/2018,34.6139,37.0029,34.1373,59.6168,56.1790
25/04/2018,35.8327,37.0006,35.1290,61.8997,56.1719
24/04/2018,36.7979,37.3075,36.0351,61.9045,56.1643
23/04/2018,37.8031,44.2912,43.8839,61.9691,56.1680
20/04/2018,40.5556,45.0975,44.6231,62.0874,56.6073
19/04/2018,41.1080,36.8676,43.7216,61.3954,56.0785
18/04/2018,39.8589,33.5143,42.4866,61.2293,55.6826
17/04/2018,43.9010,31.6995,42.7032,62.4875,55.7533
16/04/2018,43.6180,30.7067,43.0974,62.3774,55.6889
13/04/2018,43.9460,35.3076,44.4008,62.4953,55.5615
12/04/2018,44.4145,34.2471,48.0688,62.5459,55.5440
11/04/2018,44.1947,34.6774,48.9937,62.6952,55.5820
10/04/2018,46.0612,44.8272,49.0735,62.7082,55.5850
09/04/2018,44.5926,37.8334,47.2090,62.0790,55.8361
06/04/2018,45.6928,35.5036,47.5246,63.0330,55.8067
04/04/2018,46.0353,33.5585,49.2275,62.9742,55.8721
03/04/2018,45.5395,34.1548,53.7477,63.4728,55.7764
29/03/2018,47.0699,33.5233,57.1309,63.5182,55.8086
28/03/2018,47.1353,34.2455,57.6138,64.7359,55.8382
27/03/2018,47.4183,32.7993,56.4556,64.3418,55.4569
26/03/2018,48.3244,32.1781,57.5357,64.9004,55.4591
23/03/2018,48.7909,33.8633,59.0256,65.1502,55.5621
22/03/2018,46.3580,27.2450,63.6120,64.3049,54.8604
21/03/2018,47.4477,52.2253,67.0487,64.3540,54.8610
20/03/2018,47.9741,54.4286,67.8392,64.4337,54.8287
19/03/2018,47.2732,56.0115,74.0331,64.5420,54.7779
16/03/2018,50.9133,55.8336,74.8520,64.2424,54.5946
15/03/2018,53.6125,56.6514,75.6977,64.0828,54.5295
14/03/2018,52.9039,57.6702,76.6589,64.1324,54.5226
13/03/2018,55.4886,62.5060,77.8076,64.1382,54.5363
