Underlying Name ,China COSCO Holdings Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
12/06/2018,26.7782,35.4628,38.0451,32.3220,37.5079
11/06/2018,25.3829,33.7690,37.9667,32.2471,38.0751
08/06/2018,28.6486,38.3802,37.6574,32.4220,38.0243
07/06/2018,30.6001,36.8355,36.9010,32.3373,38.4359
06/06/2018,31.3928,38.2070,36.7864,34.1479,38.4259
05/06/2018,31.6819,39.0060,36.7506,34.3779,38.3950
04/06/2018,30.9993,48.1640,36.8141,34.6215,38.8997
01/06/2018,31.5037,52.5306,37.3825,34.9867,38.9666
31/05/2018,32.2910,51.9704,37.0191,35.4341,38.9786
30/05/2018,32.5854,54.0890,37.2005,35.3371,38.9661
29/05/2018,36.4884,42.9694,32.8540,32.9740,38.3935
28/05/2018,35.0864,42.9957,32.8151,33.0882,38.4164
25/05/2018,32.1846,45.0544,33.2169,32.7281,38.1878
24/05/2018,32.9695,45.3473,33.6032,32.7439,38.1854
23/05/2018,32.9426,41.5289,32.4510,32.3204,39.3261
21/05/2018,33.3147,36.3346,31.4124,32.4396,39.3643
18/05/2018,34.7487,33.1237,28.6122,30.9044,38.6631
17/05/2018,35.4138,31.1388,27.4006,30.0051,38.1373
16/05/2018,35.3497,30.8907,27.3466,30.0509,38.2667
15/05/2018,35.2073,34.3527,25.9893,29.5864,38.1371
14/05/2018,31.0175,29.0079,25.2584,28.5117,37.6298
11/05/2018,27.7155,23.6762,23.2777,29.6882,37.2588
10/05/2018,30.9244,22.7062,23.2081,29.7061,37.2845
09/05/2018,30.9658,23.1970,27.6055,29.7244,37.4235
08/05/2018,32.4680,23.2790,27.7640,33.6406,37.5385
07/05/2018,33.3253,20.6493,26.5141,33.1638,37.4468
04/05/2018,32.4132,20.7929,26.5141,33.5604,37.5101
03/05/2018,34.8265,24.6956,26.5144,35.8135,37.5101
02/05/2018,32.7972,25.0165,26.8505,35.9597,37.5992
30/04/2018,34.0793,18.7033,25.6049,36.5695,37.2477
27/04/2018,34.4023,22.9561,25.4717,37.3224,37.3908
26/04/2018,36.1581,22.7058,25.3089,38.2820,37.3949
25/04/2018,36.8542,25.6520,26.2651,38.3227,37.7044
24/04/2018,36.4817,27.8182,27.2472,39.3223,37.7851
23/04/2018,33.3258,27.8213,31.7434,39.3092,38.1168
20/04/2018,33.8968,27.2474,31.9611,39.1584,38.2880
19/04/2018,33.6328,27.0101,32.6617,40.0022,38.4307
18/04/2018,34.2995,24.6546,32.3626,39.7481,39.8526
17/04/2018,30.4197,23.8122,33.1526,39.7763,39.8239
16/04/2018,30.2429,23.4726,33.1045,39.8264,39.7819
13/04/2018,28.6597,25.4179,32.5399,40.6453,39.7499
12/04/2018,31.8264,25.5328,32.6666,40.7060,39.8694
11/04/2018,32.4376,23.5423,32.1173,40.4605,39.8892
10/04/2018,34.1126,31.9941,31.3793,40.1624,39.7088
09/04/2018,35.5934,31.3226,31.2988,41.9357,39.7878
06/04/2018,37.0709,29.9503,32.4308,42.2346,40.0614
04/04/2018,36.8367,29.6754,32.4121,42.5474,40.1221
03/04/2018,37.7611,29.7159,32.4200,42.4849,40.2600
29/03/2018,37.9969,31.0462,32.5675,42.6881,40.2716
28/03/2018,38.7874,31.0230,33.1181,43.0667,40.2866
27/03/2018,37.5065,28.7366,31.8636,42.6896,40.0445
26/03/2018,39.9020,28.2920,35.3737,42.7362,40.2496
23/03/2018,34.9859,30.6682,35.4376,42.8045,40.4497
22/03/2018,37.2037,21.4555,32.0797,41.6417,39.5745
21/03/2018,38.4594,33.1264,39.1332,41.7035,39.6928
20/03/2018,38.0120,35.9449,39.1473,41.8913,39.7566
19/03/2018,37.8177,36.7311,39.7876,41.9580,39.9308
16/03/2018,31.6020,39.7128,43.6627,41.9589,40.2189
15/03/2018,36.5797,43.3569,43.7000,42.0426,40.3175
14/03/2018,37.3095,42.8821,45.3721,41.9856,40.4942
