Underlying Name ,The Bank of East Asia, Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
14/06/2018,19.7564,18.8175,19.3625,20.2453,21.2146
13/06/2018,19.8370,20.9313,19.3542,20.2435,21.2131
12/06/2018,19.7953,19.7609,20.1439,20.1888,21.0936
11/06/2018,20.4963,20.7748,20.3337,20.3007,21.0829
08/06/2018,21.0983,21.0967,20.3859,20.4501,21.0823
07/06/2018,20.4718,18.2251,19.6126,20.1617,20.8312
06/06/2018,20.7884,18.1456,19.6100,20.3173,20.8296
05/06/2018,22.0978,18.9336,19.2432,20.1136,20.7117
04/06/2018,22.8197,17.6699,18.9325,20.0038,20.6508
01/06/2018,23.2944,17.1996,19.1495,20.1706,20.6017
31/05/2018,23.6640,17.1090,18.6778,20.2306,20.4756
30/05/2018,24.7098,15.5486,18.9306,20.1348,20.2599
29/05/2018,21.8561,15.7303,18.9288,20.6060,20.2380
28/05/2018,20.4417,18.0569,18.7132,20.4887,20.1411
25/05/2018,20.1837,19.8109,18.6630,21.4490,20.1083
24/05/2018,20.0536,19.3846,18.7482,21.8722,20.0931
23/05/2018,20.5743,19.3652,18.7100,21.8585,20.1579
21/05/2018,19.1886,20.9763,20.5145,21.6489,20.0169
18/05/2018,19.5604,21.0930,20.6024,21.8306,20.0383
17/05/2018,20.6755,22.6253,20.8184,22.0377,20.1834
16/05/2018,21.0140,23.6232,20.4073,22.2388,20.0998
15/05/2018,18.0950,21.0561,19.3832,21.7036,19.7526
14/05/2018,17.9203,22.6529,20.9866,21.5937,19.6508
11/05/2018,18.3438,22.3709,20.8133,21.4955,19.6317
10/05/2018,18.6162,22.0743,20.5942,21.4811,19.5348
09/05/2018,19.1988,22.0688,22.7418,21.4753,19.8071
08/05/2018,19.8534,22.1617,22.9066,22.5818,19.8030
07/05/2018,20.9941,19.7978,22.3422,22.4624,19.5579
04/05/2018,20.5689,19.7332,22.4651,22.4974,19.5478
03/05/2018,20.3078,18.0770,21.8309,22.4478,19.3209
02/05/2018,18.4498,12.8283,21.0450,22.0896,19.0856
30/04/2018,18.5549,14.4175,21.0933,22.1075,19.0858
27/04/2018,18.0937,13.4712,20.5418,21.6937,19.0669
26/04/2018,18.1557,13.3639,20.6013,21.6113,19.0216
25/04/2018,17.7833,13.0757,20.7762,21.5700,19.0077
24/04/2018,17.5684,13.1053,20.9834,21.5745,19.0153
23/04/2018,18.0993,13.1748,21.3259,21.5735,18.9910
20/04/2018,19.1602,20.3425,21.2686,21.5638,19.2556
19/04/2018,19.5120,19.5434,21.3200,21.5958,19.2750
18/04/2018,20.4661,21.0730,21.4708,21.4414,19.3195
17/04/2018,21.1565,22.2815,21.9318,21.4699,19.3614
16/04/2018,20.9227,21.7645,21.5047,21.0446,19.7115
13/04/2018,19.6449,26.5104,22.3288,21.0149,19.6895
12/04/2018,20.4633,26.1713,22.1109,20.9459,19.6426
11/04/2018,18.7783,25.9947,24.1092,20.9206,19.6191
10/04/2018,21.6347,29.9618,24.8418,20.8505,19.5706
09/04/2018,21.5360,30.7695,24.8603,20.9737,19.6135
06/04/2018,23.4919,23.6809,22.5287,19.6682,18.7725
04/04/2018,23.9856,22.0400,22.7402,19.5485,18.7886
03/04/2018,23.7705,22.1614,23.2246,19.7930,18.7460
29/03/2018,23.7080,22.1570,24.0943,19.8334,18.8669
28/03/2018,24.4193,22.1465,23.9392,19.7774,18.8064
27/03/2018,22.3620,18.9502,22.4853,18.9513,18.2249
26/03/2018,22.7925,20.4448,22.4856,19.0875,18.2711
23/03/2018,22.6799,21.9042,22.6849,19.0917,18.4408
22/03/2018,20.8034,15.3558,20.4091,18.3734,17.7099
21/03/2018,20.0128,16.2107,22.6427,18.2638,17.6192
20/03/2018,20.6527,15.2541,22.9621,18.2114,17.6403
19/03/2018,20.5628,14.9177,22.9137,18.1178,17.5834
16/03/2018,20.8326,16.6406,23.3942,18.1335,17.7187
