Underlying Name ,Bank of China Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
14/06/2018,11.4969,16.9495,16.4683,17.9023,23.3978
13/06/2018,12.4455,17.3142,16.8707,17.9239,24.1142
12/06/2018,15.0893,18.0589,17.8859,17.7087,24.0173
11/06/2018,14.9246,18.8517,17.9946,18.1415,25.2511
08/06/2018,15.6616,19.0412,17.9424,19.0469,25.5190
07/06/2018,15.4468,16.7427,17.3701,18.7401,25.9306
06/06/2018,15.6118,15.4387,17.5674,18.5642,26.5349
05/06/2018,16.4454,19.2602,17.7981,18.7180,26.5541
04/06/2018,17.5609,19.4042,18.1332,19.4923,26.5635
01/06/2018,17.4607,17.6513,18.3092,19.4886,26.7399
31/05/2018,19.2166,17.5385,18.3080,19.5138,26.8594
30/05/2018,19.7274,16.0463,18.1659,19.4358,27.4120
29/05/2018,18.0648,14.7557,17.9645,19.6940,27.2618
28/05/2018,17.5472,16.8232,17.7675,20.2294,27.2878
25/05/2018,17.5214,18.1815,17.6578,20.3184,27.3111
24/05/2018,17.5176,18.0854,17.6229,20.7876,27.3233
23/05/2018,18.0545,17.9432,18.0910,21.0664,27.3133
21/05/2018,16.8605,13.3815,17.1444,21.3102,27.0912
18/05/2018,16.2480,13.3051,17.1087,21.6917,27.1073
17/05/2018,15.8326,14.5207,19.0922,21.8282,27.1311
16/05/2018,16.9555,15.8475,18.9856,22.3549,27.0934
15/05/2018,16.9781,17.4234,18.9856,22.6166,27.2962
14/05/2018,17.4290,20.6691,19.5952,22.5251,27.2601
11/05/2018,16.8377,19.8086,19.7549,22.9929,27.1738
10/05/2018,17.8878,18.4427,19.2955,22.8074,27.0828
09/05/2018,18.4229,18.7218,19.8325,23.0254,27.0832
08/05/2018,19.3599,20.7641,19.8319,26.2615,27.0835
07/05/2018,19.8546,21.3331,19.8049,26.2459,27.1033
04/05/2018,19.7065,21.9570,20.0990,26.2338,27.1037
03/05/2018,20.0353,23.4058,20.0201,26.2017,27.0528
02/05/2018,19.3508,21.4752,19.5123,26.3128,26.9935
30/04/2018,19.4265,20.1886,19.2064,27.1489,26.8695
27/04/2018,19.0009,18.5579,17.7184,26.6251,26.9454
26/04/2018,20.0892,18.0969,18.4888,28.2796,27.0027
25/04/2018,20.4690,18.1663,20.3867,28.6423,27.0027
24/04/2018,20.4055,17.9130,20.3037,29.3818,26.9665
23/04/2018,19.4394,17.2074,19.7761,30.1393,26.8364
20/04/2018,20.5249,17.3523,19.8753,30.1099,26.9793
19/04/2018,19.9735,15.8930,21.0517,30.0428,26.8902
18/04/2018,21.3212,19.9045,20.9143,30.2263,26.7594
17/04/2018,24.2966,20.2395,20.9449,30.3878,26.7480
16/04/2018,25.7894,20.0765,20.9395,31.1535,26.7187
13/04/2018,23.0567,20.9764,21.5842,31.0088,26.5981
12/04/2018,25.0652,22.9696,22.6608,31.0988,26.6346
11/04/2018,26.3628,22.8552,22.9679,31.1360,26.6377
10/04/2018,26.5302,24.4112,23.8450,31.1579,26.6779
09/04/2018,26.8696,22.8992,23.9391,31.0354,26.6904
06/04/2018,28.8647,21.9129,25.0043,31.0263,26.7286
04/04/2018,29.3343,22.1459,25.6066,31.0574,26.8915
03/04/2018,29.5475,18.0259,24.5925,30.4752,26.4586
29/03/2018,30.3972,16.6029,25.6137,30.4840,26.4235
28/03/2018,31.4374,16.4450,26.0801,30.7443,26.4309
27/03/2018,29.9000,14.6418,25.4300,30.4702,26.2573
26/03/2018,31.2734,15.3274,26.1747,30.3220,26.1535
23/03/2018,31.4061,21.9161,26.1898,30.3223,26.1533
22/03/2018,27.9148,19.9977,26.1738,30.0805,26.0269
21/03/2018,27.3945,19.8694,31.7439,30.0476,26.0315
20/03/2018,26.3290,21.1673,31.7349,30.0840,26.0315
19/03/2018,26.4009,22.6214,31.5590,29.8975,25.9039
16/03/2018,26.9695,24.0603,31.5535,29.8402,25.8903
