Underlying Name ,China Shenhua Energy Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
15/06/2018,27.7380,31.2628,43.4116,40.1173,40.3248
14/06/2018,28.7715,33.4035,43.5531,40.1220,40.3693
13/06/2018,29.1282,37.9997,43.8951,40.3631,40.5768
12/06/2018,30.2956,39.6261,44.5768,40.3294,41.1215
11/06/2018,30.3940,39.5299,44.6871,40.2091,41.1061
08/06/2018,30.2798,39.5497,45.3891,40.6718,41.0812
07/06/2018,29.7557,33.3668,44.2466,40.0571,40.6642
06/06/2018,28.6043,33.7429,46.7714,39.9820,40.7120
05/06/2018,29.9722,49.4350,46.6030,40.6861,40.6254
04/06/2018,29.0935,52.8329,46.5673,40.5971,40.6265
01/06/2018,29.2080,61.3283,48.0175,40.5386,40.4971
31/05/2018,28.4431,59.9946,47.6197,40.4092,40.3030
30/05/2018,28.6940,55.6442,46.6515,39.5258,39.8369
29/05/2018,28.5319,54.9753,47.8993,39.4168,40.1785
28/05/2018,30.2204,56.6190,47.7747,39.8744,40.3917
25/05/2018,29.6864,56.5803,47.8046,39.8750,40.4096
24/05/2018,32.2032,58.8646,47.5968,40.1313,40.3738
23/05/2018,34.4583,57.8815,47.9370,40.0793,40.1812
21/05/2018,32.1384,49.8525,43.6182,37.9482,39.7691
18/05/2018,34.0569,40.1152,41.6342,37.0281,39.2907
17/05/2018,29.1548,35.0780,38.5985,35.0196,38.0455
16/05/2018,30.9090,35.7340,38.6193,35.1942,38.1496
15/05/2018,30.3595,37.3975,38.6050,35.2265,38.7778
14/05/2018,31.3127,40.5469,39.0794,35.2240,38.7635
11/05/2018,28.9455,39.4817,38.3929,36.0875,38.5069
10/05/2018,30.7814,42.2609,39.3036,36.1974,38.6903
09/05/2018,29.1176,39.3263,39.1529,35.4859,38.2541
08/05/2018,30.6119,49.6246,39.1368,38.0012,38.2955
07/05/2018,30.6214,42.1114,35.9449,36.5788,37.3793
04/05/2018,29.9078,41.8006,35.5131,38.5087,37.2885
03/05/2018,30.0441,48.2623,36.0776,38.3925,37.3754
02/05/2018,30.1372,48.0312,36.0586,38.4969,37.4079
30/04/2018,32.2116,48.0638,36.3108,38.7106,37.3560
27/04/2018,33.9092,51.0982,35.7870,39.4006,37.0979
26/04/2018,33.8849,50.2010,35.1891,39.2896,37.0413
25/04/2018,32.7330,48.4026,35.9090,39.0007,36.8077
24/04/2018,32.8937,46.9912,36.0234,38.9917,36.6194
23/04/2018,31.8120,39.7513,32.0668,37.4012,35.5048
20/04/2018,32.2704,39.8584,33.7807,37.4060,35.7361
19/04/2018,32.9247,38.8530,33.8858,37.5022,35.6499
18/04/2018,32.5420,32.3554,30.8055,36.1714,34.8024
17/04/2018,34.3631,32.0315,30.9927,36.1576,34.8362
16/04/2018,35.3834,31.5354,30.8351,36.2544,34.8449
13/04/2018,30.8954,25.0745,28.9463,36.0764,34.1074
12/04/2018,32.9257,25.1797,30.1626,36.5499,34.1055
11/04/2018,34.0654,28.8723,30.2450,36.5700,34.1315
10/04/2018,35.1831,33.1952,31.3985,36.6258,34.1408
09/04/2018,35.5925,27.6528,30.6280,36.0356,33.7809
06/04/2018,36.4643,26.3591,30.9829,37.8436,33.9328
04/04/2018,35.4335,22.7250,30.3866,37.9495,33.8825
03/04/2018,36.7406,24.5394,30.9487,37.9306,33.7381
29/03/2018,36.3915,24.5007,31.4969,38.1103,33.8358
28/03/2018,40.5747,23.1669,31.5454,39.0867,33.9671
27/03/2018,39.6245,24.9655,31.1213,38.8710,33.8014
26/03/2018,41.0383,23.6340,33.6413,38.8518,33.7964
23/03/2018,39.6626,29.9316,33.0902,38.7143,33.5790
22/03/2018,35.1794,28.4497,32.0296,38.0436,33.2724
21/03/2018,33.8637,29.4848,37.2156,38.1144,34.5034
20/03/2018,34.0349,35.9362,37.6692,38.1152,34.5459
19/03/2018,33.7624,37.2475,41.9001,38.1107,34.5428
