Underlying Name ,Country Garden Holdings Co Ltd

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
21/06/2018,38.7253,26.0640,31.3213,37.1624,45.5729
20/06/2018,40.6268,28.4365,31.4689,37.1574,45.7285
19/06/2018,43.8690,34.4656,31.4084,37.1399,45.7964
15/06/2018,35.2945,39.3731,29.6379,36.7039,45.5279
14/06/2018,34.5487,40.2067,31.2525,37.9120,45.5617
13/06/2018,41.6861,38.3661,31.0107,38.5418,45.6580
12/06/2018,41.4831,37.9174,30.4655,38.3416,45.9921
11/06/2018,38.7778,42.0941,30.4216,38.3314,46.1927
08/06/2018,38.9694,36.5499,29.8835,37.6324,45.9661
07/06/2018,38.1414,36.6744,29.9021,37.8276,46.0293
06/06/2018,40.8851,36.5976,34.4928,38.4032,46.0416
05/06/2018,42.9325,42.4994,35.0404,38.5453,46.0007
04/06/2018,45.2732,40.9813,34.3763,38.7150,45.9752
01/06/2018,42.0807,29.9793,31.8414,37.6192,45.3049
31/05/2018,41.7713,26.7857,31.3281,37.9040,46.1417
30/05/2018,41.4315,25.1898,31.8104,37.9641,46.3780
29/05/2018,39.4368,27.6252,33.2395,37.7733,47.2581
28/05/2018,37.1680,24.4877,32.4022,38.2537,47.0548
25/05/2018,37.3394,24.9068,32.3796,38.3939,47.0503
24/05/2018,38.8674,25.3641,32.3772,40.2876,48.3663
23/05/2018,36.5907,25.0642,36.6176,40.3629,48.3365
21/05/2018,33.6795,18.1253,35.0806,41.0720,49.5084
18/05/2018,30.3399,11.6444,34.5599,41.0372,49.9168
17/05/2018,31.2734,12.6010,35.4248,41.6662,50.1731
16/05/2018,33.4285,23.3924,35.8089,41.7280,50.2040
15/05/2018,33.6828,23.8276,35.7941,41.7308,51.9629
14/05/2018,35.2760,23.2564,36.8269,41.6299,52.0699
11/05/2018,34.2461,22.9223,38.2763,44.2388,53.5888
10/05/2018,35.1314,27.2570,39.5675,44.2547,54.3371
09/05/2018,36.1859,27.2532,42.8277,45.1404,54.4754
08/05/2018,38.0345,41.4483,42.7623,51.4798,54.5827
07/05/2018,39.5060,42.5319,42.6328,51.6419,54.7694
04/05/2018,38.7870,43.6072,42.6541,51.7559,54.7751
03/05/2018,39.4011,44.7543,43.0848,51.8895,54.7748
02/05/2018,38.3197,40.1227,44.0852,51.4903,54.5842
30/04/2018,39.2943,42.6245,45.3500,51.6895,54.9624
27/04/2018,39.5629,46.6278,45.4128,52.2375,54.9351
26/04/2018,40.3059,46.5915,45.4244,52.5376,55.0073
25/04/2018,39.0096,44.8303,44.5581,52.3874,54.8225
24/04/2018,38.1185,44.5393,44.8737,52.4381,55.5379
23/04/2018,39.0139,43.3013,42.5312,50.8270,54.7819
20/04/2018,38.4831,42.4147,42.3660,50.7169,55.0427
19/04/2018,39.0874,41.8648,43.0248,51.0358,55.1018
18/04/2018,42.1653,42.4605,43.0111,50.9491,55.2267
17/04/2018,43.6569,42.9265,43.9287,52.2099,55.7225
16/04/2018,41.5972,41.4616,43.3459,52.4138,56.0709
13/04/2018,38.4787,40.1394,41.5955,53.1569,55.6180
12/04/2018,41.0282,43.6466,43.4361,53.1407,55.5831
11/04/2018,41.7574,46.2665,43.7445,53.1415,55.9302
10/04/2018,44.3474,56.1285,46.7524,54.8872,56.0043
09/04/2018,45.0060,46.5302,44.2699,53.5077,55.4487
06/04/2018,45.6453,47.1280,46.7318,55.5853,55.4496
04/04/2018,48.0298,46.3284,47.2186,56.2692,55.4160
03/04/2018,48.2340,46.0711,47.4763,56.3723,55.2408
29/03/2018,47.9445,51.7335,47.0709,56.3093,55.1521
28/03/2018,46.4368,54.9438,47.0796,58.6794,55.2835
27/03/2018,44.5522,50.2845,45.4833,58.4732,55.0877
26/03/2018,45.4528,48.5981,49.9641,60.0819,54.8350
23/03/2018,48.7179,45.9457,49.1219,60.6923,55.2842
22/03/2018,44.3320,32.1026,47.7744,59.6534,54.4187
