Underlying Name ,Haitong Securities Co., Ltd.

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
21/06/2018,32.2299,32.8130,29.9285,28.5953,27.7630
20/06/2018,30.7102,32.7313,29.2451,28.0477,27.4431
19/06/2018,30.4380,33.0937,29.6873,27.9897,27.4083
15/06/2018,26.6423,23.7324,24.3509,24.9663,25.5048
14/06/2018,24.6747,19.3566,23.3193,24.3167,25.0768
13/06/2018,24.7626,25.9333,23.2872,24.2879,25.0667
12/06/2018,26.0521,28.2317,25.0181,24.1099,25.4364
11/06/2018,26.3947,29.5555,25.2723,24.1466,25.7370
08/06/2018,25.4528,29.5602,25.3775,24.2791,26.3226
07/06/2018,24.8816,28.3181,25.0580,24.0177,27.2446
06/06/2018,25.7352,27.6400,25.5687,23.9022,27.1996
05/06/2018,26.6735,32.8212,25.5672,24.0377,27.2094
04/06/2018,26.9828,32.8873,26.2483,24.7622,27.2818
01/06/2018,26.5932,29.6676,26.0095,24.4796,27.0114
31/05/2018,26.8222,29.8403,26.2469,24.6100,28.1193
30/05/2018,27.9343,20.9436,24.3688,23.6332,27.8844
29/05/2018,25.7676,19.5581,24.2962,23.4692,27.6168
28/05/2018,24.1391,24.1788,23.9683,23.2406,27.4827
25/05/2018,24.7781,24.4989,23.9040,23.2674,27.4728
24/05/2018,24.9517,24.0643,23.6317,23.6133,27.3882
23/05/2018,26.3732,24.1388,25.0708,23.6393,27.3903
21/05/2018,26.0152,15.5828,24.2444,22.5956,26.8810
18/05/2018,26.0822,15.6363,24.1022,22.5266,26.8674
17/05/2018,26.1686,18.9034,24.8078,22.6180,26.9013
16/05/2018,28.9917,18.9115,24.3862,22.4204,26.7881
15/05/2018,28.4356,18.9812,24.4712,22.4158,27.3880
14/05/2018,30.1652,24.2560,25.5631,22.4599,27.3945
11/05/2018,25.9268,22.5697,25.3308,24.2870,27.1556
10/05/2018,27.5659,23.4100,25.3005,24.3759,27.1528
09/05/2018,28.1142,24.9767,26.4192,24.4649,27.1625
08/05/2018,28.8745,27.0472,26.4192,26.3762,27.1625
07/05/2018,30.1954,27.1102,26.4362,26.4679,27.1621
04/05/2018,29.0898,28.3804,26.1779,26.2947,27.0847
03/05/2018,29.5123,28.6281,25.6621,26.2167,26.9081
02/05/2018,29.8559,27.2854,25.3985,26.0648,26.7675
30/04/2018,29.7991,28.0586,25.3974,26.0736,26.7629
27/04/2018,26.8552,26.3315,23.5897,25.8241,26.3443
26/04/2018,27.7797,25.6415,23.3902,26.1395,26.3066
25/04/2018,25.9538,25.3238,23.5613,26.9419,26.2483
24/04/2018,26.0270,24.1836,23.3317,28.4647,26.1346
23/04/2018,26.2172,26.1273,22.5510,28.1560,25.9783
20/04/2018,28.0519,30.1536,22.8430,28.1745,26.1596
19/04/2018,27.7238,26.8956,23.5223,28.0004,25.9110
18/04/2018,27.3698,28.3672,23.2641,27.7112,25.7443
17/04/2018,28.9030,28.3750,23.3078,29.2241,25.6821
16/04/2018,28.9210,27.8165,23.2042,29.6405,25.6271
13/04/2018,25.2978,27.4078,22.9325,29.2786,25.2794
12/04/2018,26.7846,28.4882,22.8787,29.2571,25.2782
11/04/2018,27.9762,28.4957,22.9678,29.2620,25.2774
10/04/2018,28.7330,32.0435,23.9069,29.2615,25.2929
09/04/2018,28.6839,28.7496,22.5454,28.6813,24.8964
06/04/2018,28.8171,23.0926,20.9544,28.1816,24.4537
04/04/2018,28.5802,22.2404,20.8036,28.1723,24.6654
03/04/2018,28.0990,21.0428,20.4633,28.0081,24.6261
29/03/2018,27.4217,19.5435,20.3589,27.9432,24.6037
28/03/2018,27.4935,19.6099,20.3328,28.8485,24.5925
27/03/2018,29.1642,16.8300,19.2749,28.4469,24.3863
26/03/2018,30.2687,11.7332,23.3597,28.1953,24.2299
23/03/2018,30.3268,14.7959,23.5766,28.2233,24.2420
22/03/2018,27.7558,11.2261,22.7061,27.7453,23.9138
