Underlying Name ,Hang Seng Bank Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
26/06/2018,16.9007,12.9406,15.9196,16.9089,22.4430
25/06/2018,17.3610,13.9088,15.7359,16.8841,22.8063
22/06/2018,16.5779,14.0072,16.8523,17.2418,22.9105
21/06/2018,16.3740,17.8835,16.8247,17.2187,23.4907
20/06/2018,15.8448,18.2039,16.9125,17.1999,23.5333
19/06/2018,16.4077,18.4293,16.8936,17.1835,23.5605
15/06/2018,13.6557,16.8719,17.3669,16.7873,23.3897
14/06/2018,13.0122,19.1740,17.4532,16.9560,23.4293
13/06/2018,13.1134,19.5511,17.8189,16.8994,23.4032
12/06/2018,13.6057,17.7143,18.2263,16.8901,23.2792
11/06/2018,13.9335,17.8644,18.2940,16.9283,23.2726
08/06/2018,13.9045,17.0586,18.0557,17.3826,23.1881
07/06/2018,13.6564,16.4628,17.8981,17.3005,23.1783
06/06/2018,13.7706,13.8297,17.0561,16.9292,22.9741
05/06/2018,13.7406,15.4560,17.3483,16.9160,22.9690
04/06/2018,14.4156,16.7780,17.2918,16.9393,22.9972
01/06/2018,14.2295,15.7231,16.9609,20.0121,22.9055
31/05/2018,14.5220,14.6646,16.3527,19.8278,22.7825
30/05/2018,15.9335,13.9797,16.6386,19.7766,22.7190
29/05/2018,15.4154,14.6071,16.5860,19.7523,22.7325
28/05/2018,15.2088,15.8040,16.5213,19.7420,22.7463
25/05/2018,15.3219,16.2691,16.5194,19.7474,22.7912
24/05/2018,15.2765,19.7616,16.7423,19.7988,22.7891
23/05/2018,15.5812,19.7935,16.6419,19.9351,22.7764
21/05/2018,15.0989,18.2607,16.0632,19.9835,22.7006
18/05/2018,15.0446,17.2230,17.4113,20.1387,22.6060
17/05/2018,15.9619,20.0119,17.8709,20.1124,22.5842
16/05/2018,16.4302,19.6646,17.5133,25.1833,22.5127
15/05/2018,17.8439,19.7423,17.0945,24.9861,22.3845
14/05/2018,18.4413,20.6365,17.3249,24.8402,22.2881
11/05/2018,18.6862,20.6871,17.5156,25.0696,22.2970
10/05/2018,18.4775,20.7336,17.7172,25.5675,22.2841
09/05/2018,18.1113,18.8544,17.7840,25.4673,22.0589
08/05/2018,18.9257,18.4358,17.6714,26.2661,22.0410
07/05/2018,20.2714,19.5184,17.6410,26.3275,22.1092
04/05/2018,19.9296,19.4849,17.6240,26.3775,22.1265
03/05/2018,19.6612,14.6447,16.1685,25.9725,21.8591
02/05/2018,19.2002,13.3267,16.3907,25.9802,21.9619
30/04/2018,19.0467,13.9758,16.0707,25.8648,21.9534
27/04/2018,15.9394,11.7168,15.7498,25.5762,22.0904
26/04/2018,16.1994,11.3311,15.7355,25.5321,22.1273
25/04/2018,16.7422,11.0401,16.9918,25.5004,22.1524
24/04/2018,16.6938,11.7930,16.9864,25.5325,22.2459
23/04/2018,17.1811,11.7879,17.0821,25.5505,22.2435
20/04/2018,16.5144,9.2090,16.6929,25.4540,22.1650
19/04/2018,16.4144,14.0790,16.8057,25.5112,22.2566
18/04/2018,17.5050,17.1094,22.9561,25.4952,22.3467
17/04/2018,18.8039,17.8169,23.0177,25.5218,22.3342
16/04/2018,19.0287,18.0067,22.6906,25.3329,22.3329
13/04/2018,17.8968,19.9996,22.6832,25.3715,22.6585
12/04/2018,18.9707,20.7294,22.6363,25.3914,22.6613
11/04/2018,19.0910,21.2743,22.6324,25.4466,22.6691
10/04/2018,19.7934,22.4456,22.4656,25.3355,22.5928
09/04/2018,20.9044,22.4006,22.7913,25.3246,22.5952
06/04/2018,21.7151,21.4595,23.1669,25.2823,22.5358
04/04/2018,22.8734,14.1126,21.9133,24.5770,22.0405
03/04/2018,22.5186,13.7693,21.8308,24.4923,21.9813
29/03/2018,22.4406,14.2670,31.2630,24.4889,21.9757
28/03/2018,22.4282,14.4097,31.2003,24.4550,21.9685
27/03/2018,19.8970,14.3145,30.8662,24.2858,21.8310
