Underlying Name ,Sunac China Holdings Ltd

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
04/07/2018,64.8897,83.2096,61.7495,62.3010,58.0970
03/07/2018,62.7204,84.0413,61.3414,61.2964,58.3012
29/06/2018,57.5597,84.0366,61.2382,62.2880,58.6463
28/06/2018,60.3866,56.9434,53.1741,59.0940,56.6497
27/06/2018,60.5652,60.5074,53.1892,59.2930,56.6194
26/06/2018,50.9062,52.7103,48.1398,56.5549,56.1803
25/06/2018,47.3133,52.6870,46.7589,55.6531,55.5702
22/06/2018,41.1801,46.2296,43.9523,55.3471,55.1306
21/06/2018,41.6779,45.5083,44.4164,55.4100,57.7814
20/06/2018,40.8854,45.3260,44.3151,55.7972,58.1155
19/06/2018,41.1334,44.7736,45.2738,55.7620,58.2721
15/06/2018,36.3587,44.4189,41.9138,55.1539,58.4623
14/06/2018,35.3693,44.2090,42.7822,55.0911,58.4941
13/06/2018,36.1671,37.2677,42.7804,55.5890,58.2221
12/06/2018,37.2821,55.0869,42.7661,55.5517,58.1692
11/06/2018,39.0383,55.8001,42.4382,55.4360,60.0709
08/06/2018,39.9494,54.4151,41.7869,55.2881,59.9899
07/06/2018,39.8564,52.4221,40.7891,54.8448,59.7339
06/06/2018,41.0215,52.5680,46.6203,55.4355,60.1830
05/06/2018,42.3821,56.8366,47.0044,55.6240,60.1999
04/06/2018,43.3512,56.5870,47.3270,56.6561,60.7565
01/06/2018,41.6598,49.0139,44.1548,55.6193,60.7719
31/05/2018,40.5582,44.8935,44.3308,55.3977,60.6070
30/05/2018,41.6919,40.1148,47.3836,55.2508,60.8112
29/05/2018,37.6383,29.6491,46.5596,53.4815,60.7005
28/05/2018,37.1211,33.3343,47.0840,54.7518,60.6713
25/05/2018,37.6583,34.9759,47.2219,55.2265,61.1588
24/05/2018,37.9039,35.2982,47.1809,55.2464,61.0895
23/05/2018,34.9748,38.2518,61.5272,56.0521,61.1175
21/05/2018,34.3472,31.0776,60.9234,55.6109,61.0937
18/05/2018,33.3775,33.4776,60.6288,55.5252,61.6962
17/05/2018,33.9489,31.0725,60.3685,56.4812,61.4878
16/05/2018,34.5028,35.1042,62.9788,56.9766,61.4682
15/05/2018,36.7563,37.2675,62.5951,56.9997,64.1896
14/05/2018,39.8466,37.1340,63.0645,56.8574,64.1353
11/05/2018,40.3263,36.4045,63.0894,59.4039,64.1952
10/05/2018,44.2070,36.7942,63.0720,59.3871,64.6351
09/05/2018,45.7843,34.5464,64.9586,59.9966,64.7016
08/05/2018,46.9532,50.1905,64.8408,63.6642,65.4454
07/05/2018,47.5497,52.2458,65.3981,64.1822,66.4321
04/05/2018,46.7783,51.7033,64.9046,64.0971,66.3798
03/05/2018,49.2124,51.2221,66.3964,65.5149,66.8683
02/05/2018,50.2538,47.9609,65.5769,65.2737,69.3082
30/04/2018,51.1902,59.0685,66.5832,64.8954,69.5428
27/04/2018,51.0095,65.9330,66.3576,64.8451,69.5131
26/04/2018,52.6765,67.1554,66.3930,67.5067,69.5824
25/04/2018,52.9443,67.2006,66.3947,67.5733,69.5620
24/04/2018,52.4357,67.5464,66.4244,67.5599,69.9979
23/04/2018,46.5500,89.1101,63.8236,66.2562,68.8961
20/04/2018,47.5263,89.7508,63.8316,66.1728,69.4905
19/04/2018,48.8945,87.9475,65.1149,66.8367,69.4326
18/04/2018,49.4262,88.7876,65.4438,67.9128,69.4364
17/04/2018,51.9624,95.1531,65.0658,67.6379,69.4866
16/04/2018,54.4799,86.5697,61.7730,66.7345,69.6415
13/04/2018,51.0521,80.5747,58.8027,66.8873,68.9873
12/04/2018,51.9351,80.4823,61.6381,66.7637,69.1620
11/04/2018,51.7042,80.8296,62.6947,67.4194,69.6718
10/04/2018,54.6246,88.0832,62.8618,67.3443,69.6627
09/04/2018,46.5251,53.1738,50.6158,61.0317,65.7985
06/04/2018,45.3407,50.3426,49.6818,60.9051,65.4310
