Underlying Name ,CNOOC Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
05/07/2018,34.9785,41.8909,38.8445,36.1233,34.0302
04/07/2018,34.4193,41.8439,38.4319,35.8941,33.7524
03/07/2018,33.3199,41.3150,38.8655,35.3531,33.6137
29/06/2018,30.5574,40.6618,38.9386,36.0922,33.4855
28/06/2018,31.2856,42.7370,39.1757,36.1260,33.4838
27/06/2018,31.5815,38.3341,37.4020,35.4447,33.1745
26/06/2018,28.7772,34.8651,36.1602,34.8949,33.2113
25/06/2018,28.9672,37.0461,36.1573,35.1024,33.3679
22/06/2018,28.0400,33.9895,36.4180,34.9921,33.1351
21/06/2018,29.0212,34.1228,37.1299,34.9518,34.3204
20/06/2018,27.6726,31.8777,36.2579,34.3887,34.0661
19/06/2018,28.6305,27.1536,36.6086,34.0596,34.7149
15/06/2018,29.1358,23.8072,35.4940,33.3885,34.3219
14/06/2018,27.6912,31.8952,35.9036,33.3146,34.3285
13/06/2018,28.3897,31.6774,35.3669,32.9201,34.4636
12/06/2018,29.2006,28.5282,34.8012,32.5775,34.2843
11/06/2018,29.9536,30.2713,35.3930,32.7773,34.2538
08/06/2018,30.1104,29.6391,35.0785,32.9900,34.1374
07/06/2018,28.2960,33.6974,34.5421,32.8426,34.3329
06/06/2018,30.3940,32.8492,34.2370,32.6237,34.2498
05/06/2018,30.5838,45.4266,34.3926,33.0330,34.3417
04/06/2018,30.8927,45.6441,35.2323,33.8834,34.3921
01/06/2018,30.6899,49.8757,37.2284,34.3492,34.3980
31/05/2018,31.3585,45.1557,35.9805,33.8013,33.9415
30/05/2018,31.9012,43.3209,35.5954,33.6232,33.8219
29/05/2018,30.5030,42.9775,35.5568,33.8817,33.8925
28/05/2018,29.9963,43.5629,35.3883,33.6858,34.0024
25/05/2018,27.5927,43.5652,36.6294,33.6714,33.9630
24/05/2018,27.6408,42.9313,36.2977,32.7893,33.4802
23/05/2018,28.6494,44.2384,36.5485,33.1918,33.4721
21/05/2018,27.2443,28.3133,30.0478,30.5887,31.7519
18/05/2018,25.4143,30.3996,30.2491,30.6502,31.7676
17/05/2018,24.2674,27.3992,30.3418,30.5816,31.8706
16/05/2018,25.4844,28.1954,32.1772,30.2349,31.6967
15/05/2018,26.8411,27.9446,32.2906,30.1695,31.8943
14/05/2018,27.0820,28.3501,32.6492,30.6411,31.9337
11/05/2018,26.9266,30.4568,32.6810,31.4045,31.9160
10/05/2018,28.3477,30.6446,32.8687,31.7114,32.0114
09/05/2018,26.8701,28.5731,32.9086,31.2896,31.7707
08/05/2018,27.7535,26.8971,32.4761,33.0263,31.5906
07/05/2018,25.6437,25.2609,32.0382,33.1481,31.4111
04/05/2018,25.4452,24.3281,31.1653,33.9565,31.0506
03/05/2018,25.0241,33.2376,31.2133,34.0060,31.0543
02/05/2018,25.1131,30.9084,30.3661,33.7841,30.9913
30/04/2018,23.9640,31.2999,30.4563,34.3054,30.9694
27/04/2018,25.4263,31.1805,30.4681,34.3150,30.9945
26/04/2018,28.2780,30.3055,30.4665,33.9410,31.2000
25/04/2018,28.5230,34.1110,31.0726,33.9517,31.2169
24/04/2018,29.2244,37.7480,31.3537,34.5120,31.2226
23/04/2018,31.1070,38.1299,31.3462,34.5146,31.2525
20/04/2018,26.7132,36.2087,32.0343,34.6010,31.7103
19/04/2018,27.0661,28.8830,32.3941,34.2634,31.3957
18/04/2018,25.7168,30.9051,31.7789,33.1604,30.6862
17/04/2018,27.8219,39.7859,32.0412,33.1387,30.6354
16/04/2018,28.9387,39.9535,32.1240,33.1730,30.7677
13/04/2018,27.1599,40.6276,32.7219,33.3059,30.9318
12/04/2018,29.3406,39.5485,32.4890,33.5784,30.9348
11/04/2018,27.1465,36.9178,31.0111,32.7363,30.3820
10/04/2018,25.1250,32.0207,28.9240,31.7870,29.6451
09/04/2018,26.3582,29.3675,28.8700,31.4076,29.4106
