Underlying Name ,Guangzhou R&F Properties Co., Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
20/07/2018,36.1558,30.7946,36.7331,35.1356,35.8643
19/07/2018,32.5629,30.3679,36.5500,35.1131,35.9307
18/07/2018,35.3880,30.4937,37.1061,34.7042,35.8658
17/07/2018,36.6322,32.0879,41.3717,34.8285,35.8677
16/07/2018,32.4491,38.7304,41.5774,34.6295,35.7144
13/07/2018,31.4043,52.4249,42.0458,35.0105,35.6913
12/07/2018,33.6160,52.7523,42.7473,35.3178,35.9479
11/07/2018,35.0580,57.2133,42.2647,35.0779,36.0538
10/07/2018,35.5724,56.4029,41.3379,34.3461,35.5822
09/07/2018,36.8314,56.9749,41.2031,34.3317,35.7113
06/07/2018,37.1969,54.7761,40.5847,35.5065,35.8135
05/07/2018,40.7411,54.7183,40.8383,35.5018,36.3810
04/07/2018,41.6076,51.0730,39.8497,35.2329,36.4835
03/07/2018,41.3072,51.8080,40.9401,35.1004,36.9814
29/06/2018,37.0525,48.5623,39.1236,33.9799,36.2476
28/06/2018,38.3933,21.9802,33.6112,31.2944,35.6134
27/06/2018,41.5566,22.0223,33.7684,31.4577,35.9502
26/06/2018,38.0912,19.9203,31.9305,30.5034,35.3622
25/06/2018,34.4742,20.1022,30.7254,29.8588,35.7033
22/06/2018,33.5821,18.1792,30.6319,31.7313,36.1104
21/06/2018,33.1791,18.6606,31.1321,31.7118,36.3775
20/06/2018,32.1692,18.6635,31.0417,31.7626,36.5513
19/06/2018,32.9641,24.6261,31.0593,32.6268,36.5305
15/06/2018,27.1883,35.0825,30.0295,32.0344,36.1471
14/06/2018,26.8434,37.4398,30.1574,32.5786,36.1778
13/06/2018,25.9455,37.0357,29.8735,33.1116,36.3043
12/06/2018,28.2589,40.9316,29.9518,33.0485,36.7239
11/06/2018,29.3482,41.7464,29.9459,33.5000,38.0169
08/06/2018,29.4001,41.6967,29.9623,33.9665,38.0134
07/06/2018,29.0384,41.0039,29.7236,33.8309,38.0871
06/06/2018,31.3330,40.9797,31.2428,34.2002,38.0868
05/06/2018,27.2496,42.3837,31.0982,34.3049,41.5658
04/06/2018,29.3949,40.4495,30.9159,34.3774,42.0816
01/06/2018,29.4361,30.5338,26.6046,32.5429,41.0574
31/05/2018,26.5419,29.2906,25.3139,32.0170,40.8063
30/05/2018,28.9411,28.9356,26.3248,31.8776,40.7228
29/05/2018,28.0252,24.6960,25.6674,31.6371,40.3928
28/05/2018,27.6252,24.8069,25.2709,31.9392,40.3671
25/05/2018,27.7583,24.9593,25.2885,32.1156,41.0857
24/05/2018,29.7837,26.5725,25.4319,32.2907,41.6623
23/05/2018,31.0739,27.7524,28.7085,32.8231,41.6660
21/05/2018,31.3929,23.2270,27.7858,33.2809,42.8105
18/05/2018,30.0871,22.6293,27.8979,33.9547,42.9618
17/05/2018,27.4988,24.4109,27.3248,34.4370,42.7440
16/05/2018,27.5845,23.4284,27.4745,34.3527,42.5885
15/05/2018,26.6757,22.8518,27.6120,35.6939,45.3465
14/05/2018,27.0957,23.6092,28.3006,36.3727,45.3923
11/05/2018,24.3125,22.7655,28.8763,36.8332,45.5629
10/05/2018,26.0531,22.7732,29.0774,38.0014,45.6848
09/05/2018,25.9782,20.9363,33.3190,38.7800,45.5861
08/05/2018,28.4782,25.7449,32.7702,38.9831,45.7343
07/05/2018,29.0587,25.9468,32.8927,39.2499,45.7635
04/05/2018,29.0711,26.3963,34.5692,39.1872,45.8876
03/05/2018,30.1063,24.8707,34.3985,39.0467,45.8091
02/05/2018,30.0180,22.7272,35.3519,39.0451,45.7278
30/04/2018,29.7534,27.7877,36.5740,39.2736,46.1713
27/04/2018,31.1712,29.0844,36.3844,39.6919,46.3041
26/04/2018,32.7406,29.0791,37.2016,41.5977,46.3181
25/04/2018,32.5140,29.5445,38.0718,41.6093,46.3788
24/04/2018,32.3137,29.6377,38.0136,41.7680,46.6003
