Underlying Name ,Industrial and Commerical Bank of China Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
23/07/2018,22.2127,23.0768,23.3539,22.1260,23.2774
20/07/2018,20.9905,23.3714,23.5384,22.5810,23.1520
19/07/2018,21.3249,17.9056,21.3635,21.6663,22.6145
18/07/2018,22.4844,26.3841,21.4103,21.8035,23.4811
17/07/2018,23.2349,26.4331,22.4433,22.8632,23.6687
16/07/2018,22.6463,26.5490,22.3044,23.0074,23.7581
13/07/2018,22.1244,29.9570,22.9859,23.0579,23.8066
12/07/2018,22.7259,30.0146,23.4354,23.4536,24.0029
11/07/2018,23.7748,30.1809,22.8263,23.1656,23.9937
10/07/2018,21.5492,29.7203,22.7105,23.0167,23.8873
09/07/2018,25.5393,28.9042,22.4026,22.9707,23.9483
06/07/2018,25.3981,26.3398,21.7423,23.4380,24.0201
05/07/2018,27.1900,25.8409,21.8692,23.4633,24.7589
04/07/2018,21.0694,19.5420,19.3148,22.1800,23.9949
03/07/2018,23.9119,22.7433,19.3496,23.2402,24.6189
29/06/2018,21.4508,22.3048,19.4604,23.2734,25.2256
28/06/2018,21.7100,14.1621,17.7134,22.7371,25.0358
27/06/2018,17.4850,14.1489,18.0192,22.8963,25.0689
26/06/2018,19.0639,13.5302,18.8129,22.6913,25.2043
25/06/2018,18.2441,13.8172,19.1943,22.7988,25.2083
22/06/2018,14.7763,14.4234,19.2270,23.1881,25.3141
21/06/2018,16.2308,19.3713,19.2363,23.2061,28.2091
20/06/2018,16.8546,19.6173,19.8304,23.1218,28.2056
19/06/2018,17.6885,19.7772,19.8312,23.1358,28.2076
15/06/2018,14.1324,18.5906,18.3820,22.3474,27.7883
14/06/2018,14.7797,18.4706,19.0673,22.4049,27.9605
13/06/2018,14.3977,19.5139,19.0113,22.3525,28.1678
12/06/2018,14.2737,20.3573,20.6468,22.2754,28.1595
11/06/2018,16.1772,21.5350,20.7106,22.4292,28.9624
08/06/2018,17.2481,21.4733,20.7350,23.0311,29.3916
07/06/2018,17.5067,19.3023,20.4276,22.8478,29.2663
06/06/2018,16.3455,17.6937,21.1495,22.6254,29.7126
05/06/2018,17.8248,19.5068,21.2433,22.6353,29.7960
04/06/2018,18.4704,19.4824,21.8014,23.8541,29.8081
01/06/2018,18.8855,16.5281,23.0137,23.9442,30.1516
31/05/2018,20.3824,17.9297,23.4750,24.3064,30.2049
30/05/2018,21.2900,14.8989,23.2383,24.1713,30.6229
29/05/2018,19.7242,14.2575,23.5228,24.1859,30.4399
28/05/2018,19.5292,19.0319,23.2357,24.3221,30.4835
25/05/2018,19.8785,19.8898,23.2231,24.3174,30.4839
24/05/2018,19.9763,20.0363,23.2544,24.4404,30.4901
23/05/2018,20.3498,19.8584,24.4553,24.8454,30.5154
21/05/2018,19.5591,19.8015,23.9623,25.6065,30.3856
18/05/2018,18.4084,19.8020,24.0404,25.8057,30.3857
17/05/2018,18.7078,21.3544,26.3217,26.5928,30.4363
16/05/2018,19.7867,21.6906,25.9841,27.2275,30.2569
15/05/2018,19.7380,21.8836,26.0064,27.3598,30.6522
14/05/2018,19.5567,24.7935,25.9444,27.2025,30.5094
11/05/2018,18.8047,22.8952,25.5642,27.5861,30.3838
10/05/2018,19.2540,22.7653,25.6160,27.5922,30.3702
09/05/2018,20.3854,23.6160,26.5798,27.8217,30.3754
08/05/2018,21.1990,26.8277,26.6592,31.8484,30.3751
07/05/2018,22.2756,25.8787,26.2583,31.7108,30.3184
04/05/2018,21.6617,27.1531,26.2966,31.7127,30.3239
03/05/2018,22.2225,30.6581,25.9670,31.5916,30.3401
02/05/2018,21.1138,28.6397,25.4939,31.5798,30.2616
30/04/2018,21.4114,29.0969,25.4389,31.8894,30.2407
27/04/2018,21.7298,28.7784,24.1420,31.4102,30.3451
26/04/2018,21.7778,28.6537,24.3769,32.4727,30.3541
25/04/2018,22.0247,28.5394,25.4715,33.0419,30.3637
