Underlying Name ,China Communications Construction Company Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
27/07/2018,33.3808,60.7953,42.5041,32.1111,29.8552
26/07/2018,33.8979,60.5926,41.7712,31.7078,29.5381
25/07/2018,35.2084,59.6005,41.7141,31.6856,29.5211
24/07/2018,35.9507,61.7587,41.7744,31.7873,29.6046
23/07/2018,30.1442,26.5894,24.3993,21.1498,22.5660
20/07/2018,25.8321,15.7824,20.2150,19.6269,21.1554
19/07/2018,24.7585,20.9966,20.2209,19.6272,21.2185
18/07/2018,24.5043,21.0991,20.2146,19.6709,21.3660
17/07/2018,25.3098,21.9531,21.2176,20.9149,21.4305
16/07/2018,25.2880,22.4246,21.2731,21.4484,21.4738
13/07/2018,24.2567,22.9933,21.8461,21.4259,21.4670
12/07/2018,25.6610,27.6488,22.2161,21.9656,21.5109
11/07/2018,26.1883,26.9578,22.0507,21.9924,21.5141
10/07/2018,23.7978,26.4667,22.0383,21.8000,21.3580
09/07/2018,25.2672,25.6642,21.9683,21.8244,22.1203
06/07/2018,25.6983,21.0390,20.9247,21.4920,21.8297
05/07/2018,26.2162,19.2896,20.2569,21.1230,21.7022
04/07/2018,26.9698,19.7261,20.1792,21.3128,21.7225
03/07/2018,27.0251,21.5039,20.0677,21.9180,21.6095
29/06/2018,24.7162,21.9470,19.9427,23.4396,21.5321
28/06/2018,24.0181,20.8475,19.7432,23.4253,21.5108
27/06/2018,22.8509,15.4712,17.2544,22.2335,20.6439
26/06/2018,23.0796,15.7578,17.2816,22.0498,21.6279
25/06/2018,23.8100,17.0742,17.1683,21.9309,21.5560
22/06/2018,22.0521,17.5111,17.0145,22.0359,21.7720
21/06/2018,22.3164,20.1707,17.2296,22.0489,22.7943
20/06/2018,22.7287,20.0435,17.4609,22.0136,22.7669
19/06/2018,22.9597,19.6964,17.4086,22.0131,22.7522
15/06/2018,19.7195,18.0240,16.0125,21.3618,22.3752
14/06/2018,17.8845,17.9881,16.3050,21.3575,22.3748
13/06/2018,18.4032,18.9672,16.6879,21.3618,22.6265
12/06/2018,18.3109,20.8935,17.3254,21.3961,22.5872
11/06/2018,18.0383,21.4654,17.3672,21.4277,22.6424
08/06/2018,19.2572,21.5875,17.5926,21.5456,22.6250
07/06/2018,19.0175,19.6551,17.0972,21.3030,22.5499
06/06/2018,20.8381,18.1835,18.3071,21.1416,22.4031
05/06/2018,20.7450,20.5467,18.3222,21.2722,22.4034
04/06/2018,21.5540,20.2152,18.3672,21.3741,22.4186
01/06/2018,21.4555,17.6118,19.9725,21.2159,23.0937
31/05/2018,21.7794,17.6118,20.8354,21.3159,23.2161
30/05/2018,22.8627,15.7448,20.5714,21.1779,23.2408
29/05/2018,21.6118,12.4925,21.0901,20.8804,23.2642
28/05/2018,20.6898,13.1323,20.9460,20.8275,23.2261
25/05/2018,19.5377,12.5666,21.1384,20.7885,23.1976
24/05/2018,20.2281,13.1914,21.1811,21.8734,23.2585
23/05/2018,21.8218,13.6836,21.3163,21.8629,23.2501
21/05/2018,20.0892,12.0252,20.8838,21.9016,23.0784
18/05/2018,20.9846,12.2785,21.0772,21.9108,23.0930
17/05/2018,19.3111,13.4840,23.0798,21.9314,23.0831
16/05/2018,20.6791,14.1957,25.7622,21.9476,23.2630
15/05/2018,20.4180,15.1086,25.7395,21.9079,23.6175
14/05/2018,22.3172,18.9107,25.7195,21.8827,23.6708
11/05/2018,22.1135,18.0939,25.6480,23.4892,23.6438
10/05/2018,25.2101,19.1920,25.4848,23.4274,23.6865
09/05/2018,26.2104,19.1853,26.0859,23.8761,23.6693
08/05/2018,27.6033,22.4938,25.8084,25.2009,23.8930
07/05/2018,28.6593,22.3836,25.8109,25.1240,23.8479
04/05/2018,29.3668,22.7810,25.7280,25.1051,23.8304
03/05/2018,29.0411,25.7777,25.5907,25.0684,23.7124
02/05/2018,27.9332,24.5742,25.2528,24.9544,23.6860
