Underlying Name ,China Overseas Land & Investment Limited

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
30/07/2018,26.8280,31.9130,33.6799,29.5147,31.3910
27/07/2018,26.7853,31.7688,33.7173,29.4556,31.3754
26/07/2018,27.0429,33.0748,33.6000,30.1372,31.3526
25/07/2018,27.1500,33.1113,34.1342,30.1398,31.4783
24/07/2018,27.5334,34.6707,33.5587,30.1813,31.3707
23/07/2018,28.6792,28.9194,31.4982,29.3444,31.0289
20/07/2018,30.0336,31.2508,31.6493,29.9547,30.9054
19/07/2018,30.7916,31.2084,31.9350,30.1249,30.9079
18/07/2018,30.8642,29.2389,34.0435,29.9965,30.6515
17/07/2018,32.9381,30.4734,35.5790,30.2765,30.6485
16/07/2018,29.5619,27.0889,34.4210,29.5691,30.1980
13/07/2018,29.0176,36.7644,34.8754,29.7728,30.2072
12/07/2018,30.8948,35.9961,34.7577,30.2436,30.5997
11/07/2018,31.1989,40.7198,34.9334,30.2777,30.5917
10/07/2018,30.8293,38.5326,34.1342,29.8699,30.3292
09/07/2018,33.2668,41.3606,34.0474,29.8676,30.4601
06/07/2018,34.5160,37.5059,33.0122,29.4541,30.5445
05/07/2018,36.6381,37.3714,33.6983,29.7998,30.6851
04/07/2018,36.0839,37.6110,33.6506,29.7652,30.7052
03/07/2018,35.9898,41.4637,33.5677,29.5827,30.8193
29/06/2018,30.7692,42.2609,33.6758,29.4432,32.3295
28/06/2018,32.5669,27.4315,30.2010,27.6312,31.3342
27/06/2018,33.7968,27.0859,30.1971,28.5128,31.3430
26/06/2018,30.5934,28.4402,29.1449,29.0489,31.0602
25/06/2018,29.9992,28.6534,29.1582,29.2871,31.0386
22/06/2018,27.8244,25.3788,27.4337,30.3130,31.6652
21/06/2018,27.6942,28.7557,27.6899,30.3289,34.5514
20/06/2018,26.8626,28.8685,27.3094,31.4528,34.4574
19/06/2018,28.3438,36.1378,27.2918,31.4540,34.5453
15/06/2018,22.7908,28.5390,23.9433,30.1299,34.4201
14/06/2018,22.9351,28.8440,23.9411,30.1307,34.5290
13/06/2018,22.9125,26.8256,23.5713,30.0315,34.4970
12/06/2018,22.3754,28.6059,24.5732,29.9431,34.4716
11/06/2018,23.4941,31.2142,24.3351,30.0249,34.5326
08/06/2018,25.5870,30.6289,25.1681,30.0473,34.5439
07/06/2018,27.7813,30.4537,25.1930,30.2694,34.6085
06/06/2018,31.1235,30.2473,26.2454,30.0575,34.6151
05/06/2018,30.6273,34.3339,27.0297,30.1023,34.7538
04/06/2018,26.1172,27.4364,25.4338,28.9405,35.3604
01/06/2018,23.7823,22.1562,24.2887,28.1562,34.9825
31/05/2018,25.3815,23.4026,24.3170,28.1612,35.1707
30/05/2018,25.2852,19.7161,24.2149,27.8971,35.2649
29/05/2018,24.2619,18.7343,25.5495,28.6110,35.6552
28/05/2018,23.7601,21.6794,25.3490,28.4773,35.6458
25/05/2018,24.0061,21.6703,25.4908,28.5461,35.6432
24/05/2018,24.8550,21.7014,25.6056,28.7956,35.6482
23/05/2018,25.5162,22.7835,25.9451,29.5007,35.6546
21/05/2018,23.9386,17.3969,25.5646,29.2445,36.4476
18/05/2018,23.2302,17.2893,25.5842,29.3441,36.7403
17/05/2018,23.4735,18.6906,25.5052,29.6198,36.8096
16/05/2018,24.7806,14.9826,24.9444,31.8230,36.7589
15/05/2018,25.1526,15.2304,24.9476,31.8746,37.5075
14/05/2018,25.9976,19.6077,27.0601,31.8962,37.4948
11/05/2018,24.4899,18.2389,29.3946,32.1794,37.4420
10/05/2018,25.1856,22.0056,29.9121,32.1606,37.4663
09/05/2018,25.1921,22.5853,33.2627,33.7880,37.4960
08/05/2018,24.5084,27.1649,32.9730,37.6207,37.4439
07/05/2018,27.2442,29.1936,35.3765,37.5350,37.4166
04/05/2018,26.4909,31.1136,35.3754,37.6197,37.4167
03/05/2018,26.7147,31.9672,35.3114,38.5369,37.3381
