Underlying Name ,China Evergrande Group

Trading date, IV (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
30/07/2018,43.3277,36.2813,51.1221,42.8267,46.0070
27/07/2018,42.6522,38.8594,51.6752,42.9982,47.3116
26/07/2018,43.2591,39.0583,51.4908,42.9072,47.2437
25/07/2018,44.8523,39.9880,51.3576,42.8369,47.2757
24/07/2018,45.9812,40.0062,51.7072,43.0045,47.3170
23/07/2018,50.2816,34.0578,50.4453,42.2504,47.8865
20/07/2018,50.0390,35.2150,48.3792,43.9715,47.7744
19/07/2018,48.8400,35.1922,48.7827,44.6523,47.8424
18/07/2018,49.0633,33.8380,48.8527,44.5108,48.0764
17/07/2018,50.7458,33.6943,50.4817,44.5091,48.4280
16/07/2018,50.9854,37.9226,50.4189,44.5823,48.5766
13/07/2018,49.0133,49.7923,50.8065,44.7862,48.3232
12/07/2018,51.7471,57.4222,54.0479,46.1716,48.2797
11/07/2018,55.1801,72.7116,54.0149,45.9485,48.5780
10/07/2018,54.1193,73.0854,53.9455,46.1926,48.5909
09/07/2018,56.3106,78.4188,53.8800,46.2340,48.6188
06/07/2018,63.1291,74.1906,52.1054,46.7659,48.4387
05/07/2018,66.0132,74.1842,52.5262,47.1961,48.7044
04/07/2018,67.7089,74.1807,52.5203,49.7537,48.7003
03/07/2018,67.1962,75.9177,53.1512,50.0553,50.1201
29/06/2018,59.2790,71.5192,51.6300,49.3694,49.8373
28/06/2018,62.5260,47.3637,44.0294,46.0405,48.2686
27/06/2018,61.1104,46.1263,42.7115,45.6726,47.6559
26/06/2018,52.0407,33.9539,37.8996,43.1087,46.8499
25/06/2018,47.5214,33.9223,37.4469,43.7670,46.7523
22/06/2018,42.9483,26.6749,34.5043,43.8475,45.8559
21/06/2018,43.5973,26.5700,34.5926,44.0049,49.6277
20/06/2018,43.1261,29.5744,34.6167,44.0086,49.7622
19/06/2018,43.8154,31.1683,34.5749,44.0177,49.7957
15/06/2018,37.2605,34.5374,33.1093,43.6910,49.4273
14/06/2018,36.9866,34.4098,33.3500,43.6839,50.9356
13/06/2018,36.7607,33.2040,33.0315,45.3971,50.6904
12/06/2018,38.5913,48.7832,33.0618,45.3484,51.0429
11/06/2018,39.2204,50.4006,33.0460,45.4524,51.5364
08/06/2018,39.4239,49.3457,32.9975,45.3631,51.4933
07/06/2018,38.8001,47.8653,32.7252,46.6402,51.5005
06/06/2018,39.3802,48.2725,38.8577,47.1882,51.4899
05/06/2018,41.7435,49.5685,40.4848,47.2785,51.9496
04/06/2018,43.5211,48.8623,40.3546,47.7010,52.2182
01/06/2018,42.0256,45.3199,38.4904,47.6677,51.9765
31/05/2018,42.0642,45.3985,38.7408,47.9740,51.9765
30/05/2018,42.9097,39.2537,38.4865,47.4708,51.7235
29/05/2018,36.6280,26.0725,37.5742,45.5007,51.1117
28/05/2018,36.6259,25.6683,37.1120,45.9031,50.9924
25/05/2018,36.6499,26.0122,37.8282,45.9470,51.0190
24/05/2018,36.5195,25.4804,38.0163,45.9971,51.0204
23/05/2018,37.3515,24.2341,41.4984,46.6999,50.9654
21/05/2018,36.5671,19.2253,41.6069,46.6986,51.0389
18/05/2018,33.1225,19.7077,46.8342,46.6979,51.2019
17/05/2018,34.2605,15.5938,47.2421,48.5715,51.0905
16/05/2018,35.8616,16.3417,47.1146,48.6119,51.0661
15/05/2018,36.4858,18.6397,46.8429,49.0289,51.5892
14/05/2018,37.6086,19.6052,48.0815,49.0183,51.6277
11/05/2018,35.8514,17.8233,47.9594,50.5130,52.0284
10/05/2018,37.5437,19.5283,49.2513,50.5064,52.2640
09/05/2018,39.5736,22.5136,51.9654,50.4971,52.3440
08/05/2018,41.6608,43.5159,52.1743,55.7830,52.6005
07/05/2018,44.1069,49.1866,52.1983,55.9893,53.2740
04/05/2018,44.2413,49.2889,52.1667,56.0077,53.2610
03/05/2018,44.8334,48.9876,52.6949,56.0062,53.2338
